n,factorization,omega,f,minimizers,above_sqrt,at_sqrt,equals_n_over_largest_prime
2078,2*1039,2,2,1039,False,False,True
2079,3^3*7*11,3,21,495,False,False,False
2080,2^5*5*13,3,20,1040,False,False,False
2082,2*3*347,3,6,347 694 1041,False,False,True
2084,2^2*521,2,4,521 1042,False,False,True
2085,3*5*139,3,15,139 278 417 556 695 834 973,False,False,True
2086,2*7*149,3,2,1043,False,False,False
2088,2^3*3^2*29,3,24,87 261 870,False,False,False
2090,2*5*11*19,4,10,627,False,False,False
2091,3*17*41,3,17,246,False,False,False
2092,2^2*523,2,4,523 1046,False,False,True
2093,7*13*23,3,7,897,False,False,False
2094,2*3*349,3,6,349 698 1047,False,False,True
2095,5*419,2,5,419 838,False,False,True
2096,2^4*131,2,8,1048,False,False,False
2097,3^2*233,2,9,233 466 699 932,False,False,True
2098,2*1049,2,2,1049,False,False,True
2100,2^2*3*5^2*7,4,12,700,False,False,False
2101,11*191,2,11,191 382 573 764 955,False,False,True
2102,2*1051,2,2,1051,False,False,True
2103,3*701,2,3,701,False,False,True
2104,2^3*263,2,8,263 526 789 1052,False,False,True
2105,5*421,2,5,421 842,False,False,True
2106,2*3^4*13,3,2,1053,False,False,False
2107,7^2*43,2,43,49 343 392 686 735 1029,False,False,False
2108,2^2*17*31,3,62,34,True,False,False
2109,3*19*37,3,37,570,False,False,False
2110,2*5*211,3,10,211 422 633 844 1055,False,False,True
2112,2^6*3*11,3,33,64,False,False,False
2114,2*7*151,3,14,151 302 453 604 755 906 1057,False,False,True
2115,3^2*5*47,3,9,235 705,False,False,False
2116,2^2*23^2,2,4,529 1058,False,False,False
2117,29*73,2,29,73 146 219 292 365 438 511 584 657 730 803 876 949 1022,False,False,True
2118,2*3*353,3,6,353 706 1059,False,False,True
2119,13*163,2,13,163 326 489 652 815 978,False,False,True
2120,2^3*5*53,3,8,795,False,False,False
2121,3*7*101,3,21,101 202 303 404 505 606 707 808 909 1010,False,False,True
2122,2*1061,2,2,1061,False,False,True
2123,11*193,2,11,193 386 579 772 965,False,False,True
2124,2^2*3^2*59,3,4,1062,False,False,False
2125,5^3*17,2,17,125 250 625 750 875,False,False,False
2126,2*1063,2,2,1063,False,False,True
2127,3*709,2,3,709,False,False,True
2128,2^4*7*19,3,16,399,False,False,False
2130,2*3*5*71,4,10,426 1065,False,False,False
2132,2^2*13*41,3,26,82,False,False,False
2133,3^3*79,2,27,79 158 237 316 395 474 553 632 711 790 869 948 1027,False,False,True
2134,2*11*97,3,22,97 194 291 388 485 582 679 776 873 970 1067,False,False,True
2135,5*7*61,3,35,61 122 183 244 305 366 427 488 549 610 671 732 793 854 915 976 1037,False,False,True
2136,2^3*3*89,3,24,89 178 267 356 445 534 623 712 801 890 979 1068,False,False,True
2138,2*1069,2,2,1069,False,False,True
2139,3*23*31,3,69,31 62 93 124 155 186 217 961 992 1023 1054,True,False,True
2140,2^2*5*107,3,20,107 214 321 428 535 642 749 856 963 1070,False,False,True
2142,2*3^2*7*17,4,6,357,False,False,False
2144,2^5*67,2,8,1072,False,False,False
2145,3*5*11*13,4,15,286 429 572,False,False,False
2146,2*29*37,3,58,37 74 111 148 185 222 259 296 333 370 407 444 481 518 555 592 629 666 703 740 777,True,False,True
2147,19*113,2,19,113 226 339 452 565 678 791 904 1017,False,False,True
2148,2^2*3*179,3,12,179 358 537 716 895 1074,False,False,True
2149,7*307,2,7,307 614 921,False,False,True
2150,2*5^2*43,3,50,43 86 129 172 215 258 301,True,False,True
2151,3^2*239,2,9,239 478 717 956,False,False,True
2152,2^3*269,2,8,269 538 807 1076,False,False,True
2154,2*3*359,3,6,359 718 1077,False,False,True
2155,5*431,2,5,431 862,False,False,True
2156,2^2*7^2*11,3,22,98,False,False,False
2157,3*719,2,3,719,False,False,True
2158,2*13*83,3,2,1079,False,False,False
2159,17*127,2,17,127 254 381 508 635 762 889 1016,False,False,True
2160,2^4*3^3*5,3,16,135,False,False,False
2162,2*23*47,3,2,1081,False,False,False
2163,3*7*103,3,21,103 206 309 412 515 618 721 824 927 1030,False,False,True
2164,2^2*541,2,4,541 1082,False,False,True
2165,5*433,2,5,433 866,False,False,True
2166,2*3*19^2,3,2,1083,False,False,False
2167,11*197,2,11,197 394 591 788 985,False,False,True
2168,2^3*271,2,8,271 542 813 1084,False,False,True
2169,3^2*241,2,9,241 482 723 964,False,False,True
2170,2*5*7*31,4,10,1085,False,False,False
2171,13*167,2,13,167 334 501 668 835 1002,False,False,True
2172,2^2*3*181,3,4,543,False,False,False
2173,41*53,2,41,53 106 159 212 265 318 371 424 477 530 583 636 689 742 795 848 901 954 1007 1060,False,False,True
2174,2*1087,2,2,1087,False,False,True
2175,3*5^2*29,3,15,145 290,False,False,False
2176,2^7*17,2,17,128,False,False,False
2177,7*311,2,7,311 622 933,False,False,True
2178,2*3^2*11^2,3,6,363,False,False,False
2180,2^2*5*109,3,20,109 218 327 436 545 654 763 872 981 1090,False,False,True
2181,3*727,2,3,727,False,False,True
2182,2*1091,2,2,1091,False,False,True
2183,37*59,2,37,59 118 177 236 295 354 413 472 531 590 649 708 767 826 885 944 1003 1062,False,False,True
2184,2^3*3*7*13,4,8,1092,False,False,False
2185,5*19*23,3,95,23 46 69 529 552 575 598 1058 1081,True,False,True
2186,2*1093,2,2,1093,False,False,True
2187,3^7,1,3,729,False,False,False
2188,2^2*547,2,4,547 1094,False,False,True
2189,11*199,2,11,199 398 597 796 995,False,False,True
2190,2*3*5*73,4,30,73 146 219 292 365 438 511 584 657 730 803 876 949 1022 1095,False,False,True
2191,7*313,2,7,313 626 939,False,False,True
2192,2^4*137,2,8,1096,False,False,False
2193,3*17*43,3,51,43 86 129 172 215 258 301 344,True,False,True
2194,2*1097,2,2,1097,False,False,True
2195,5*439,2,5,439 878,False,False,True
2196,2^2*3^2*61,3,36,61 122 183 244 305 366 427 488 549 610 671 732 793 854 915 976 1037 1098,False,False,True
2197,13^3,1,13,169 338 507 676 845 1014,False,False,False
2198,2*7*157,3,2,1099,False,False,False
2199,3*733,2,3,733,False,False,True
2200,2^3*5^2*11,3,44,150,False,False,False
2201,31*71,2,31,71 142 213 284 355 426 497 568 639 710 781 852 923 994 1065,False,False,True
2202,2*3*367,3,6,367 734 1101,False,False,True
2204,2^2*19*29,3,4,1102,False,False,False
2205,3^2*5*7^2,3,45,49 98 147 343 392 441 490 686 735 784 833 1029 1078,False,False,False
2206,2*1103,2,2,1103,False,False,True
2208,2^5*3*23,3,24,1104,False,False,False
2209,47^2,1,47,47 94 141 188 235 282 329 376 423 470 517 564 611 658 705 752 799 846 893 940 987 1034 1081,False,True,True
2210,2*5*13*17,4,26,85 680 935,False,False,False
2211,3*11*67,3,3,737,False,False,False
2212,2^2*7*79,3,28,79 158 237 316 395 474 553 632 711 790 869 948 1027 1106,False,False,True
2214,2*3^3*41,3,27,164,False,False,False
2215,5*443,2,5,443 886,False,False,True
2216,2^3*277,2,8,277 554 831 1108,False,False,True
2217,3*739,2,3,739,False,False,True
2218,2*1109,2,2,1109,False,False,True
2219,7*317,2,7,317 634 951,False,False,True
2220,2^2*3*5*37,4,12,185,False,False,False
2222,2*11*101,3,22,101 202 303 404 505 606 707 808 909 1010 1111,False,False,True
2223,3^2*13*19,3,117,19 38 57 361 380 399 418 722 741 760 779 1083 1102,True,False,True
2224,2^4*139,2,16,139 278 417 556 695 834 973 1112,False,False,True
2225,5^2*89,2,5,890,False,False,False
2226,2*3*7*53,4,6,742,False,False,False
2227,17*131,2,17,131 262 393 524 655 786 917 1048,False,False,True
2228,2^2*557,2,4,557 1114,False,False,True
2229,3*743,2,3,743,False,False,True
2230,2*5*223,3,10,223 446 669 892 1115,False,False,True
2231,23*97,2,23,97 194 291 388 485 582 679 776 873 970 1067,False,False,True
