p,q,r,n,f,strict_hit
2,3,5,30,6,True
2,5,7,70,10,True
2,7,11,154,14,True
2,7,13,182,14,True
2,11,13,286,11,False
2,11,17,374,11,False
2,11,19,418,22,True
2,13,17,442,13,False
2,13,19,494,13,False
2,13,23,598,26,True
2,17,19,646,34,True
2,17,23,782,34,True
2,17,29,986,29,False
2,17,31,1054,34,True
2,19,23,874,19,False
2,19,29,1102,38,True
2,19,31,1178,38,True
2,19,37,1406,37,False
2,23,29,1334,23,False
2,23,31,1426,46,True
2,23,37,1702,37,False
2,23,41,1886,23,False
2,23,43,1978,43,False
2,29,31,1798,58,True
2,29,37,2146,58,True
2,29,41,2378,29,False
2,29,43,2494,29,False
2,29,47,2726,58,True
2,29,53,3074,58,True
2,31,37,2294,31,False
2,31,41,2542,31,False
2,31,43,2666,62,True
2,31,47,2914,62,True
2,31,53,3286,31,False
2,31,59,3658,62,True
2,31,61,3782,62,True
2,37,41,3034,37,False
2,37,43,3182,37,False
2,37,47,3478,47,False
2,37,53,3922,37,False
2,37,59,4366,74,True
2,37,61,4514,74,True
2,37,67,4958,37,False
2,37,71,5254,74,True
2,37,73,5402,74,True
2,41,43,3526,41,False
2,41,47,3854,41,False
2,41,53,4346,41,False
2,41,59,4838,41,False
2,41,61,5002,82,True
2,41,67,5494,67,False
2,41,71,5822,41,False
2,41,73,5986,82,True
2,41,79,6478,79,False
2,43,47,4042,43,False
2,43,53,4558,53,False
2,43,59,5074,59,False
2,43,61,5246,43,False
2,43,67,5762,86,True
2,43,71,6106,71,False
2,43,73,6278,86,True
2,43,79,6794,86,True
2,43,83,7138,83,False
2,47,53,4982,47,False
2,47,59,5546,47,False
2,47,61,5734,47,False
2,47,67,6298,94,True
2,47,71,6674,94,True
2,47,73,6862,47,False
2,47,79,7426,94,True
2,47,83,7802,83,False
2,47,89,8366,94,True
2,53,59,6254,53,False
2,53,61,6466,106,True
2,53,67,7102,53,False
2,53,71,7526,71,False
2,53,73,7738,73,False
2,53,79,8374,106,True
2,53,83,8798,106,True
2,53,89,9434,106,True
2,53,97,10282,106,True
2,53,101,10706,106,True
2,53,103,10918,106,True
2,59,61,7198,59,False
2,59,67,7906,59,False
2,59,71,8378,118,True
2,59,73,8614,59,False
2,59,79,9322,118,True
2,59,83,9794,118,True
2,59,89,10502,118,True
2,59,97,11446,118,True
2,59,101,11918,118,True
2,59,103,12154,59,False
2,59,107,12626,118,True
2,59,109,12862,109,False
2,59,113,13334,118,True
2,61,67,8174,61,False
2,61,71,8662,122,True
2,61,73,8906,61,False
2,61,79,9638,122,True
2,61,83,10126,61,False
2,61,89,10858,89,False
2,61,97,11834,61,False
2,61,101,12322,122,True
2,61,103,12566,122,True
2,61,107,13054,61,False
2,61,109,13298,109,False
2,61,113,13786,113,False
2,67,71,9514,134,True
2,67,73,9782,134,True
2,67,79,10586,67,False
2,67,83,11122,67,False
2,67,89,11926,67,False
2,67,97,12998,67,False
2,67,101,13534,67,False
2,67,103,13802,67,False
2,67,107,14338,134,True
2,67,109,14606,109,False
2,67,113,15142,113,False
2,67,127,17018,127,False
2,67,131,17554,134,True
2,71,73,10366,142,True
2,71,79,11218,71,False
2,71,83,11786,142,True
2,71,89,12638,89,False
2,71,97,13774,71,False
2,71,101,14342,142,True
2,71,103,14626,142,True
2,71,107,15194,71,False
2,71,109,15478,71,False
2,71,113,16046,71,False
2,71,127,18034,127,False
2,71,131,18602,142,True
2,71,137,19454,71,False
2,71,139,19738,142,True
2,73,79,11534,73,False
2,73,83,12118,73,False
2,73,89,12994,146,True
2,73,97,14162,73,False
2,73,101,14746,73,False
2,73,103,15038,73,False
2,73,107,15622,73,False
2,73,109,15914,146,True
2,73,113,16498,146,True
2,73,127,18542,146,True
2,73,131,19126,131,False
2,73,137,20002,146,True
2,73,139,20294,73,False
2,79,83,13114,79,False
2,79,89,14062,79,False
2,79,97,15326,79,False
2,79,101,15958,79,False
2,79,103,16274,79,False
2,79,107,16906,158,True
2,79,109,17222,158,True
2,79,113,17854,113,False
2,79,127,20066,158,True
2,79,131,20698,158,True
2,79,137,21646,158,True
2,79,139,21962,158,True
2,79,149,23542,79,False
2,79,151,23858,151,False
2,79,157,24806,158,True
2,83,89,14774,83,False
2,83,97,16102,83,False
2,83,101,16766,101,False
2,83,103,17098,166,True
2,83,107,17762,166,True
2,83,109,18094,83,False
2,83,113,18758,166,True
2,83,127,21082,166,True
2,83,131,21746,83,False
2,83,137,22742,83,False
2,83,139,23074,166,True
2,83,149,24734,166,True
2,83,151,25066,166,True
2,83,157,26062,157,False
2,83,163,27058,163,False
2,89,97,17266,178,True
2,89,101,17978,178,True
2,89,103,18334,89,False
2,89,107,19046,178,True
2,89,109,19402,109,False
2,89,113,20114,178,True
2,89,127,22606,178,True
2,89,131,23318,89,False
2,89,137,24386,178,True
2,89,139,24742,178,True
2,89,149,26522,149,False
2,89,151,26878,89,False
2,89,157,27946,157,False
2,89,163,29014,89,False
2,89,167,29726,178,True
2,89,173,30794,178,True
2,97,101,19594,194,True
2,97,103,19982,97,False
2,97,107,20758,194,True
2,97,109,21146,194,True
2,97,113,21922,194,True
2,97,127,24638,194,True
2,97,131,25414,97,False
2,97,137,26578,97,False
2,97,139,26966,97,False
2,97,149,28906,149,False
2,97,151,29294,151,False
2,97,157,30458,97,False
2,97,163,31622,163,False
2,97,167,32398,97,False
2,97,173,33562,173,False
2,97,179,34726,179,False
2,97,181,35114,194,True
2,97,191,37054,191,False
2,97,193,37442,194,True
2,101,103,20806,202,True
2,101,107,21614,101,False
2,101,109,22018,202,True
2,101,113,22826,202,True
2,101,127,25654,202,True
2,101,131,26462,101,False
2,101,137,27674,202,True
2,101,139,28078,101,False
2,101,149,30098,149,False
2,101,151,30502,151,False
2,101,157,31714,101,False
2,101,163,32926,202,True
2,101,167,33734,202,True
2,101,173,34946,202,True
2,101,179,36158,101,False
2,101,181,36562,181,False
2,101,191,38582,191,False
2,101,193,38986,202,True
2,101,197,39794,197,False
2,101,199,40198,202,True
2,103,107,22042,103,False
2,103,109,22454,103,False
2,103,113,23278,103,False
2,103,127,26162,206,True
2,103,131,26986,206,True
2,103,137,28222,103,False
2,103,139,28634,103,False
2,103,149,30694,103,False
2,103,151,31106,206,True
2,103,157,32342,103,False
2,103,163,33578,206,True
2,103,167,34402,206,True
2,103,173,35638,206,True
2,103,179,36874,206,True
2,103,181,37286,206,True
2,103,191,39346,206,True
2,103,193,39758,103,False
2,103,197,40582,197,False
2,103,199,40994,206,True
2,107,109,23326,107,False
2,107,113,24182,107,False
2,107,127,27178,127,False
2,107,131,28034,214,True
2,107,137,29318,137,False
2,107,139,29746,139,False
2,107,149,31886,149,False
2,107,151,32314,107,False
2,107,157,33598,107,False
2,107,163,34882,214,True
2,107,167,35738,167,False
2,107,173,37022,214,True
2,107,179,38306,214,True
2,107,181,38734,181,False
2,107,191,40874,191,False
2,107,193,41302,214,True
2,107,197,42158,197,False
2,107,199,42586,214,True
2,109,113,24634,218,True
2,109,127,27686,218,True
2,109,131,28558,109,False
2,109,137,29866,137,False
2,109,139,30302,109,False
2,109,149,32482,109,False
2,109,151,32918,218,True
2,109,157,34226,218,True
2,109,163,35534,109,False
2,109,167,36406,218,True
2,109,173,37714,218,True
2,109,179,39022,109,False
2,109,181,39458,218,True
2,109,191,41638,218,True
2,109,193,42074,193,False
2,109,197,42946,197,False
2,109,199,43382,109,False
2,113,127,28702,226,True
2,113,131,29606,113,False
2,113,137,30962,113,False
2,113,139,31414,113,False
2,113,149,33674,149,False
2,113,151,34126,151,False
2,113,157,35482,157,False
2,113,163,36838,113,False
2,113,167,37742,113,False
2,113,173,39098,113,False
2,113,179,40454,226,True
2,113,181,40906,113,False
2,113,191,43166,226,True
2,113,193,43618,226,True
2,113,197,44522,113,False
2,113,199,44974,113,False
2,127,131,33274,254,True
2,127,137,34798,127,False
2,127,139,35306,254,True
2,127,149,37846,127,False
2,127,151,38354,254,True
2,127,157,39878,127,False
2,127,163,41402,254,True
2,127,167,42418,254,True
2,127,173,43942,127,False
2,127,179,45466,127,False
2,127,181,45974,127,False
2,127,191,48514,254,True
2,127,193,49022,127,False
2,127,197,50038,127,False
2,127,199,50546,254,True
2,131,137,35894,262,True
2,131,139,36418,262,True
2,131,149,39038,131,False
2,131,151,39562,262,True
2,131,157,41134,262,True
2,131,163,42706,163,False
2,131,167,43754,167,False
2,131,173,45326,173,False
2,131,179,46898,131,False
2,131,181,47422,131,False
2,131,191,50042,191,False
2,131,193,50566,131,False
2,131,197,51614,131,False
2,131,199,52138,262,True
2,137,139,38086,274,True
2,137,149,40826,137,False
2,137,151,41374,137,False
2,137,157,43018,274,True
2,137,163,44662,137,False
2,137,167,45758,137,False
2,137,173,47402,173,False
2,137,179,49046,137,False
2,137,181,49594,181,False
2,137,191,52334,191,False
2,137,193,52882,137,False
2,137,197,53978,274,True
2,137,199,54526,137,False
2,139,149,41422,139,False
2,139,151,41978,139,False
2,139,157,43646,139,False
2,139,163,45314,278,True
2,139,167,46426,167,False
2,139,173,48094,139,False
2,139,179,49762,278,True
2,139,181,50318,278,True
2,139,191,53098,139,False
2,139,193,53654,139,False
2,139,197,54766,139,False
2,139,199,55322,199,False
2,149,151,44998,149,False
2,149,157,46786,298,True
2,149,163,48574,149,False
2,149,167,49766,298,True
2,149,173,51554,298,True
2,149,179,53342,149,False
2,149,181,53938,181,False
2,149,191,56918,191,False
2,149,193,57514,298,True
2,149,197,58706,149,False
2,149,199,59302,149,False
2,151,157,47414,151,False
2,151,163,49226,302,True
2,151,167,50434,302,True
2,151,173,52246,302,True
2,151,179,54058,151,False
2,151,181,54662,181,False
2,151,191,57682,302,True
2,151,193,58286,151,False
2,151,197,59494,151,False
2,151,199,60098,199,False
2,157,163,51182,157,False
2,157,167,52438,167,False
2,157,173,54322,314,True
2,157,179,56206,157,False
2,157,181,56834,314,True
2,157,191,59974,191,False
2,157,193,60602,157,False
2,157,197,61858,314,True
2,157,199,62486,314,True
2,163,167,54442,326,True
2,163,173,56398,163,False
2,163,179,58354,163,False
2,163,181,59006,163,False
2,163,191,62266,163,False
2,163,193,62918,163,False
2,163,197,64222,163,False
2,163,199,64874,163,False
2,167,173,57782,334,True
2,167,179,59786,334,True
2,167,181,60454,334,True
2,167,191,63794,191,False
2,167,193,64462,167,False
2,167,197,65798,334,True
2,167,199,66466,334,True
2,173,179,61934,173,False
2,173,181,62626,346,True
2,173,191,66086,346,True
2,173,193,66778,346,True
2,173,197,68162,346,True
2,173,199,68854,173,False
2,179,181,64798,179,False
2,179,191,68378,358,True
2,179,193,69094,179,False
2,179,197,70526,179,False
2,179,199,71242,358,True
2,181,191,69142,362,True
2,181,193,69866,362,True
2,181,197,71314,181,False
2,181,199,72038,362,True
2,191,193,73726,191,False
2,191,197,75254,191,False
2,191,199,76018,382,True
2,193,197,76042,386,True
2,193,199,76814,386,True
2,197,199,78406,394,True
3,5,7,105,15,True
3,5,11,165,15,True
3,5,13,195,13,False
3,7,11,231,3,False
3,7,13,273,21,True
3,7,17,357,21,True
3,7,19,399,21,True
3,11,13,429,13,False
3,11,17,561,3,False
3,11,19,627,11,False
3,11,23,759,33,True
3,11,29,957,29,False
3,11,31,1023,31,False
3,13,17,663,39,True
3,13,19,741,39,True
3,13,23,897,39,True
3,13,29,1131,13,False
3,13,31,1209,13,False
3,13,37,1443,37,False
3,17,19,969,17,False
3,17,23,1173,51,True
3,17,29,1479,51,True
3,17,31,1581,17,False
3,17,37,1887,17,False
3,17,41,2091,17,False
3,17,43,2193,51,True
3,17,47,2397,51,True
3,19,23,1311,23,False
3,19,29,1653,3,False
3,19,31,1767,3,False
3,19,37,2109,37,False
3,19,41,2337,19,False
3,19,43,2451,57,True
3,19,47,2679,57,True
3,19,53,3021,53,False
3,23,29,2001,29,False
3,23,31,2139,69,True
3,23,37,2553,3,False
3,23,41,2829,23,False
3,23,43,2967,23,False
3,23,47,3243,69,True
3,23,53,3657,69,True
3,23,59,4071,59,False
3,23,61,4209,61,False
3,23,67,4623,69,True
3,29,31,2697,87,True
3,29,37,3219,87,True
3,29,41,3567,87,True
3,29,43,3741,43,False
3,29,47,4089,3,False
3,29,53,4611,53,False
3,29,59,5133,87,True
3,29,61,5307,29,False
3,29,67,5829,29,False
3,29,71,6177,29,False
3,29,73,6351,73,False
3,29,79,6873,87,True
3,29,83,7221,83,False
3,31,37,3441,37,False
3,31,41,3813,93,True
3,31,43,3999,93,True
3,31,47,4371,3,False
3,31,53,4929,93,True
3,31,59,5487,31,False
3,31,61,5673,31,False
3,31,67,6231,31,False
3,31,71,6603,93,True
3,31,73,6789,31,False
3,31,79,7347,93,True
3,31,83,7719,31,False
3,31,89,8277,93,True
3,37,41,4551,111,True
3,37,43,4773,37,False
3,37,47,5217,47,False
3,37,53,5883,111,True
3,37,59,6549,3,False
3,37,61,6771,3,False
3,37,67,7437,67,False
3,37,71,7881,37,False
3,37,73,8103,111,True
3,37,79,8769,111,True
3,37,83,9213,37,False
3,37,89,9879,37,False
3,37,97,10767,37,False
3,37,101,11211,111,True
3,37,103,11433,111,True
3,37,107,11877,107,False
3,37,109,12099,109,False
3,41,43,5289,41,False
3,41,47,5781,41,False
3,41,53,6519,41,False
3,41,59,7257,59,False
3,41,61,7503,61,False
3,41,67,8241,3,False
3,41,71,8733,41,False
3,41,73,8979,41,False
3,41,79,9717,41,False
3,41,83,10209,123,True
3,41,89,10947,123,True
3,41,97,11931,123,True
3,41,101,12423,101,False
3,41,103,12669,103,False
3,41,107,13161,123,True
3,41,109,13407,109,False
3,41,113,13899,123,True
3,43,47,6063,43,False
3,43,53,6837,129,True
3,43,59,7611,129,True
3,43,61,7869,129,True
3,43,67,8643,3,False
3,43,71,9159,3,False
3,43,73,9417,43,False
3,43,79,10191,43,False
3,43,83,10707,43,False
3,43,89,11481,89,False
3,43,97,12513,97,False
3,43,101,13029,43,False
3,43,103,13287,129,True
3,43,107,13803,107,False
3,43,109,14061,109,False
3,43,113,14577,43,False
3,43,127,16383,127,False
3,47,53,7473,141,True
3,47,59,8319,141,True
3,47,61,8601,47,False
3,47,67,9447,47,False
3,47,71,10011,3,False
3,47,73,10293,3,False
3,47,79,11139,141,True
3,47,83,11703,141,True
3,47,89,12549,47,False
3,47,97,13677,97,False
3,47,101,14241,101,False
3,47,103,14523,47,False
3,47,107,15087,107,False
3,47,109,15369,141,True
3,47,113,15933,113,False
3,47,127,17907,141,True
3,47,131,18471,141,True
3,47,137,19317,137,False
3,47,139,19599,139,False
3,53,59,9381,53,False
3,53,61,9699,53,False
3,53,67,10653,53,False
3,53,71,11289,159,True
3,53,73,11607,53,False
3,53,79,12561,159,True
3,53,83,13197,3,False
3,53,89,14151,159,True
3,53,97,15423,159,True
3,53,101,16059,159,True
3,53,103,16377,159,True
3,53,107,17013,159,True
3,53,109,17331,53,False
3,53,113,17967,113,False
3,53,127,20193,159,True
3,53,131,20829,159,True
3,53,137,21783,53,False
3,53,139,22101,139,False
3,53,149,23691,149,False
3,53,151,24009,151,False
3,53,157,24963,159,True
3,59,61,10797,59,False
3,59,67,11859,177,True
3,59,71,12567,59,False
3,59,73,12921,59,False
3,59,79,13983,177,True
3,59,83,14691,177,True
3,59,89,15753,3,False
3,59,97,17169,3,False
3,59,101,17877,101,False
3,59,103,18231,177,True
3,59,107,18939,59,False
3,59,109,19293,59,False
3,59,113,20001,177,True
3,59,127,22479,127,False
3,59,131,23187,131,False
3,59,137,24249,177,True
3,59,139,24603,177,True
3,59,149,26373,177,True
3,59,151,26727,59,False
3,59,157,27789,177,True
3,59,163,28851,163,False
3,59,167,29559,59,False
3,59,173,30621,177,True
3,61,67,12261,61,False
3,61,71,12993,61,False
3,61,73,13359,61,False
3,61,79,14457,79,False
3,61,83,15189,61,False
3,61,89,16287,89,False
3,61,97,17751,3,False
3,61,101,18483,3,False
3,61,103,18849,61,False
3,61,107,19581,61,False
3,61,109,19947,183,True
3,61,113,20679,113,False
3,61,127,23241,61,False
3,61,131,23973,61,False
3,61,137,25071,61,False
3,61,139,25437,61,False
3,61,149,27267,149,False
3,61,151,27633,151,False
3,61,157,28731,183,True
3,61,163,29829,61,False
3,61,167,30561,61,False
3,61,173,31659,61,False
3,61,179,32757,179,False
3,61,181,33123,181,False
3,67,71,14271,67,False
3,67,73,14673,67,False
3,67,79,15879,201,True
3,67,83,16683,67,False
3,67,89,17889,67,False
3,67,97,19497,97,False
3,67,101,20301,3,False
3,67,103,20703,3,False
3,67,107,21507,3,False
3,67,109,21909,3,False
3,67,113,22713,201,True
3,67,127,25527,201,True
3,67,131,26331,201,True
3,67,137,27537,67,False
3,67,139,27939,67,False
3,67,149,29949,201,True
3,67,151,30351,67,False
3,67,157,31557,201,True
3,67,163,32763,67,False
3,67,167,33567,201,True
3,67,173,34773,173,False
3,67,179,35979,201,True
3,67,181,36381,181,False
3,67,191,38391,67,False
3,67,193,38793,193,False
3,67,197,39597,197,False
3,67,199,39999,199,False
3,71,73,15549,71,False
3,71,79,16827,71,False
3,71,83,17679,213,True
3,71,89,18957,213,True
3,71,97,20661,213,True
3,71,101,21513,101,False
3,71,103,21939,213,True
3,71,107,22791,3,False
3,71,109,23217,3,False
3,71,113,24069,3,False
3,71,127,27051,71,False
3,71,131,27903,71,False
3,71,137,29181,213,True
3,71,139,29607,71,False
3,71,149,31737,71,False
3,71,151,32163,213,True
3,71,157,33441,71,False
3,71,163,34719,71,False
3,71,167,35571,213,True
3,71,173,36849,71,False
3,71,179,38127,179,False
3,71,181,38553,71,False
3,71,191,40683,213,True
3,71,193,41109,71,False
3,71,197,41961,213,True
3,71,199,42387,213,True
3,73,79,17301,73,False
3,73,83,18177,73,False
3,73,89,19491,73,False
3,73,97,21243,219,True
3,73,101,22119,219,True
3,73,103,22557,103,False
3,73,107,23433,219,True
3,73,109,23871,109,False
3,73,113,24747,3,False
3,73,127,27813,219,True
3,73,131,28689,131,False
3,73,137,30003,73,False
3,73,139,30441,73,False
3,73,149,32631,73,False
3,73,151,33069,219,True
3,73,157,34383,157,False
3,73,163,35697,73,False
3,73,167,36573,73,False
3,73,173,37887,73,False
3,73,179,39201,73,False
3,73,181,39639,219,True
3,73,191,41829,191,False
3,73,193,42267,73,False
3,73,197,43143,73,False
3,73,199,43581,219,True
3,79,83,19671,79,False
3,79,89,21093,237,True
3,79,97,22989,79,False
3,79,101,23937,79,False
3,79,103,24411,237,True
3,79,107,25359,237,True
3,79,109,25833,79,False
3,79,113,26781,237,True
3,79,127,30099,3,False
3,79,131,31047,3,False
3,79,137,32469,79,False
3,79,139,32943,79,False
3,79,149,35313,79,False
3,79,151,35787,79,False
3,79,157,37209,237,True
3,79,163,38631,79,False
3,79,167,39579,237,True
3,79,173,41001,237,True
3,79,179,42423,237,True
3,79,181,42897,79,False
3,79,191,45267,79,False
3,79,193,45741,237,True
3,79,197,46689,237,True
3,79,199,47163,237,True
3,83,89,22161,249,True
3,83,97,24153,249,True
3,83,101,25149,101,False
3,83,103,25647,83,False
3,83,107,26643,249,True
3,83,109,27141,249,True
3,83,113,28137,249,True
3,83,127,31623,3,False
3,83,131,32619,3,False
3,83,137,34113,3,False
3,83,139,34611,83,False
3,83,149,37101,83,False
3,83,151,37599,83,False
3,83,157,39093,83,False
3,83,163,40587,83,False
3,83,167,41583,249,True
3,83,173,43077,173,False
3,83,179,44571,179,False
3,83,181,45069,83,False
3,83,191,47559,83,False
3,83,193,48057,83,False
3,83,197,49053,83,False
3,83,199,49551,83,False
3,89,97,25899,89,False
3,89,101,26967,89,False
3,89,103,27501,267,True
3,89,107,28569,267,True
3,89,109,29103,89,False
3,89,113,30171,267,True
3,89,127,33909,89,False
3,89,131,34977,131,False
3,89,137,36579,3,False
3,89,139,37113,3,False
3,89,149,39783,267,True
3,89,151,40317,267,True
3,89,157,41919,267,True
3,89,163,43521,89,False
3,89,167,44589,89,False
3,89,173,46191,267,True
3,89,179,47793,267,True
3,89,181,48327,267,True
3,89,191,50997,89,False
3,89,193,51531,89,False
3,89,197,52599,267,True
3,89,199,53133,89,False
3,97,101,29391,97,False
3,97,103,29973,291,True
3,97,107,31137,291,True
3,97,109,31719,97,False
3,97,113,32883,291,True
3,97,127,36957,127,False
3,97,131,38121,97,False
3,97,137,39867,291,True
3,97,139,40449,291,True
3,97,149,43359,3,False
3,97,151,43941,3,False
3,97,157,45687,3,False
3,97,163,47433,97,False
3,97,167,48597,97,False
3,97,173,50343,97,False
3,97,179,52089,179,False
3,97,181,52671,291,True
3,97,191,55581,97,False
3,97,193,56163,291,True
3,97,197,57327,97,False
3,97,199,57909,97,False
3,101,103,31209,101,False
3,101,107,32421,101,False
3,101,109,33027,303,True
3,101,113,34239,101,False
3,101,127,38481,127,False
3,101,131,39693,303,True
3,101,137,41511,101,False
3,101,139,42117,101,False
3,101,149,45147,149,False
3,101,151,45753,151,False
3,101,157,47571,3,False
3,101,163,49389,3,False
3,101,167,50601,3,False
3,101,173,52419,101,False
3,101,179,54237,101,False
3,101,181,54843,303,True
3,101,191,57873,303,True
3,101,193,58479,101,False
3,101,197,59691,197,False
3,101,199,60297,303,True
3,103,107,33063,309,True
3,103,109,33681,309,True
3,103,113,34917,103,False
3,103,127,39243,103,False
3,103,131,40479,103,False
3,103,137,42333,103,False
3,103,139,42951,103,False
3,103,149,46041,309,True
3,103,151,46659,309,True
3,103,157,48513,3,False
3,103,163,50367,3,False
3,103,167,51603,3,False
3,103,173,53457,103,False
3,103,179,55311,103,False
3,103,181,55929,103,False
3,103,191,59019,103,False
3,103,193,59637,103,False
3,103,197,60873,197,False
3,103,199,61491,309,True
3,107,109,34989,107,False
3,107,113,36273,107,False
3,107,127,40767,107,False
3,107,131,42051,321,True
3,107,137,43977,107,False
3,107,139,44619,107,False
3,107,149,47829,107,False
3,107,151,48471,321,True
3,107,157,50397,321,True
3,107,163,52323,3,False
3,107,167,53607,3,False
3,107,173,55533,3,False
3,107,179,57459,107,False
3,107,181,58101,107,False
3,107,191,61311,321,True
3,107,193,61953,107,False
3,107,197,63237,321,True
3,107,199,63879,107,False
3,109,113,36951,109,False
3,109,127,41529,109,False
3,109,131,42837,109,False
3,109,137,44799,109,False
3,109,139,45453,109,False
3,109,149,48723,109,False
3,109,151,49377,109,False
3,109,157,51339,157,False
3,109,163,53301,327,True
3,109,167,54609,3,False
3,109,173,56571,3,False
3,109,179,58533,3,False
3,109,181,59187,3,False
3,109,191,62457,327,True
3,109,193,63111,109,False
3,109,197,64419,197,False
3,109,199,65073,199,False
3,113,127,43053,113,False
3,113,131,44409,113,False
3,113,137,46443,339,True
3,113,139,47121,113,False
3,113,149,50511,113,False
3,113,151,51189,113,False
3,113,157,53223,339,True
3,113,163,55257,113,False
3,113,167,56613,113,False
3,113,173,58647,3,False
3,113,179,60681,3,False
3,113,181,61359,3,False
3,113,191,64749,339,True
3,113,193,65427,339,True
3,113,197,66783,339,True
3,113,199,67461,113,False
3,127,131,49911,127,False
3,127,137,52197,127,False
3,127,139,52959,127,False
3,127,149,56769,127,False
3,127,151,57531,127,False
3,127,157,59817,381,True
3,127,163,62103,381,True
3,127,167,63627,167,False
3,127,173,65913,381,True
3,127,179,68199,179,False
3,127,181,68961,381,True
3,127,191,72771,3,False
3,127,193,73533,3,False
3,127,197,75057,3,False
3,127,199,75819,3,False
3,131,137,53841,131,False
3,131,139,54627,131,False
3,131,149,58557,131,False
3,131,151,59343,393,True
3,131,157,61701,131,False
3,131,163,64059,131,False
3,131,167,65631,393,True
3,131,173,67989,393,True
3,131,179,70347,393,True
3,131,181,71133,131,False
3,131,191,75063,393,True
3,131,193,75849,393,True
3,131,197,77421,3,False
3,131,199,78207,3,False
3,137,139,57129,137,False
3,137,149,61239,411,True
3,137,151,62061,151,False
3,137,157,64527,137,False
3,137,163,66993,137,False
3,137,167,68637,167,False
3,137,173,71103,137,False
3,137,179,73569,137,False
3,137,181,74391,181,False
3,137,191,78501,411,True
3,137,193,79323,137,False
3,137,197,80967,197,False
3,137,199,81789,199,False
3,139,149,62133,139,False
3,139,151,62967,151,False
3,139,157,65469,139,False
3,139,163,67971,163,False
3,139,167,69639,139,False
3,139,173,72141,139,False
3,139,179,74643,179,False
3,139,181,75477,139,False
3,139,191,79647,191,False
3,139,193,80481,139,False
3,139,197,82149,197,False
3,139,199,82983,139,False
3,149,151,67497,149,False
3,149,157,70179,149,False
3,149,163,72861,149,False
3,149,167,74649,149,False
3,149,173,77331,447,True
3,149,179,80013,447,True
3,149,181,80907,149,False
3,149,191,85377,447,True
3,149,193,86271,447,True
3,149,197,88059,197,False
3,149,199,88953,149,False
3,151,157,71121,151,False
3,151,163,73839,151,False
3,151,167,75651,151,False
3,151,173,78369,151,False
3,151,179,81087,453,True
3,151,181,81993,151,False
3,151,191,86523,453,True
3,151,193,87429,193,False
3,151,197,89241,197,False
3,151,199,90147,151,False
3,157,163,76773,157,False
3,157,167,78657,157,False
3,157,173,81483,157,False
3,157,179,84309,157,False
3,157,181,85251,157,False
3,157,191,89961,191,False
3,157,193,90903,157,False
3,157,197,92787,197,False
3,157,199,93729,157,False
3,163,167,81663,489,True
3,163,173,84597,163,False
3,163,179,87531,489,True
3,163,181,88509,163,False
3,163,191,93399,163,False
3,163,193,94377,163,False
3,163,197,96333,197,False
3,163,199,97311,163,False
3,167,173,86673,501,True
3,167,179,89679,501,True
3,167,181,90681,167,False
3,167,191,95691,167,False
3,167,193,96693,167,False
3,167,197,98697,501,True
3,167,199,99699,167,False
3,173,179,92901,173,False
3,173,181,93939,173,False
3,173,191,99129,173,False
3,173,193,100167,173,False
3,173,197,102243,173,False
3,173,199,103281,199,False
3,179,181,97197,179,False
3,179,191,102567,179,False
3,179,193,103641,179,False
3,179,197,105789,537,True
3,179,199,106863,179,False
3,181,191,103713,543,True
3,181,193,104799,181,False
3,181,197,106971,181,False
3,181,199,108057,543,True
3,191,193,110589,191,False
3,191,197,112881,191,False
3,191,199,114027,191,False
3,193,197,114063,197,False
3,193,199,115221,193,False
3,197,199,117609,197,False
5,7,11,385,35,True
5,7,13,455,35,True
5,7,17,595,35,True
5,7,19,665,5,False
5,7,23,805,35,True
5,7,29,1015,35,True
5,7,31,1085,35,True
5,11,13,715,13,False
5,11,17,935,17,False
5,11,19,1045,5,False
5,11,23,1265,55,True
5,11,29,1595,11,False
5,11,31,1705,11,False
5,11,37,2035,5,False
5,11,41,2255,41,False
5,11,43,2365,11,False
5,11,47,2585,55,True
5,11,53,2915,55,True
5,13,17,1105,5,False
5,13,19,1235,13,False
5,13,23,1495,5,False
5,13,29,1885,65,True
5,13,31,2015,31,False
5,13,37,2405,65,True
5,13,41,2665,41,False
5,13,43,2795,5,False
5,13,47,3055,65,True
5,13,53,3445,13,False
5,13,59,3835,65,True
5,13,61,3965,61,False
5,17,19,1615,17,False
5,17,23,1955,5,False
5,17,29,2465,5,False
5,17,31,2635,85,True
5,17,37,3145,85,True
5,17,41,3485,85,True
5,17,43,3655,5,False
5,17,47,3995,5,False
5,17,53,4505,5,False
5,17,59,5015,85,True
5,17,61,5185,85,True
5,17,67,5695,17,False
5,17,71,6035,71,False
5,17,73,6205,73,False
5,17,79,6715,79,False
5,17,83,7055,83,False
5,19,23,2185,95,True
5,19,29,2755,95,True
5,19,31,2945,31,False
5,19,37,3515,37,False
5,19,41,3895,41,False
5,19,43,4085,43,False
5,19,47,4465,95,True
5,19,53,5035,5,False
5,19,59,5605,5,False
5,19,61,5795,95,True
5,19,67,6365,5,False
5,19,71,6745,19,False
5,19,73,6935,95,True
5,19,79,7505,95,True
5,19,83,7885,83,False
5,19,89,8455,95,True
5,23,29,3335,5,False
5,23,31,3565,5,False
5,23,37,4255,115,True
5,23,41,4715,5,False
5,23,43,4945,23,False
5,23,47,5405,115,True
