n,factorization,omega,f,minimizers,above_sqrt,at_sqrt,equals_n_over_largest_prime
4,2^2,1,2,2,False,True,True
6,2*3,2,2,3,False,False,True
8,2^3,1,2,4,False,False,False
9,3^2,1,3,3,False,True,True
10,2*5,2,2,5,False,False,True
12,2^2*3,2,3,4,False,False,False
14,2*7,2,2,7,False,False,True
15,3*5,2,3,5,False,False,True
16,2^4,1,2,8,False,False,False
18,2*3^2,2,2,9,False,False,False
20,2^2*5,2,4,5 10,False,False,True
21,3*7,2,3,7,False,False,True
22,2*11,2,2,11,False,False,True
24,2^3*3,2,3,8,False,False,False
25,5^2,1,5,5 10,False,True,True
26,2*13,2,2,13,False,False,True
27,3^3,1,3,9,False,False,False
28,2^2*7,2,4,7 14,False,False,True
30,2*3*5,3,6,5,True,False,True
32,2^5,1,2,16,False,False,False
33,3*11,2,3,11,False,False,True
34,2*17,2,2,17,False,False,True
35,5*7,2,5,7 14,False,False,True
36,2^2*3^2,2,4,9,False,False,False
38,2*19,2,2,19,False,False,True
39,3*13,2,3,13,False,False,True
40,2^3*5,2,5,8,False,False,False
42,2*3*7,3,6,7 14 21,False,False,True
44,2^2*11,2,4,11 22,False,False,True
45,3^2*5,2,3,15,False,False,False
46,2*23,2,2,23,False,False,True
48,2^4*3,2,3,16,False,False,False
49,7^2,1,7,7 14 21,False,True,True
50,2*5^2,2,2,25,False,False,False
51,3*17,2,3,17,False,False,True
52,2^2*13,2,4,13 26,False,False,True
54,2*3^3,2,2,27,False,False,False
55,5*11,2,5,11 22,False,False,True
56,2^3*7,2,7,8 16 24,False,False,False
57,3*19,2,3,19,False,False,True
58,2*29,2,2,29,False,False,True
60,2^2*3*5,3,4,30,False,False,False
62,2*31,2,2,31,False,False,True
63,3^2*7,2,7,9 27,False,False,False
64,2^6,1,2,32,False,False,False
65,5*13,2,5,13 26,False,False,True
66,2*3*11,3,6,11 22 33,False,False,True
68,2^2*17,2,4,17 34,False,False,True
69,3*23,2,3,23,False,False,True
70,2*5*7,3,10,7 14 21,True,False,True
72,2^3*3^2,2,4,36,False,False,False
74,2*37,2,2,37,False,False,True
75,3*5^2,2,3,25,False,False,False
76,2^2*19,2,4,19 38,False,False,True
77,7*11,2,7,11 22 33,False,False,True
78,2*3*13,3,2,39,False,False,False
80,2^4*5,2,5,16,False,False,False
81,3^4,1,3,27,False,False,False
82,2*41,2,2,41,False,False,True
84,2^2*3*7,3,12,7 14 21 28 35,True,False,True
85,5*17,2,5,17 34,False,False,True
86,2*43,2,2,43,False,False,True
87,3*29,2,3,29,False,False,True
88,2^3*11,2,4,22,False,False,False
90,2*3^2*5,3,9,10,False,False,False
91,7*13,2,7,13 26 39,False,False,True
92,2^2*23,2,4,23 46,False,False,True
93,3*31,2,3,31,False,False,True
94,2*47,2,2,47,False,False,True
95,5*19,2,5,19 38,False,False,True
96,2^5*3,2,3,32,False,False,False
98,2*7^2,2,2,49,False,False,False
99,3^2*11,2,9,11 22 33 44,False,False,True
100,2^2*5^2,2,4,25 50,False,False,False
102,2*3*17,3,3,34,False,False,False
104,2^3*13,2,8,13 26 39 52,False,False,True
105,3*5*7,3,15,7 49,True,False,True
106,2*53,2,2,53,False,False,True
108,2^2*3^3,2,4,27,False,False,False
110,2*5*11,3,2,55,False,False,False
111,3*37,2,3,37,False,False,True
112,2^4*7,2,7,16 32 48,False,False,False
114,2*3*19,3,6,19 38 57,False,False,True
115,5*23,2,5,23 46,False,False,True
116,2^2*29,2,4,29 58,False,False,True
117,3^2*13,2,9,13 26 39 52,False,False,True
118,2*59,2,2,59,False,False,True
119,7*17,2,7,17 34 51,False,False,True
120,2^3*3*5,3,3,40,False,False,False
121,11^2,1,11,11 22 33 44 55,False,True,True
122,2*61,2,2,61,False,False,True
123,3*41,2,3,41,False,False,True
124,2^2*31,2,4,31 62,False,False,True
125,5^3,1,5,25 50,False,False,False
126,2*3^2*7,3,6,63,False,False,False
128,2^7,1,2,64,False,False,False
129,3*43,2,3,43,False,False,True
130,2*5*13,3,10,13 26 39 52 65,False,False,True
132,2^2*3*11,3,12,11,True,False,True
133,7*19,2,7,19 38 57,False,False,True
134,2*67,2,2,67,False,False,True
135,3^3*5,2,5,27 54,False,False,False
136,2^3*17,2,4,68,False,False,False
138,2*3*23,3,6,23 46 69,False,False,True
140,2^2*5*7,3,14,10,True,False,False
141,3*47,2,3,47,False,False,True
142,2*71,2,2,71,False,False,True
143,11*13,2,11,13 26 39 52 65,False,False,True
144,2^4*3^2,2,9,16,False,False,False
145,5*29,2,5,29 58,False,False,True
146,2*73,2,2,73,False,False,True
147,3*7^2,2,3,49,False,False,False
148,2^2*37,2,4,37 74,False,False,True
150,2*3*5^2,3,6,25,False,False,False
152,2^3*19,2,8,19 38 57 76,False,False,True
153,3^2*17,2,9,17 34 51 68,False,False,True
154,2*7*11,3,14,11 22 33,True,False,True
155,5*31,2,5,31 62,False,False,True
156,2^2*3*13,3,4,39,False,False,False
158,2*79,2,2,79,False,False,True
159,3*53,2,3,53,False,False,True
160,2^5*5,2,5,32,False,False,False
161,7*23,2,7,23 46 69,False,False,True
162,2*3^4,2,2,81,False,False,False
164,2^2*41,2,4,41 82,False,False,True
