base_index	leaf_ordinal	status	selected_rotation	partition	selector_score	selector_capacities	objective	separation_rounds	cuts	denominator	support	W	U	block_maxima	detail
4	78	UNRESOLVED	2	0-1-11-12,2-3-4-5-6,7-8-9-10	475871250253441319/72157404934571304	103997,6531,109753,7133	1	22	59	0	0	0	0		fully separated LP has no strict deficit
4	79	UNRESOLVED	2	0-1-11-12,2-3-4-5-6,7-8-9-10	18543002906488257/3006558538940471	98024,6141,94858,7077	1	23	64	0	0	0	0		fully separated LP has no strict deficit
4	80	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	147702273864345459/24052468311523768	93211,5927,105325,6828	1	25	71	0	0	0	0		fully separated LP has no strict deficit
4	81	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	69782310416147123/12026234155761884	87966,5572,101026,6393	1.0000000000000018	41	90	0	0	0	0		fully separated LP has no strict deficit
4	82	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	381507232872703067/72157404934571304	82401,5156,97880,5240	1	107	217	0	0	0	0		fully separated LP has no strict deficit
4	90	UNRESOLVED	2	0-1-11-12,2-3-4-5-6,7-8-9-10	453176898831365567/72157404934571304	104949,6495,94366,6782	1.0000000000000002	24	65	0	0	0	0		fully separated LP has no strict deficit
4	91	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	150964195389357927/24052468311523768	101399,6305,105330,6492	1	27	75	0	0	0	0		fully separated LP has no strict deficit
4	92	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	35570333420894865/6013117077880942	96684,5950,101026,5931	1	38	86	0	0	0	0		fully separated LP has no strict deficit
4	93	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	391014592158185165/72157404934571304	91535,5697,95463,4817	1	59	130	0	0	0	0		fully separated LP has no strict deficit
4	101	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	145721619222526927/24052468311523768	101399,6305,85683,6828	1	26	72	0	0	0	0		fully separated LP has no strict deficit
4	102	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	34147177276260085/6013117077880942	96684,5950,78142,6393	1	42	94	0	0	0	0		fully separated LP has no strict deficit
4	103	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	373936718422567805/72157404934571304	91535,5697,72579,5279	0.99999999999999989	65	143	0	0	0	0		fully separated LP has no strict deficit
4	111	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	36246754187873437/6013117077880942	96684,5950,101026,6393	1	41	92	0	0	0	0		fully separated LP has no strict deficit
4	112	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	399131641361928029/72157404934571304	91535,5697,95463,5279	1	68	148	0	0	0	0		fully separated LP has no strict deficit
4	120	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	16540618217298728/3006558538940471	90640,5541,97026,5271	1	104	209	0	0	0	0		fully separated LP has no strict deficit
4	936	UNRESOLVED	2	0-1-11-12,2-3-4-5-6,7-8-9-10	475871250253441319/72157404934571304	103997,6531,109753,7133	1	22	59	0	0	0	0		fully separated LP has no strict deficit
4	937	UNRESOLVED	2	0-1-11-12,2-3-4-5-6,7-8-9-10	453176898831365567/72157404934571304	104949,6495,94366,6782	1.0000000000000002	24	65	0	0	0	0		fully separated LP has no strict deficit
4	938	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	150964195389357927/24052468311523768	101399,6305,105330,6492	1	27	75	0	0	0	0		fully separated LP has no strict deficit
4	939	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	35570333420894865/6013117077880942	96684,5950,101026,5931	1	38	86	0	0	0	0		fully separated LP has no strict deficit
4	940	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	130218858490877485/24052468311523768	92165,5603,97386,4731	1	117	236	0	0	0	0		fully separated LP has no strict deficit
4	948	UNRESOLVED	2	0-1-11-12,2-3-4-5-6,7-8-9-10	18543002906488257/3006558538940471	98024,6141,94858,7077	1	23	64	0	0	0	0		fully separated LP has no strict deficit
4	949	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	147702273864345459/24052468311523768	93211,5927,105325,6828	1	25	71	0	0	0	0		fully separated LP has no strict deficit
4	950	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	69782310416147123/12026234155761884	87966,5572,101026,6393	1.0000000000000018	41	90	0	0	0	0		fully separated LP has no strict deficit
4	951	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	126982445387044469/24052468311523768	82973,5346,95463,5133	1	60	132	0	0	0	0		fully separated LP has no strict deficit
4	959	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	145721619222526927/24052468311523768	101399,6305,85683,6828	1	26	72	0	0	0	0		fully separated LP has no strict deficit
4	960	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	34147177276260085/6013117077880942	96684,5950,78142,6393	1	42	94	0	0	0	0		fully separated LP has no strict deficit
4	961	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	62003083301721741/12026234155761884	91690,5724,72579,5133	1	61	136	0	0	0	0		fully separated LP has no strict deficit
4	969	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	36246754187873437/6013117077880942	96684,5950,101026,6393	1	41	92	0	0	0	0		fully separated LP has no strict deficit
4	970	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	66202237124948445/12026234155761884	91690,5724,95463,5133	1	62	136	0	0	0	0		fully separated LP has no strict deficit
4	978	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	16540618217298728/3006558538940471	90640,5541,97026,5271	1	104	209	0	0	0	0		fully separated LP has no strict deficit
3	78	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	61499079561863291/9019675616821413	109280,6872,117399,6898	1	20	58	0	0	0	0		fully separated LP has no strict deficit
3	79	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	153232864983960685/24052468311523768	103237,6519,100979,6822	1	22	63	0	0	0	0		fully separated LP has no strict deficit
3	80	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	225879185013172061/36078702467285652	96430,6061,113785,6454	1	27	78	0	0	0	0		fully separated LP has no strict deficit
3	81	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	427894007574877241/72157404934571304	90251,5713,109402,6107	1	39	87	0	0	0	0		fully separated LP has no strict deficit
