source	row	p_num	q_num	w01_num	w10_num	w11_num	denominator	sign	cleared_deficit
candidates-650651.tsv	18	37734	999977458	999818990	999999994	999999978	1000000000	1	178313161219158364644303962673038346093310800576913735979696523612579710130914308551381308404348237546286059088014994455710449117879149828106215068231441527629370961336945990142231173308319826164983886601236638761743177733627021746618866732165637230722568010131208211767563783834357615051163603573056762756784040563728295076088745615404669664460720972318288269435391136535797357837549568
candidates-650651.tsv	19	20188	999991817	999289816	999999973	999999997	1000000000	1	147406748412970115375640959850412038745561525388530972113576346063157179037001829406057076908953609352155015097378202236121992066446794858873194504246306818827971848910278546469668627481457724508681094609530504632341800569154897795961183521483114358420485334571947624253095043810995619153618951950794285682552680086190425796262984656902899370800461528650935894526631413015579033828589568
candidates-650651.tsv	20	4919	999977281	999549355	999999999	999999983	1000000000	1	119382218818742755348469610256404844088818782442550770505260605649382809338728112849372931207946441465623980426378578639723665577936159773683705732320752417012562147593145879420004508851207939584684643147253191729415739808174461239633692731919298077601753966616212580772483233119703699668916854730471862455335467206980673584174742827654918069950009503279628555240762952561161458091600549
candidates-650651.tsv	21	9308	999998528	999185042	999999968	999999982	1000000000	1	133359361059427268210612583187615663057835845423789463646642353965509972948021724638914292787011661196093488541572501188791550011295527109731164192299552133583955774145854121240745962621502910544347274152504267009469338069181197202520477395248878759580518007949575808754406873950800659156351791582197916396440725022721077107533593404975355283773285878092633909479137147362299932435283968
candidates-650651.tsv	22	14108	999957043	998329908	999999938	999999969	1000000000	1	55735630896636695571936201816844334242110832564150877578135337490742987810245857356558499885065123084633322278164800373207106128312243619788449558409202336296843722431137719830188932244143225946310912610457031799018794895082228019432297129006180413870717085273059150038821271275673323799902143438684821915829097849572602472811325561278696749605694747629430902681957457537704423306821632
candidates-650651.tsv	23	17290	999992569	999336038	999999985	999999972	1000000000	1	93074440736495970912062587723040736472813629293530661529812467787080984614872616624162101236989808046925992594052511927591232841300561673600100888332051767192461709829787302210988128285906554482190307228882029778656895750593938400916579935311287202001879665195501247798414214259478263921063678098051781635934191271819045965183370038789995196866338800536403521183531655251000000000000000
candidates-650651.tsv	24	7892	999993918	998981393	999999969	999999989	1000000000	1	85887265828896057506273744606374667360564254288238703607062880461735247384650307938954584009413633980102367296906977464853575841418748657135315874843671941806204165549703774202117491106170099322432611605596222845429372887792679729323588833010752807483717003839247754519745209242001836496401598721481328246107645682067563523716575509997272543986226817968492262986665654347952980997701632
candidates-650651.tsv	25	23023	999932888	999438756	999999986	999999996	1000000000	1	202023614096686971256922956637328997016194615954847884207504035397042110689417456684326249778782620744527628313797518111038913740552001403064595353593838579647424929887161057351349217370034262687401540550644813031507744598005736958997397333056323588080116111850365933436153034680290770782788068730372040464467943335855412990949298510595962010600281431421036703012871492339271124148813824
candidates-650651.tsv	26	7382	999979144	999200156	999999971	999999974	1000000000	1	19441391648268384424057088685980170122305794982366358055221287130007812829687331318013015205977059012756899884792496800891838966924583925048444277680291765999342841741648779473000894967302822071972065664486364063729392265624233548286718145736249917487878014318699888751869157384572336098421678560003011234582809424165587351614538029749775081728484238864578161134482348833362772045594624
candidates-650651.tsv	27	9243	999970465	999982237	999999998	999999988	1000000000	1	46068912671960194336574430996488404639848218157419258960484033316689762136040771855761955119964523788631551108053689677155807067195899941098473759254299229928042140098746544184196399291482528356917874398390307731291907980422194126832367372230515506113171760234751187476181300936228423873926774081772192510199586314008521685581037328402779728504729882633534056904268860999745391845703125
