base	direction	deficit_coefficients
2,1,1	0,-1,1,1,-1,0	0,0,23636780,0,87719460,0,56664860,0,19149040,0,4055392,0,0,0,0,0
2,1,1	0,0,-1,-1,1,1	0,0,23636780,0,87719460,0,56664860,0,19149040,0,4055392,0,0,0,0,0
2,1,1	0,0,-1,0,0,1	0,0,17948030,0,17270330,0,4445360,0,721820,0,31486,0,-250,0,0,0
2,1,1	0,0,-1,1,-1,1	0,0,23636780,0,87719460,0,56664860,0,19149040,0,4055392,0,0,0,0,0
2,1,1	0,0,0,-1,1,0	0,0,5688750,0,9235690,0,1508570,0,246230,0,25266,0,2670,0,-90,0
2,1,2	0,-1,0,-1,1,1	0,0,0,0,993794670,0,432238680,0,170061120,0,30233088,0,0,0,0,0
2,1,2	0,-1,0,0,0,1	0,0,0,0,115145550,0,12269070,0,2004750,0,89586,0,-270,0,0,0
2,1,2	0,-1,0,1,-1,1	0,0,0,0,993794670,0,432238680,0,170061120,0,30233088,0,0,0,0,0
2,1,2	0,-1,1,-1,1,0	0,0,0,0,993794670,0,432238680,0,170061120,0,30233088,0,0,0,0,0
2,1,2	0,-1,1,0,0,0	0,0,0,0,115145550,0,12269070,0,2004750,0,89586,0,-270,0,0,0
2,1,2	0,-1,1,1,-1,0	0,0,0,0,993794670,0,432238680,0,170061120,0,30233088,0,0,0,0,0
2,1,2	0,0,-1,-1,1,1	0,0,0,0,993794670,0,432238680,0,170061120,0,30233088,0,0,0,0,0
2,1,2	0,0,-1,0,0,1	0,0,0,0,115145550,0,12269070,0,2004750,0,89586,0,-270,0,0,0
2,1,2	0,0,-1,1,-1,1	0,0,0,0,993794670,0,432238680,0,170061120,0,30233088,0,0,0,0,0
2,1,2	0,0,0,-1,1,0	0,0,0,0,141717600,0,20995200,0,3907440,0,412452,0,-2160,0,0,0
2,2,1	0,-1,0,-1,1,1	0,0,1101861610,0,3697210450,0,1221721690,0,259257800,0,30445408,0,0,0,0,0
2,2,1	0,-1,0,0,0,1	0,0,836213200,0,598808760,0,72474840,0,7820050,0,454552,0,-2140,0,0,0
2,2,1	0,-1,0,1,-1,1	0,0,1101861610,0,3697210450,0,1221721690,0,259257800,0,30445408,0,0,0,0,0
2,2,1	0,-1,1,-1,1,0	0,0,1101861610,0,3697210450,0,1221721690,0,259257800,0,30445408,0,0,0,0,0
2,2,1	0,-1,1,0,0,0	0,0,836213200,0,598808760,0,72474840,0,7820050,0,454552,0,-2140,0,0,0
2,2,1	0,-1,1,1,-1,0	0,0,1101861610,0,3697210450,0,1221721690,0,259257800,0,30445408,0,0,0,0,0
2,2,1	0,0,-1,-1,1,1	0,0,1101861610,0,3697210450,0,1221721690,0,259257800,0,30445408,0,0,0,0,0
2,2,1	0,0,-1,0,0,1	0,0,836213200,0,598808760,0,72474840,0,7820050,0,454552,0,-2140,0,0,0
2,2,1	0,0,-1,1,-1,1	0,0,1101861610,0,3697210450,0,1221721690,0,259257800,0,30445408,0,0,0,0,0
2,2,1	0,0,0,-1,1,0	0,0,265648410,0,413202730,0,30678290,0,2780150,0,87726,0,2670,0,-90,0
2,2,2	0,-1,0,-1,1,1	0,0,0,0,22932357120,0,5733089280,0,1274019840,0,127401984,0,0,0,0,0
2,2,2	0,-1,0,0,0,1	0,0,0,0,2866544640,0,179159040,0,16174080,0,663552,0,-2160,0,0,0
2,2,2	0,-1,0,1,-1,1	0,0,0,0,22932357120,0,5733089280,0,1274019840,0,127401984,0,0,0,0,0
2,2,2	0,-1,1,-1,1,0	0,0,0,0,22932357120,0,5733089280,0,1274019840,0,127401984,0,0,0,0,0
2,2,2	0,-1,1,0,0,0	0,0,0,0,2866544640,0,179159040,0,16174080,0,663552,0,-2160,0,0,0
2,2,2	0,-1,1,1,-1,0	0,0,0,0,22932357120,0,5733089280,0,1274019840,0,127401984,0,0,0,0,0
2,2,2	0,0,-1,-1,1,1	0,0,0,0,22932357120,0,5733089280,0,1274019840,0,127401984,0,0,0,0,0
2,2,2	0,0,-1,0,0,1	0,0,0,0,2866544640,0,179159040,0,16174080,0,663552,0,-2160,0,0,0
2,2,2	0,0,-1,1,-1,1	0,0,0,0,22932357120,0,5733089280,0,1274019840,0,127401984,0,0,0,0,0
2,2,2	0,0,0,-1,1,0	0,0,0,0,2866544640,0,179159040,0,16174080,0,663552,0,-2160,0,0,0
