original_clause	status	remaining_clauses	seconds
159	RETAIN_CAP	2329	0.008961
160	RETAIN_CAP	2329	0.008161
161	RETAIN_CAP	2329	0.008842
162	RETAIN_CAP	2329	0.008552
163	RETAIN_CAP	2329	0.008461
164	RETAIN_CAP	2329	0.008479
165	RETAIN_CAP	2329	0.008651
166	RETAIN_CAP	2329	0.008182
167	RETAIN_CAP	2329	0.008118
168	RETAIN_CAP	2329	0.008206
169	RETAIN_CAP	2329	0.008402
170	RETAIN_CAP	2329	0.008100
171	RETAIN_CAP	2329	0.010223
172	RETAIN_CAP	2329	0.007449
173	RETAIN_CAP	2329	0.007813
174	RETAIN_CAP	2329	0.008776
175	RETAIN_CAP	2329	0.008973
176	RETAIN_CAP	2329	0.007574
177	RETAIN_CAP	2329	0.007643
178	RETAIN_CAP	2329	0.007687
179	RETAIN_CAP	2329	0.008927
180	RETAIN_CAP	2329	0.008372
181	RETAIN_CAP	2329	0.007385
182	RETAIN_CAP	2329	0.007554
183	RETAIN_CAP	2329	0.008489
184	RETAIN_CAP	2329	0.008174
185	RETAIN_CAP	2329	0.008460
186	RETAIN_CAP	2329	0.007562
187	RETAIN_CAP	2329	0.007539
188	RETAIN_CAP	2329	0.007403
189	RETAIN_CAP	2329	0.007650
190	RETAIN_CAP	2329	0.007461
191	RETAIN_CAP	2329	0.007413
192	RETAIN_CAP	2329	0.007371
193	RETAIN_CAP	2329	0.007855
194	RETAIN_CAP	2329	0.008695
195	RETAIN_CAP	2329	0.008059
196	RETAIN_CAP	2329	0.008435
197	RETAIN_CAP	2329	0.008172
198	RETAIN_CAP	2329	0.008004
199	RETAIN_CAP	2329	0.009007
200	RETAIN_CAP	2329	0.008407
201	RETAIN_CAP	2329	0.008208
202	RETAIN_CAP	2329	0.008632
203	RETAIN_CAP	2329	0.008765
204	RETAIN_CAP	2329	0.007709
205	RETAIN_CAP	2329	0.009032
206	RETAIN_CAP	2329	0.008486
207	RETAIN_CAP	2329	0.008704
208	RETAIN_CAP	2329	0.008289
209	RETAIN_CAP	2329	0.008287
210	RETAIN_CAP	2329	0.009338
211	RETAIN_CAP	2329	0.009807
212	RETAIN_CAP	2329	0.009112
213	RETAIN_CAP	2329	0.008895
214	RETAIN_CAP	2329	0.012021
215	RETAIN_CAP	2329	0.008808
216	RETAIN_CAP	2329	0.007705
217	RETAIN_CAP	2329	0.008364
218	RETAIN_CAP	2329	0.007476
219	RETAIN_CAP	2329	0.009017
220	RETAIN_CAP	2329	0.007480
221	RETAIN_CAP	2329	0.008431
222	RETAIN_CAP	2329	0.008705
223	RETAIN_CAP	2329	0.008911
224	RETAIN_CAP	2329	0.008724
225	RETAIN_CAP	2329	0.008958
226	RETAIN_CAP	2329	0.008812
227	RETAIN_CAP	2329	0.008802
228	RETAIN_CAP	2329	0.007389
