base_index	leaf_ordinal	status	oracle_score	partition	objective	class_weights	denominator	W	U	block_maxima	separation_rounds	detail
4	970	UNRESOLVED	1139	0-1-2-4,3-5-6,7-8-9,10-11-12	1.4225589225589226	0,0,0,0,0,0.00084175084175084171,0,0	0	0	0		3	class LP did not integerize strictly
4	978	UNRESOLVED	1119	0-1-2-3,4-5-7,6-11-12,8-9-10	1.4343434343434343	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		3	class LP did not integerize strictly
3	78	UNRESOLVED	800	0-1-7,2-3-11,4-6-8-9,5-10-12	1.4747474747474749	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	79	UNRESOLVED	835	0-1-2,3-7-11,4-6-8-9,5-10-12	1.4343434343434343	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	80	UNRESOLVED	899	0-1-2-6,3-7-11,4-8-9,5-10-12	1.4545454545454546	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	81	UNRESOLVED	909	0-1-2-6,3-4-11,5-10-12,7-8-9	1.4343434343434347	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	82	UNRESOLVED	959	0-3-11,1-2-4-6,5-10-12,7-8-9	1.5050505050505052	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	90	UNRESOLVED	835	0-1-2,3-7-11,4-6-8-9,5-10-12	1.4343434343434343	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	91	UNRESOLVED	897	0-1-2,3-7-11,4-6-8-9,5-10-12	1.4343434343434343	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	92	UNRESOLVED	903	0-1-2,3-6-11,4-8-9,5-7-10-12	1.4242424242424243	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	93	UNRESOLVED	949	0-1-2-4,3-6-11,5-10-12,7-8-9	1.4040404040404042	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	101	UNRESOLVED	997	0-1-2-6,3-7-11,4-8-9,5-10-12	1.4545454545454546	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	102	UNRESOLVED	1007	0-1-2-6,3-4-11,5-10-12,7-8-9	1.4343434343434347	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	103	UNRESOLVED	1021	0-1-2-3,4-5-6,7-8-9,10-11-12	1.4545454545454546	0,0,0,0,0,-0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	111	UNRESOLVED	1085	0-1-2-6,3-7-11,4-8-9,5-10-12	1.4545454545454546	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	112	UNRESOLVED	1115	0-1-2-4,3-5-7,6-8-9,10-11-12	1.4242424242424243	-0,0,0,0,0,-0,0,0.0050505050505050509	0	0	0		4	class LP did not integerize strictly
3	120	UNRESOLVED	1097	0-1-2-6,3-4-5,7-8-9,10-11-12	1.4646464646464648	0,0,0,0,0,-0,0,0.0050505050505050509	0	0	0		3	class LP did not integerize strictly
3	936	UNRESOLVED	800	0-1-7,2-3-11,4-6-8-9,5-10-12	1.4747474747474749	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	937	UNRESOLVED	835	0-1-2,3-7-11,4-6-8-9,5-10-12	1.4343434343434343	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	938	UNRESOLVED	897	0-1-2,3-7-11,4-6-8-9,5-10-12	1.4343434343434343	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	939	UNRESOLVED	903	0-1-2,3-6-11,4-8-9,5-7-10-12	1.4242424242424243	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	940	UNRESOLVED	949	0-1-2-4,3-6-11,5-10-12,7-8-9	1.4040404040404042	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	948	UNRESOLVED	835	0-1-2,3-7-11,4-6-8-9,5-10-12	1.4343434343434343	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	949	UNRESOLVED	899	0-1-2-6,3-7-11,4-8-9,5-10-12	1.4545454545454546	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	950	UNRESOLVED	909	0-1-2-6,3-4-11,5-10-12,7-8-9	1.4343434343434347	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	951	UNRESOLVED	959	0-2-4-6,1-3-11,5-10-12,7-8-9	1.5050505050505052	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	959	UNRESOLVED	997	0-1-2-6,3-7-11,4-8-9,5-10-12	1.4545454545454546	-0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	960	UNRESOLVED	1007	0-1-2-6,3-4-11,5-10-12,7-8-9	1.4343434343434347	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	961	UNRESOLVED	1021	0-1-2-3,4-5-6,7-8-9,10-11-12	1.4545454545454546	0,0,0,0,0,-0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	969	UNRESOLVED	1085	0-1-2-6,3-7-11,4-8-9,5-10-12	1.4545454545454546	0,0,0,0,0,0,0,0.0050505050505050509	0	0	0		2	class LP did not integerize strictly
3	970	UNRESOLVED	1115	0-1-2-4,3-5-7,6-8-9,10-11-12	1.4242424242424243	-0,0,0,0,0,-0,0,0.0050505050505050509	0	0	0		4	class LP did not integerize strictly
3	978	UNRESOLVED	1097	0-1-2-6,3-4-5,7-8-9,10-11-12	1.4646464646464648	0,0,0,0,0,-0,0,0.0050505050505050509	0	0	0		3	class LP did not integerize strictly
