target	census_index	status	nodes	mapping	cnf_sha256
74	3324270	NO_MATCH	5	-	384d14b9051c4a73517e963dfc65d8a4691379dbe2ba6930a022a9b287928371
75	3324271	NO_MATCH	5	-	7c972752fe8f48231f5ea79f1727deb5e75351e064ffcb6652aff4359d35572f
76	3324272	NO_MATCH	16	-	f37eace6f5be54835a7d49c0b6315ab20042e7edbe0ad8df0485d8b6d15e6ca6
77	3324273	NO_MATCH	16	-	800779b2979c6c87fa804afd171af6bfcb42952692253681b3f69172c7d6ad59
78	3324274	NO_MATCH	16	-	978e22c4355d13ef8167398270a93b52c34fb474c9853a9baa090c49b90097f8
79	3324275	NO_MATCH	65	-	832242d0124c8680206a753d5bff72558295dd5dd12af2198fe318a596cf3a3c
80	3799160	NO_MATCH	16	-	42bda0d33f0c74e96962963e26881a337adfd9849197bc40f4bfd1d1ed336b3d
81	3799161	NO_MATCH	16	-	25c1f4b0d4364e3de97c2791dccafd8b20e3f12e39e61ac0af00c0f0ab4d1f32
82	3799162	NO_MATCH	326	-	2d829a0b12b8ab4d5f293237a482f7ff0abed6401a9861c52953d6bdc153927a
83	3799163	NO_MATCH	326	-	5423364f1c64851794245a88d87055c3c6d722c16375fcfc6794fa563d87c59d
84	3799164	NO_MATCH	65	-	53c4e3d1a961c890b89ccf32758420277d2cdbbe4fd241357c61c67b1f3faa52
85	3799165	NO_MATCH	16	-	c2677a2e48788a502cfb1b67bd30475ae9d983983c2df7d08279e898c754673e
86	3799166	NO_MATCH	5	-	5fbdb66816720c822b5005d705ca9841530c346d3300f4849b5b5ae7cb6c4ffd
87	3799167	NO_MATCH	65	-	28584b5571dc5ebf614feb8ca394ea5c687599260192029ff12becd36c842671
88	3799168	NO_MATCH	16	-	9cea793d479d3f1e98f638542ef393cf3595b8a6afde029e78aabca628f8a400
89	3799169	NO_MATCH	5	-	90b4f1f401143fc7f2e85951114de08fa46ce1aaf5934087eb75103785126a88
90	4274054	NO_MATCH	16	-	955c7982d9626a5a5700449a68af26f2d3ddc590c4635d81b55ec0eb7102e590
91	4274055	NO_MATCH	65	-	b2608adfa9e40e66348786a838772e400991b1f1854bf6ed0e0ac92517ec7af6
92	4274056	NO_MATCH	16	-	e23ee943ced86ac639e22f51b341792dc22bda2d126f246f8a56b0fbcb672aab
93	4274057	NO_MATCH	1	-	b41ec8a6cc24c549c990d120c3d470850024e89010bd6240dd6292cfd36d6b09
94	4274058	NO_MATCH	5	-	1833b426d1ce3151551de80b0d7c251297daf51569d0754f86c30f9f14b21509
95	4274059	NO_MATCH	65	-	39db3c6709b161fb9202babea990e268e7a0a27cd69c86265e91c012f00539ba
96	4274060	NO_MATCH	16	-	7f54ea5a8b481ade907d0ada407da0b3df1b8124ae1521f4d180c7c0cbcad797
97	4274061	NO_MATCH	16	-	853221ef75e6651320d621fd1a2b80a3f1c76253c403826a7cbbaaf47fd5f621
98	4274062	NO_MATCH	16	-	6ce9a40adb673861aaa8b4fba371ef8f5ef854a9e9deb5f1d7fe4fb3ba123a41
99	4274063	NO_MATCH	5	-	818a71c24a4d4e229573c14acdeca4263e3c2ae7745d22266d2c89eba26e412b
