base_index	leaf_ordinal	status	partition	partition_rank	objective	source_clauses	weights	support	denominator	W	U	block_maxima	partitions_tested	detail
4	970	UNRESOLVED	0-3,1-2,4-5,6-7,8-9,10-11,12	-1	1			0	0	0	0		73	no frozen partition produced exact deficit
4	971	UNRESOLVED	0-2,1-11,3-4,5-6,7-8,9-10,12	-1	0.99999999999999978			0	0	0	0		74	no frozen partition produced exact deficit
4	978	UNRESOLVED	0-1,2-3,4-5,6-7,8-9,10-12,11	-1	0.99999999999979694			0	0	0	0		73	no frozen partition produced exact deficit
4	986	UNRESOLVED	0-2,1-12,3-4,5-6,7-8,9-10,11	-1	0.99999999999994149			0	0	0	0		74	no frozen partition produced exact deficit
3	78	UNRESOLVED	0-3,1-2,4-5,6-7,8-9,10-11,12	-1	0.99999999999997147			0	0	0	0		73	no frozen partition produced exact deficit
3	79	UNRESOLVED	0-1,2-4,3-11,5-6,7-8,9-10,12	-1	0.99999999999997979			0	0	0	0		73	no frozen partition produced exact deficit
3	80	UNRESOLVED	0-1,2-3,4-5,6-7,8-12,9-10,11	-1	0.99999999999988898			0	0	0	0		73	no frozen partition produced exact deficit
3	81	UNRESOLVED	0-2,1-3,4-5,6-7,8-9,10-11,12	-1	0.99999999999987521			0	0	0	0		73	no frozen partition produced exact deficit
3	82	UNRESOLVED	0-1,2-3,4-5,6-7,8-11,9-10,12	-1	0.99999999999994449			0	0	0	0		73	no frozen partition produced exact deficit
3	83	CERTIFIED_DEFICIT	0,1-2,3-4,5-6,7-8,9-10,11-12	2	0.99631004404061929	1205,1209,1213,1215,1217,1219,1221,1223,1406,1420,1428,1448,1462,1504,1518,1569,1571,1573,1577,1579,1583,1587,1607,1611,1613,1615,1619,1621,1638,1672,1686,1728,1742,1750,1770,1784,1804,1818,1846,1860,1902,1916,1969,1971,1973,1975,1977,1985,2001,2005,2011,2013,2015,2016,2017,2019,2070,2084,2126,2140,2156,2168,2182,2184,2202,2216,2244,2258,2296,2300,2314,2338,2365,2367,2369,2371,2375,2379,2383,2399,2403,2407,2409,2411,2413,2417,2468,2482,2524,2538,2566,2580	61,40,1,75,61,5,2,32,71,26,140,18,39,21,60,32,2,5,75,1,40,61,40,1,75,61,2,32,298,60,21,39,18,18,26,71,71,26,18,39,21,60,2,5,61,75,1,61,61,40,75,61,5,140,2,32,60,21,39,18,60,26,71,238,71,26,18,39,83,21,60,39,32,2,5,61,1,40,61,61,40,1,75,61,5,32,60,21,39,18,26,71	92	4096	4088	4075	277,0,298,516,1022,1057,905	3	exact integerized pair-choice deficit
