seed	rank	p	q	w01	w10	w11	log_ratio	t_H	m	float_deficit
650653	0	0.999917213261349865341	1.0990690988600279012e-07	0.999999996973831346879	0.999714638580533978586	0.999999986865402617402	-2.62675314862352268126e-18	0.9999999545948845504	0.999999996972992239396	-2.60208521396521064162e-18
650653	1	0.999926568658981017367	5.92555578204121073537e-07	0.999999990303080247373	0.999613319251321848159	0.999999991434069197219	-2.56140242933771550028e-18	0.999999854547293142316	0.999999990303152218123	-2.54787510534093541992e-18
650653	2	0.99996772643509888016	1.98503333681834703079e-05	0.999999991334995871775	0.99976645905876714948	0.999999992887575150729	-2.55175697348276728081e-18	0.999999870026033363304	0.99999999133506836549	-2.54787510534093541992e-18
650653	3	0.999964478924798999895	1.67129362616047720233e-05	0.999999993593490612447	0.999930244760797386325	0.999999985281831813835	-2.54342170709461770147e-18	0.999999903898919892831	0.999999993593261039034	-2.54787510534093541992e-18
650653	4	0.999995873236899959898	3.287041927257826428e-05	0.999999988759929757821	0.999972206006238154051	0.999999988645855901286	-2.5190616645699343841e-18	0.999999831404438004458	0.999999988760294982815	-2.49366499671666019822e-18
650653	5	0.999917452332551159628	8.70598822762978351499e-05	0.999999983329678199565	0.999877361541805619776	0.999999985932053833725	-2.51176598326600496457e-18	0.99999974995697364828	0.999999983330462964939	-2.49366499671666019822e-18
650653	6	0.99992494239404927837	3.81112137144491193662e-05	0.999999992030029683692	0.999953416813577130348	0.999999997921797711628	-2.51052243353730512773e-18	0.99999988045964238563	0.999999992030642381301	-2.49366499671666019822e-18
650653	7	0.999894679229443868293	7.50802829670677844653e-06	0.999999995545716176216	0.999772947951923818515	0.99999999608665696843	-2.44176053772760290089e-18	0.999999933184407821562	0.999999995545627049377	-2.43945488809238497652e-18
650653	8	0.999987984689219160529	8.05175424201264041685e-06	0.999999981701627973412	0.999129176527456698467	0.999999998598499911546	-2.43108115780575168139e-18	0.999999725528446351192	0.99999998170189407983	-2.43945488809238497652e-18
650653	9	0.999991939547028608267	1.00258553419201334664e-05	0.999999988358936046386	0.999893881848705770154	0.999999980717347505843	-2.42712585153516159701e-18	0.999999825384753051965	0.999999988358982588366	-2.43945488809238497652e-18
650653	10	0.999955969631126799003	6.10748306672821976082e-05	0.99999998988360904405	0.999857012431645584204	0.999999996814803485579	-2.42383568894994364487e-18	0.999999848262224004113	0.999999989884147550789	-2.43945488809238497652e-18
650653	11	0.999945868504281130333	1.00205787733888489501e-05	0.999999984010961499197	0.999787446641009336324	0.999999983283345110561	-2.38149248141441608303e-18	0.999999760164532397054	0.999999984010967037085	-2.38524477946810975482e-18
650653	12	0.999927084848933963744	6.4148018638151085675e-06	0.999999983258295813073	0.999536216005397169511	0.999999992753244128728	-2.37436399399179894422e-18	0.99999974888320843254	0.999999983258878600472	-2.38524477946810975482e-18
650653	13	0.999897860475969214216	6.45257189908481136851e-05	0.999999978293364881303	0.999909383087343593753	0.999999986340951606354	-2.37236115708426078368e-18	0.9999996744249027501	0.99999997829499021908	-2.38524477946810975482e-18
650653	14	0.999978020702555801835	1.22356226360631443973e-05	0.999999979015263517983	0.999921539069784234008	0.999999999427518368618	-2.36041478203322267746e-18	0.999999685239263538697	0.999999979015947820424	-2.38524477946810975482e-18
650653	15	0.999975008319203327134	4.62065531775238570353e-05	0.999999983201250706858	0.999731570716933366674	0.999999992867033500425	-2.35589054352225803487e-18	0.999999748029407060923	0.999999983201958495666	-2.33103467084383453312e-18
650653	16	0.999899041931737699886	2.62253940140802642654e-05	0.999999976412511085351	0.999806465254820127785	0.999999984938820344889	-2.35285202478901519912e-18	0.999999646202228990562	0.999999976413478038593	-2.33103467084383453312e-18
650653	17	0.99996937989984633309	1.10812419457412138521e-06	0.999999995271463255116	0.999229039601993230038	0.999999978264203264768	-2.35090288999780762967e-18	0.999999929063825929805	0.999999995270921572261	-2.33103467084383453312e-18
650653	18	0.999988551616366283135	6.09213050805593211673e-05	0.999999989917992383379	0.999687248976269154422	0.999999996403330814105	-2.34655619805050925179e-18	0.999999848776951264439	0.999999989918462706324	-2.33103467084383453312e-18
650653	19	0.999935107055872739537	1.29122438776326377681e-05	0.999999991867380698049	0.999746961259198775249	0.999999994534442080123	-2.33337440290522905646e-18	0.999999878011708269909	0.999999991867446755181	-2.33103467084383453312e-18
650653	20	0.999954444986541787191	8.63473396668883363823e-05	0.999999988038486389559	0.999903602924738141495	0.999999983888440386909	-2.33243882285834036874e-18	0.999999820584280205149	0.999999988038951012365	-2.33103467084383453312e-18
650653	21	0.999912276520775357555	7.54335343271550335185e-06	0.999999988804837365618	0.999858176813386758579	0.999999989966455353507	-2.32561340665734441658e-18	0.999999832073961157143	0.999999988804929866657	-2.33103467084383453312e-18
650653	22	0.999914139083993171024	1.45030487992880590912e-05	0.999999994396730869091	0.999826768644660005447	0.999999998038516378044	-2.30436019635227345102e-18	0.999999915953639804728	0.999999994396909100706	-2.33103467084383453312e-18
650653	23	0.999963123935693687849	5.76315864537125893784e-05	0.999999981139393246266	0.999850676012022573534	0.999999990057973022926	-2.30201301320301741486e-18	0.999999717107413279324	0.999999981140491729008	-2.27682456221955931142e-18
650653	24	0.999972864350498928405	2.14158556351063007625e-05	0.999999985505785244505	0.999881839495429868806	0.999999988241934762291	-2.29158685394618399096e-18	0.999999782591540494359	0.999999985506101229265	-2.27682456221955931142e-18
650653	25	0.999969670412020419123	1.35268121202791782133e-07	0.999999989737128801076	0.999551779258532593767	0.999999996824805336597	-2.29121454512235270166e-18	0.999999846060160808804	0.999999989737343316818	-2.27682456221955931142e-18
650653	26	0.999999259990506345931	4.20210951098313765076e-05	0.99999999966978077217	0.999485595722912951229	0.999999999032032720861	-2.28836888831490864929e-18	0.999999995046672718183	0.999999999669778180601	-2.27682456221955931142e-18
650653	27	0.999987977434429490642	4.25019739371312053934e-06	0.999999965341079020921	0.999459542847354644938	0.999999965734145509621	-2.27800086474939800133e-18	0.999999480118177689746	0.999999965341203437511	-2.27682456221955931142e-18
650653	28	0.999973258800900257834	0.000129556678940421063107	0.999999991180707479221	0.999988662464000697288	0.999999990007233379048	-2.27327814166551184553e-18	0.999999867726699502297	0.999999991181779422644	-2.27682456221955931142e-18
650653	29	0.99990394480199190283	3.20530763966097491078e-05	0.999999947616390661201	0.999416053492922212571	0.999999966410474318496	-2.2695859563778960508e-18	0.999999214271443650636	0.99999994761807703647	-2.27682456221955931142e-18
650653	30	0.999891475857442402079	8.15446015310557472304e-05	0.999999994263057161896	0.999960917841586999113	0.999999998406692884199	-2.26652281609673269133e-18	0.999999913954434953745	0.999999994263628766726	-2.27682456221955931142e-18
650653	31	0.99997792268663720529	5.08336256284467546877e-05	0.999999988794117237816	0.999865838096280457015	0.999999995209190434319	-2.26088488228854196611e-18	0.999999831920182102819	0.999999988794677928091	-2.27682456221955931142e-18
