x	y	r	h	numerator	denominator
0	1	8	7	755	81
0	1	8	8	3350	81
0	1	9	0	-110	27
0	1	9	1	4150	81
0	1	9	2	-1750	9
0	1	9	3	156280	243
0	1	9	4	-20860	243
0	1	9	5	47530	81
0	1	9	6	1900	27
0	1	9	7	1400	27
0	1	9	8	-1325	81
0	1	9	9	-1390	81
0	1	10	0	-220	81
0	1	10	1	550	9
0	1	10	2	-29050	81
0	1	10	3	21770	27
0	1	10	4	-416480	243
0	1	10	5	-6440	243
0	1	10	6	-8830	27
0	1	10	7	-7600	81
0	1	10	8	40	1
0	1	10	9	605	27
0	1	10	10	-1210	81
0	1	11	0	-65	81
0	1	11	1	1100	27
0	1	11	2	-3850	9
0	1	11	3	124250	81
0	1	11	4	-57790	27
0	1	11	5	728800	243
0	1	11	6	116060	243
0	1	11	7	-41030	81
0	1	11	8	2225	27
0	1	11	9	5360	243
0	1	11	10	-2065	81
0	1	11	11	1210	81
0	1	12	1	325	27
0	1	12	2	-7700	27
0	1	12	3	449570	243
0	1	12	4	-1077400	243
0	1	12	5	98630	27
0	1	12	6	-256960	81
0	1	12	7	-88060	81
0	1	12	8	98480	81
0	1	12	9	-1025	9
0	1	12	10	-1640	9
0	1	12	11	2155	81
0	1	12	12	2680	243
0	1	13	0	-5	81
0	1	13	2	-2275	27
0	1	13	3	100060	81
0	1	13	4	-149050	27
0	1	13	5	2203240	243
0	1	13	6	-31750	9
0	1	13	7	80440	81
0	1	13	8	81760	81
0	1	13	9	-26660	27
0	1	13	10	18175	81
0	1	13	11	5240	27
0	1	13	12	-700	27
0	1	13	13	-2860	243
0	1	14	1	25	27
0	1	14	3	29575	81
0	1	14	4	-99940	27
0	1	14	5	974050	81
0	1	14	6	-3238900	243
0	1	14	7	1450	9
0	1	14	8	226120	81
0	1	14	9	86240	243
0	1	14	10	2200	81
0	1	14	11	-27325	81
0	1	14	12	-620	27
0	1	14	13	1720	81
0	1	14	14	-1360	243
0	1	15	2	-175	27
0	1	15	4	-29575	27
0	1	15	5	219340	27
0	1	15	6	-4797650	243
0	1	15	7	1126600	81
0	1	15	8	48070	9
0	1	15	9	-16520	3
0	1	15	10	-172060	81
0	1	15	11	58640	81
0	1	15	12	85175	243
0	1	15	13	-23780	243
0	1	15	14	-1000	81
0	1	15	15	1300	243
0	1	16	3	2275	81
0	1	16	5	65065	27
0	1	16	6	-364100	27
0	1	16	7	223850	9
0	1	16	8	-780250	81
0	1	16	9	-252070	27
0	1	16	10	48200	9
0	1	16	11	222880	81
0	1	16	12	-62620	81
0	1	16	13	-57325	243
0	1	16	14	17660	243
0	1	16	15	280	81
0	1	17	4	-2275	27
0	1	17	6	-325325	81
0	1	17	7	51700	3
0	1	17	8	-654610	27
0	1	17	9	792050	243
0	1	17	10	83230	9
0	1	17	11	-88280	27
0	1	17	12	-160615	81
0	1	17	13	33800	81
0	1	17	14	21875	243
0	1	17	15	-4100	243
0	1	18	5	5005	27
0	1	18	7	46475	9
0	1	18	8	-51260	3
0	1	18	9	1482250	81
0	1	18	10	96670	81
0	1	18	11	-18250	3
0	1	18	12	314480	243
0	1	18	13	211015	243
0	1	18	14	-9800	81
0	1	18	15	-1175	81
0	1	19	6	-25025	81
0	1	19	8	-46475	9
0	1	19	9	1064140	81
0	1	19	10	-95590	9
0	1	19	11	-185350	81
0	1	19	12	73150	27
0	1	19	13	-78640	243
0	1	19	14	-53305	243
0	1	19	15	400	27
0	1	20	7	3575	9
0	1	20	9	325325	81
0	1	20	10	-209660	27
0	1	20	11	125950	27
0	1	20	12	118700	81
0	1	20	13	-21230	27
0	1	20	14	11600	243
0	1	20	15	6055	243
0	1	21	8	-3575	9
0	1	21	10	-65065	27
0	1	21	11	93500	27
0	1	21	12	-365750	243
0	1	21	13	-129500	243
0	1	21	14	3610	27
0	1	21	15	-280	81
0	1	22	9	25025	81
0	1	22	11	29575	27
0	1	22	12	-91300	81
0	1	22	13	9130	27
0	1	22	14	26600	243
0	1	22	15	-10	1
0	1	23	10	-5005	27
0	1	23	12	-29575	81
0	1	23	13	6820	27
0	1	23	14	-3850	81
0	1	23	15	-2420	243
0	1	24	11	2275	27
0	1	24	13	2275	27
0	1	24	14	-940	27
0	1	24	15	770	243
0	1	25	12	-2275	81
0	1	25	14	-325	27
0	1	25	15	20	9
0	1	26	13	175	27
0	1	26	15	65	81
0	1	27	14	-25	27
0	1	28	15	5	81
0	2	2	0	50	243
0	2	3	1	-250	81
0	2	3	3	40	243
0	2	4	0	40	27
0	2	4	2	1750	81
0	2	4	4	-370	243
0	2	5	0	155	243
0	2	5	1	-200	9
0	2	5	3	-7150	81
0	2	5	4	5	81
0	2	5	5	1790	243
0	2	6	0	220	27
0	2	6	1	-775	81
0	2	6	2	1400	9
0	2	6	3	560	243
0	2	6	4	56500	243
0	2	6	5	-35	81
0	2	6	6	-5090	243
0	2	7	0	100	9
0	2	7	1	-1100	9
0	2	7	2	5425	81
0	2	7	3	-50680	81
0	2	7	4	-3640	243
0	2	7	5	-94300	243
0	2	7	6	265	81
0	2	7	7	1030	27
0	2	8	0	5765	243
0	2	8	1	-500	3
0	2	8	2	7700	9
0	2	8	3	-18755	81
0	2	8	4	127465	81
0	2	8	5	18200	243
