x	y	r	h	numerator	denominator
0	2	4	6	-1985	128
0	2	5	3	12795	2048
0	2	5	5	11995	256
0	2	5	7	40195	2048
0	2	6	4	-23075	512
0	2	6	6	-51625	512
0	2	6	8	1365	64
0	2	7	3	6065	512
0	2	7	5	238495	1024
0	2	7	7	108895	1024
0	2	7	9	-61775	512
0	2	8	4	-18575	256
0	2	8	6	-320695	512
0	2	8	8	31645	256
0	2	8	10	2725	16
0	2	9	3	23215	2048
0	2	9	5	3505	16
0	2	9	7	1737485	2048
0	2	9	9	-24145	32
0	2	9	11	20735	2048
0	2	10	4	-31315	256
0	2	10	6	-93225	256
0	2	10	8	-129895	256
0	2	10	10	355555	256
0	2	10	12	-15735	64
0	2	11	3	-1005	1024
0	2	11	5	624185	1024
0	2	11	7	-28815	512
0	2	11	9	-13975	512
0	2	11	11	-1243175	1024
0	2	11	13	139315	1024
0	2	12	4	5585	512
0	2	12	6	-476245	256
0	2	12	8	263195	128
0	2	12	10	-18055	256
0	2	12	12	199785	512
0	2	12	14	10665	128
0	2	13	3	45	2048
0	2	13	5	-14235	256
0	2	13	7	7958605	2048
0	2	13	9	-89895	16
0	2	13	11	2144805	2048
0	2	13	13	-18915	256
0	2	13	15	84885	2048
0	2	14	4	-135	512
0	2	14	6	88075	512
0	2	14	8	-751835	128
0	2	14	10	1088325	128
0	2	14	12	-1004015	512
0	2	14	14	116595	512
0	2	15	5	1485	1024
0	2	15	7	-368625	1024
0	2	15	9	3383275	512
0	2	15	11	-4250725	512
0	2	15	13	1791295	1024
0	2	15	15	-135315	1024
0	2	16	6	-2475	512
0	2	16	8	137565	256
0	2	16	10	-715265	128
0	2	16	12	1383545	256
0	2	16	14	-406875	512
0	2	17	7	22275	2048
0	2	17	9	-18795	32
0	2	17	11	7227385	2048
0	2	17	13	-36685	16
0	2	17	15	303475	2048
0	2	18	8	-4455	256
0	2	18	10	121395	256
0	2	18	12	-415335	256
0	2	18	14	148095	256
0	2	19	9	10395	512
0	2	19	11	-287775	1024
0	2	19	13	526785	1024
0	2	19	15	-33885	512
0	2	20	10	-4455	256
0	2	20	12	61125	512
0	2	20	14	-25785	256
0	2	21	11	22275	2048
0	2	21	13	-8845	256
0	2	21	15	18795	2048
0	2	22	12	-2475	512
0	2	22	14	3135	512
0	2	23	13	1485	1024
0	2	23	15	-515	1024
0	2	24	14	-135	512
0	2	25	15	45	2048
0	3	2	4	-25	128
0	3	3	5	25	128
0	3	4	4	-295	64
0	3	4	6	-245	64
0	3	5	5	2255	128
0	3	5	7	6245	256
0	3	6	4	-1205	64
0	3	6	6	-3525	32
0	3	6	8	-7525	64
0	3	7	5	3335	64
0	3	7	7	34065	128
0	3	7	9	2205	8
0	3	8	4	-1745	32
0	3	8	6	-9935	32
0	3	8	8	-20825	32
0	3	8	10	-8335	32
0	3	9	5	25105	64
0	3	9	7	156975	128
0	3	9	9	103185	64
0	3	9	11	-42185	128
0	3	10	4	-325	128
0	3	10	6	-11525	8
0	3	10	8	-68445	32
0	3	10	10	-41395	16
0	3	10	12	117435	128
0	3	11	5	3225	128
0	3	11	7	120355	32
0	3	11	9	44035	32
0	3	11	11	133635	64
0	3	11	13	-48485	128
0	3	12	4	45	64
0	3	12	6	-7045	64
0	3	12	8	-121955	16
0	3	12	10	11595	8
0	3	12	12	-33255	64
0	3	12	14	-23385	64
0	3	13	5	-945	128
0	3	13	7	70965	256
0	3	13	9	23635	2
0	3	13	11	-306485	64
0	3	13	13	46015	128
0	3	13	15	-52955	256
0	3	14	6	1125	32
0	3	14	8	-28185	64
0	3	14	10	-217585	16
0	3	14	12	400495	64
0	3	14	14	-30645	32
0	3	15	7	-12825	128
0	3	15	9	14385	32
0	3	15	11	363875	32
0	3	15	13	-302665	64
0	3	15	15	62265	128
0	3	16	8	6075	32
0	3	16	10	-8925	32
0	3	16	12	-216005	32
0	3	16	14	63315	32
0	3	17	9	-16065	64
0	3	17	11	9915	128
0	3	17	13	173895	64
0	3	17	15	-45325	128
0	3	18	10	945	4
0	3	18	12	2655	128
0	3	18	14	-10695	16
0	3	19	11	-10125	64
0	3	19	13	-3305	128
0	3	19	15	1215	16
0	3	20	12	4725	64
0	3	20	14	555	64
0	3	21	13	-2925	128
0	3	21	15	-275	256
0	3	22	14	135	32
0	3	23	15	-45	128
0	4	2	4	25	256
0	4	3	5	-25	256
0	4	4	4	295	128
0	4	4	6	285	64
0	4	5	5	-2255	256
0	4	5	7	-2905	128
0	4	6	4	1205	128
0	4	6	6	1375	16
0	4	6	8	15095	128
0	4	7	5	-3335	128
0	4	7	7	-17315	256
0	4	7	9	-30855	128
0	4	8	4	1745	64
0	4	8	6	23435	64
0	4	8	8	13345	64
0	4	8	10	2865	64
0	4	9	5	-25105	128
0	4	9	7	-81925	64
0	4	9	9	-149275	128
0	4	9	11	4425	4
0	4	10	4	325	256
0	4	10	6	46125	64
0	4	10	8	75355	64
0	4	10	10	76935	32
0	4	10	12	-513375	256
0	4	11	5	-3225	256
0	4	11	7	-231335	128
0	4	11	9	120605	64
0	4	11	11	-259795	128
0	4	11	13	139375	256
0	4	12	4	-45	128
0	4	12	6	965	16
0	4	12	8	104975	32
0	4	12	10	-26305	4
0	4	12	12	61055	128
0	4	12	14	8325	8
0	4	13	5	945	256
0	4	13	7	-23985	128
0	4	13	9	-271875	64
0	4	13	11	309465	32
0	4	13	13	-284475	256
0	4	13	15	83925	128
0	4	14	6	-1125	64
0	4	14	8	53835	128
0	4	14	10	122485	32
0	4	14	12	-1192995	128
0	4	14	14	72225	32
0	4	15	7	12825	256
0	4	15	9	-90195	128
0	4	15	11	-149825	64
0	4	15	13	770645	128
0	4	15	15	-269175	256
0	4	16	8	-6075	64
0	4	16	10	56175	64
0	4	16	12	60105	64
0	4	16	14	-149055	64
0	4	17	9	16065	128
0	4	17	11	-25455	32
0	4	17	13	-29625	128
0	4	17	15	25775	64
0	4	18	10	-945	8
0	4	18	12	129645	256
0	4	18	14	1905	64
0	4	19	11	10125	128
0	4	19	13	-54745	256
0	4	19	15	-135	128
0	4	20	12	-4725	128
0	4	20	14	3435	64
0	4	21	13	2925	256
0	4	21	15	-775	128
0	4	22	14	-135	64
0	4	23	15	45	256
0	5	4	6	-195	64
0	5	5	7	3225	256
0	5	6	6	-1185	32
0	5	6	8	-145	2
0	5	7	7	-5025	64
0	5	7	9	4695	64
0	5	8	6	-2025	8
0	5	8	8	-1945	32
0	5	8	10	10505	32
0	5	9	7	102435	128
0	5	9	9	15555	16
0	5	9	11	-232565	128
0	5	10	6	-15	32
0	5	10	8	-4125	32
0	5	10	10	-64365	32
0	5	10	12	21225	8
0	5	11	7	-5625	64
0	5	11	9	-93555	32
0	5	11	11	57295	32
0	5	11	13	-10345	64
0	5	12	6	-405	64
0	5	12	8	20565	32
0	5	12	10	192545	32
0	5	12	12	-21255	32
0	5	12	14	-129015	64
0	5	13	7	14985	256
0	5	13	9	-32925	16
0	5	13	11	-392775	64
0	5	13	13	25425	16
0	5	13	15	-343143	256
0	5	14	8	-7695	32
0	5	14	10	122625	32
0	5	14	12	121885	32
0	5	14	14	-43785	16
0	5	15	9	36855	64
0	5	15	11	-146385	32
0	5	15	13	-48275	32
0	5	15	15	79155	64
0	5	16	10	-14175	16
0	5	16	12	115275	32
0	5	16	14	11955	32
0	5	17	11	116235	128
0	5	17	13	-29295	16
0	5	17	15	-6205	128
0	5	18	12	-19845	32
0	5	18	14	8775	16
0	5	19	13	17415	64
0	5	19	15	-4725	64
0	5	20	14	-4455	64
0	5	21	15	2025	256
0	6	4	6	65	64
0	6	5	7	-1075	256
0	6	6	6	395	32
0	6	6	8	855	32
0	6	7	7	1675	64
0	6	7	9	3825	64
0	6	8	6	675	8
0	6	8	8	5685	16
0	6	8	10	-3795	8
0	6	9	7	-34145	128
0	6	9	9	-39175	32
0	6	9	11	216915	128
0	6	10	6	5	32
0	6	10	8	335	8
0	6	10	10	27265	16
0	6	10	12	-63695	32
0	6	11	7	1875	64
0	6	11	9	11235	16
0	6	11	11	-22155	16
0	6	11	13	-53075	64
0	6	12	6	135	64
0	6	12	8	-3585	16
0	6	12	10	-5835	16
0	6	12	12	5425	16
0	6	12	14	172935	64
0	6	13	7	-4995	256
0	6	13	9	25415	32
0	6	13	11	-139345	64
0	6	13	13	-805	32
0	6	13	15	424725	256
0	6	14	8	2565	32
0	6	14	10	-27525	16
0	6	14	12	9395	2
0	6	14	14	18855	32
0	6	15	9	-12285	64
0	6	15	11	2460	1
0	6	15	13	-8725	2
0	6	15	15	-25095	64
0	6	16	10	4725	16
0	6	16	12	-37325	16
0	6	16	14	32535	16
0	6	17	11	-38745	128
0	6	17	13	45045	32
0	6	17	15	-49685	128
0	6	18	12	6615	32
0	6	18	14	-15615	32
0	6	19	13	-5805	64
0	6	19	15	4725	64
0	6	20	14	1485	64
0	6	21	15	-675	256
0	7	6	8	-35	16
0	7	7	9	-1155	16
0	7	8	8	-4595	16
0	7	8	10	4645	16
0	7	9	9	12345	16
0	7	9	11	-13135	16
0	7	10	8	15	16
0	7	10	10	-11055	16
0	7	10	12	8175	16
0	7	11	9	3735	16
0	7	11	11	3605	16
0	7	11	13	25895	16
0	7	12	8	135	16
0	7	12	10	-21425	16
0	7	12	12	15015	16
0	7	12	14	-39825	16
0	7	13	9	-1485	16
0	7	13	11	54675	16
0	7	13	13	-44805	16
0	7	13	15	-14085	16
0	7	14	10	6075	16
0	7	14	12	-79675	16
0	7	14	14	43515	16
0	7	15	11	-12825	16
0	7	15	13	68885	16
0	7	15	15	-14025	16
0	7	16	12	15525	16
0	7	16	14	-32835	16
0	7	17	13	-10935	16
0	7	17	15	6625	16
0	7	18	14	4185	16
0	7	19	15	-675	16
0	8	6	8	35	64
0	8	7	9	1155	64
0	8	8	8	4595	64
0	8	8	10	-2845	64
0	8	9	9	-12345	64
0	8	9	11	4135	64
0	8	10	8	-15	64
0	8	10	10	-4545	64
0	8	10	12	25665	64
0	8	11	9	-3735	64
0	8	11	11	32395	64
0	8	11	13	-91415	64
0	8	12	8	-135	64
0	8	12	10	16025	64
0	8	12	12	-87975	64
0	8	12	14	96345	64
0	8	13	9	1485	64
0	8	13	11	-38475	64
0	8	13	13	203685	64
0	8	13	15	-35955	64
0	8	14	10	-6075	64
0	8	14	12	68875	64
0	8	14	14	-208395	64
0	8	15	11	12825	64
0	8	15	13	-79685	64
0	8	15	15	72585	64
0	8	16	12	-15525	64
0	8	16	14	49035	64
0	8	17	13	10935	64
0	8	17	15	-12025	64
0	8	18	14	-4185	64
0	8	19	15	675	64
0	9	8	10	-75	4
0	9	9	11	375	4
0	9	10	10	325	2
0	9	10	12	-325	1
0	9	11	11	-375	1
0	9	11	13	600	1
0	9	12	10	225	4
0	9	12	12	1025	2
0	9	12	14	-2025	4
0	9	13	11	-675	4
0	9	13	13	-1825	2
0	9	13	15	4285	4
0	9	14	12	225	2
0	9	14	14	975	1
0	9	15	13	225	2
0	9	15	15	-725	2
0	9	16	14	-675	4
0	9	17	15	225	4
0	10	8	10	15	4
0	10	9	11	-75	4
0	10	10	10	-65	2
0	10	10	12	75	2
0	10	11	11	75	1
0	10	11	13	-75	2
0	10	12	10	-45	4
0	10	12	12	145	1
0	10	12	14	75	4
0	10	13	11	135	4
0	10	13	13	-560	1
0	10	13	15	-483	4
0	10	14	12	-45	2
0	10	14	14	1095	2
0	10	15	13	-45	2
0	10	15	15	-175	1
0	10	16	14	135	4
0	10	17	15	-45	4
0	11	10	12	15	1
0	11	11	13	-45	1
0	11	12	12	-135	1
0	11	12	14	45	1
0	11	13	13	405	1
