base_index	leaf_ordinal	partition_rank	status	partition	objective	source_clauses	weights	support	denominator	W	U	block_maxima	detail
4	78	9	UNRESOLVED	0-1-2-12,3-4-5,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
4	79	9	UNRESOLVED	0-1-2-12,3-4-5,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
4	80	9	UNRESOLVED	0-1-2-12,3-4-5,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
4	81	9	UNRESOLVED	0-4-5,1-2-3-12,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
4	82	9	UNRESOLVED	0-4-5,1-2-3-12,6-7-8,9-10-11	1.0000000000000067			0	0	0	0		all ten frozen partitions completed without deficit
4	90	9	UNRESOLVED	0-1-2-12,3-4-5,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
4	91	9	UNRESOLVED	0-1-2-12,3-4-5,6-7-8,9-10-11	0.99999999999999978			0	0	0	0		all ten frozen partitions completed without deficit
4	92	9	UNRESOLVED	0-2-3-12,1-4-5,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
4	93	9	UNRESOLVED	0-2-3-12,1-4-5,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
4	101	9	UNRESOLVED	0-1-2-12,3-4-5,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
4	102	9	UNRESOLVED	0-1-3-12,2-4-5,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
4	103	9	UNRESOLVED	0-1-3-12,2-4-5,6-7-8,9-10-11	0.99999999999999989			0	0	0	0		all ten frozen partitions completed without deficit
4	111	9	UNRESOLVED	0-1-2-12,3-4-5,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
4	112	9	UNRESOLVED	0-1-2-12,3-4-5,6-7-8,9-10-11	0.99999999999994493			0	0	0	0		all ten frozen partitions completed without deficit
4	120	9	UNRESOLVED	0-1-2-12,3-4-5,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
4	936	9	UNRESOLVED	0-1-2-12,3-4-5,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
4	937	9	UNRESOLVED	0-1-2-12,3-4-5,6-7-8,9-10-11	1			0	0	0	0		all ten frozen partitions completed without deficit
