z0	z1	z2	z3	z4	numerator	denominator
0	2	0	13	0	-35	243
0	2	1	0	12	-25	6144
0	2	1	1	11	-1265	4608
0	2	1	2	10	-3185	3456
0	2	1	3	9	-385	162
0	2	1	4	8	-250315	62208
0	2	1	5	7	-8345	1944
0	2	1	6	6	-13265	2592
0	2	1	7	5	-365	162
0	2	1	8	4	-5855	1296
0	2	1	9	3	1675	486
0	2	1	12	0	-455	243
0	2	2	0	11	55	2304
0	2	2	1	10	-3185	3456
0	2	2	2	9	-11105	3456
0	2	2	3	8	-211435	31104
0	2	2	4	7	-41725	3888
0	2	2	5	6	-1055	216
0	2	2	6	5	-1745	324
0	2	2	7	4	6515	648
0	2	2	8	3	-155	27
0	2	2	11	0	2330	81
0	2	3	0	10	5645	20736
0	2	3	1	9	-385	162
0	2	3	2	8	-211435	31104
0	2	3	3	7	-235385	23328
0	2	3	4	6	-42835	2592
0	2	3	5	5	-1745	162
0	2	3	6	4	-45925	1944
0	2	3	7	3	625	162
0	2	3	10	0	-10010	243
0	2	4	0	9	26155	20736
0	2	4	1	8	-250315	62208
0	2	4	2	7	-41725	3888
0	2	4	3	6	-42835	2592
0	2	4	4	5	-10345	648
0	2	4	5	4	-12715	1296
0	2	4	6	3	2815	162
0	2	4	9	0	-25025	243
0	2	5	0	8	194395	62208
0	2	5	1	7	-8345	1944
0	2	5	2	6	-1055	216
0	2	5	3	5	-1745	162
0	2	5	4	4	-12715	1296
0	2	5	5	3	-2245	27
0	2	5	8	0	8765	27
0	2	6	0	7	269155	46656
0	2	6	1	6	-13265	2592
0	2	6	2	5	-1745	324
0	2	6	3	4	-45925	1944
0	2	6	4	3	2815	162
0	2	6	7	0	-20020	81
0	2	7	0	6	9785	1296
0	2	7	1	5	-365	162
0	2	7	2	4	6515	648
0	2	7	3	3	625	162
0	2	7	6	0	-20020	81
0	2	8	0	5	6925	1296
0	2	8	1	4	-5855	1296
0	2	8	2	3	-155	27
0	2	8	5	0	8765	27
0	2	9	0	4	13825	2916
0	2	9	1	3	1675	486
0	2	9	4	0	-25025	243
0	2	10	0	3	2765	972
0	2	10	3	0	-10010	243
0	2	11	2	0	2330	81
0	2	12	1	0	-455	243
0	2	13	0	0	-35	243
0	3	0	0	12	385	9216
0	3	0	1	11	985	13824
0	3	0	2	10	5645	20736
0	3	0	3	9	42185	31104
0	3	0	4	8	355375	93312
0	3	0	5	7	23165	2916
0	3	0	6	6	88795	7776
0	3	0	7	5	20005	1944
0	3	0	8	4	21575	1944
0	3	0	9	3	8735	729
0	3	0	12	0	6835	729
0	3	1	0	11	985	13824
0	3	1	1	10	-5695	10368
0	3	1	2	9	-385	162
0	3	1	3	8	-218725	46656
0	3	1	4	7	-79805	11664
0	3	1	5	6	-10025	1296
0	3	1	6	5	-17915	1944
0	3	1	7	4	-10865	1944
0	3	1	8	3	-755	162
0	3	1	11	0	-1820	243
0	3	2	0	10	5645	20736
0	3	2	1	9	-385	162
0	3	2	2	8	-211435	31104
0	3	2	3	7	-235385	23328
0	3	2	4	6	-42835	2592
0	3	2	5	5	-1745	162
0	3	2	6	4	-45925	1944
0	3	2	7	3	625	162
0	3	2	10	0	-10010	243
0	3	3	0	9	42185	31104
0	3	3	1	8	-218725	46656
0	3	3	2	7	-235385	23328
0	3	3	3	6	3895	972
0	3	3	4	5	7625	1944
0	3	3	5	4	5225	243
0	3	3	6	3	-16645	243
0	3	3	9	0	169630	729
0	3	4	0	8	355375	93312
0	3	4	1	7	-79805	11664
0	3	4	2	6	-42835	2592
0	3	4	3	5	7625	1944
0	3	4	4	4	-3035	972
0	3	4	5	3	5245	81
0	3	4	8	0	-25025	81
0	3	5	0	7	23165	2916
0	3	5	1	6	-10025	1296
0	3	5	2	5	-1745	162
0	3	5	3	4	5225	243
0	3	5	4	3	5245	81
0	3	5	7	0	-40040	81
0	3	6	0	6	88795	7776
0	3	6	1	5	-17915	1944
0	3	6	2	4	-45925	1944
0	3	6	3	3	-16645	243
0	3	6	6	0	289970	243
0	3	7	0	5	20005	1944
0	3	7	1	4	-10865	1944
0	3	7	2	3	625	162
0	3	7	5	0	-40040	81
0	3	8	0	4	21575	1944
0	3	8	1	3	-755	162
0	3	8	4	0	-25025	81
0	3	9	0	3	8735	729
0	3	9	3	0	169630	729
0	3	10	2	0	-10010	243
0	3	11	1	0	-1820	243
0	3	12	0	0	6835	729
0	4	0	0	11	1495	13824
0	4	0	1	10	6265	20736
0	4	0	2	9	26155	20736
0	4	0	3	8	355375	93312
0	4	0	4	7	299275	46656
0	4	0	5	6	25565	2592
0	4	0	6	5	5335	486
0	4	0	7	4	17045	3888
0	4	0	8	3	260	81
0	4	0	11	0	-455	243
0	4	1	0	10	6265	20736
0	4	1	1	9	-5755	5184
0	4	1	2	8	-250315	62208
0	4	1	3	7	-79805	11664
0	4	1	4	6	-7975	1296
0	4	1	5	5	-335	81
0	4	1	6	4	1945	1944
0	4	1	7	3	-1160	81
0	4	1	10	0	8360	243
0	4	2	0	9	26155	20736
0	4	2	1	8	-250315	62208
0	4	2	2	7	-41725	3888
0	4	2	3	6	-42835	2592
0	4	2	4	5	-10345	648
0	4	2	5	4	-12715	1296
0	4	2	6	3	2815	162
0	4	2	9	0	-25025	243
0	4	3	0	8	355375	93312
0	4	3	1	7	-79805	11664
0	4	3	2	6	-42835	2592
0	4	3	3	5	7625	1944
0	4	3	4	4	-3035	972
0	4	3	5	3	5245	81
0	4	3	8	0	-25025	81
0	4	4	0	7	299275	46656
0	4	4	1	6	-7975	1296
0	4	4	2	5	-10345	648
0	4	4	3	4	-3035	972
0	4	4	4	3	-14200	81
0	4	4	7	0	99800	81
0	4	5	0	6	25565	2592
0	4	5	1	5	-335	81
0	4	5	2	4	-12715	1296
0	4	5	3	3	5245	81
0	4	5	6	0	-70070	81
0	4	6	0	5	5335	486
0	4	6	1	4	1945	1944
0	4	6	2	3	2815	162
0	4	6	5	0	-70070	81
0	4	7	0	4	17045	3888
0	4	7	1	3	-1160	81
0	4	7	4	0	99800	81
0	4	8	0	3	260	81
0	4	8	3	0	-25025	81
0	4	9	2	0	-25025	243
0	4	10	1	0	8360	243
0	4	11	0	0	-455	243
0	5	0	0	10	835	2592
0	5	0	1	9	2705	2592
0	5	0	2	8	194395	62208
0	5	0	3	7	23165	2916
0	5	0	4	6	25565	2592
0	5	0	5	5	5215	648
0	5	0	6	4	2995	243
0	5	0	7	3	1075	162
0	5	0	10	0	-1001	243
0	5	1	0	9	2705	2592
0	5	1	1	8	-7595	7776
0	5	1	2	7	-8345	1944
0	5	1	3	6	-10025	1296
0	5	1	4	5	-335	81
0	5	1	5	4	-4795	324
0	5	1	6	3	320	81
0	5	1	9	0	-10010	243
0	5	2	0	8	194395	62208
0	5	2	1	7	-8345	1944
0	5	2	2	6	-1055	216
0	5	2	3	5	-1745	162
0	5	2	4	4	-12715	1296
0	5	2	5	3	-2245	27
0	5	2	8	0	8765	27
0	5	3	0	7	23165	2916
0	5	3	1	6	-10025	1296
0	5	3	2	5	-1745	162
0	5	3	3	4	5225	243
0	5	3	4	3	5245	81
0	5	3	7	0	-40040	81
0	5	4	0	6	25565	2592
0	5	4	1	5	-335	81
0	5	4	2	4	-12715	1296
0	5	4	3	3	5245	81
0	5	4	6	0	-70070	81
0	5	5	0	5	5215	648
0	5	5	1	4	-4795	324
0	5	5	2	3	-2245	27
0	5	5	5	0	61072	27
0	5	6	0	4	2995	243
0	5	6	1	3	320	81
0	5	6	4	0	-70070	81
0	5	7	0	3	1075	162
0	5	7	3	0	-40040	81
0	5	8	2	0	8765	27
0	5	9	1	0	-10010	243
0	5	10	0	0	-1001	243
0	6	0	0	9	30115	31104
0	6	0	1	8	231455	93312
0	6	0	2	7	269155	46656
0	6	0	3	6	88795	7776
0	6	0	4	5	5335	486
0	6	0	5	4	2995	243
0	6	0	6	3	4210	243
0	6	0	9	0	24155	729
0	6	1	0	8	231455	93312
0	6	1	1	7	-575	23328
0	6	1	2	6	-13265	2592
0	6	1	3	5	-17915	1944
0	6	1	4	4	1945	1944
0	6	1	5	3	320	81
0	6	1	8	0	-5005	81
0	6	2	0	7	269155	46656
0	6	2	1	6	-13265	2592
