chart	value	x	y	r	h	coefficient
trans_equal_trans_dominant_pair_large	4	0	0	0	0	3
trans_equal_trans_dominant_pair_large	4	0	0	1	1	3
trans_equal_trans_dominant_pair_large	4	0	1	0	0	-3
trans_equal_trans_dominant_pair_large	4	0	1	1	1	-3
trans_equal_trans_dominant_pair_large	4	1	0	0	0	-3
trans_equal_trans_dominant_pair_large	4	1	0	1	1	-3
trans_equal_trans_dominant_pair_large	4	1	1	0	0	3
trans_equal_trans_dominant_pair_large	4	1	1	1	1	3
trans_equal_trans_dominant_pair_large	5	0	0	0	0	3
trans_equal_trans_dominant_pair_large	5	0	0	1	1	-3
trans_equal_trans_dominant_pair_large	5	0	1	0	0	-3
trans_equal_trans_dominant_pair_large	5	0	1	1	1	3
trans_equal_trans_dominant_pair_large	5	1	0	0	0	-3
trans_equal_trans_dominant_pair_large	5	1	0	1	1	3
trans_equal_trans_dominant_pair_large	5	1	1	0	0	3
trans_equal_trans_dominant_pair_large	5	1	1	1	1	-3
trans_equal_trans_dominant_singleton_large	0	1	0	0	0	6
trans_equal_trans_dominant_singleton_large	1	0	1	0	0	2
trans_equal_trans_dominant_singleton_large	1	0	1	1	0	-2
trans_equal_trans_dominant_singleton_large	1	1	1	0	0	-2
trans_equal_trans_dominant_singleton_large	1	1	1	1	0	2
trans_equal_trans_dominant_singleton_large	2	0	1	0	0	2
trans_equal_trans_dominant_singleton_large	2	0	1	1	0	-2
trans_equal_trans_dominant_singleton_large	2	1	1	0	0	-2
trans_equal_trans_dominant_singleton_large	2	1	1	1	0	2
trans_equal_trans_dominant_singleton_large	3	0	1	0	0	2
trans_equal_trans_dominant_singleton_large	3	0	1	1	0	4
trans_equal_trans_dominant_singleton_large	3	1	1	0	0	-2
trans_equal_trans_dominant_singleton_large	3	1	1	1	0	-4
trans_equal_trans_dominant_singleton_large	4	0	0	0	0	3
trans_equal_trans_dominant_singleton_large	4	0	0	1	1	3
trans_equal_trans_dominant_singleton_large	4	0	1	0	0	-3
trans_equal_trans_dominant_singleton_large	4	0	1	1	1	-3
trans_equal_trans_dominant_singleton_large	4	1	0	0	0	-3
trans_equal_trans_dominant_singleton_large	4	1	0	1	1	-3
trans_equal_trans_dominant_singleton_large	4	1	1	0	0	3
trans_equal_trans_dominant_singleton_large	4	1	1	1	1	3
trans_equal_trans_dominant_singleton_large	5	0	0	0	0	3
trans_equal_trans_dominant_singleton_large	5	0	0	1	1	-3
trans_equal_trans_dominant_singleton_large	5	0	1	0	0	-3
trans_equal_trans_dominant_singleton_large	5	0	1	1	1	3
trans_equal_trans_dominant_singleton_large	5	1	0	0	0	-3
trans_equal_trans_dominant_singleton_large	5	1	0	1	1	3
trans_equal_trans_dominant_singleton_large	5	1	1	0	0	3
trans_equal_trans_dominant_singleton_large	5	1	1	1	1	-3
trans_equal_cycle_dominant_pair_large	0	1	0	0	0	6
trans_equal_cycle_dominant_pair_large	1	0	1	0	0	2
trans_equal_cycle_dominant_pair_large	1	0	1	1	1	1
trans_equal_cycle_dominant_pair_large	1	1	1	0	0	-2
trans_equal_cycle_dominant_pair_large	1	1	1	1	1	-1
trans_equal_cycle_dominant_pair_large	2	0	1	0	0	2
trans_equal_cycle_dominant_pair_large	2	0	1	1	1	1
trans_equal_cycle_dominant_pair_large	2	1	1	0	0	-2
trans_equal_cycle_dominant_pair_large	2	1	1	1	1	-1
trans_equal_cycle_dominant_pair_large	3	0	1	0	0	2
trans_equal_cycle_dominant_pair_large	3	0	1	1	1	-2
trans_equal_cycle_dominant_pair_large	3	1	1	0	0	-2
trans_equal_cycle_dominant_pair_large	3	1	1	1	1	2
trans_equal_cycle_dominant_pair_large	4	0	0	0	0	3
trans_equal_cycle_dominant_pair_large	4	0	0	1	0	3
trans_equal_cycle_dominant_pair_large	4	0	1	0	0	-3
trans_equal_cycle_dominant_pair_large	4	0	1	1	0	-3
trans_equal_cycle_dominant_pair_large	4	1	0	0	0	-3
trans_equal_cycle_dominant_pair_large	4	1	0	1	0	-3
trans_equal_cycle_dominant_pair_large	4	1	1	0	0	3
trans_equal_cycle_dominant_pair_large	4	1	1	1	0	3
trans_equal_cycle_dominant_pair_large	5	0	0	0	0	3
trans_equal_cycle_dominant_pair_large	5	0	0	1	0	-3
trans_equal_cycle_dominant_pair_large	5	0	1	0	0	-3
trans_equal_cycle_dominant_pair_large	5	0	1	1	0	3
trans_equal_cycle_dominant_pair_large	5	1	0	0	0	-3
trans_equal_cycle_dominant_pair_large	5	1	0	1	0	3
trans_equal_cycle_dominant_pair_large	5	1	1	0	0	3
trans_equal_cycle_dominant_pair_large	5	1	1	1	0	-3
trans_equal_cycle_dominant_singleton_large	0	1	0	0	0	6
trans_equal_cycle_dominant_singleton_large	1	0	1	0	0	2
trans_equal_cycle_dominant_singleton_large	1	0	1	1	1	-2
trans_equal_cycle_dominant_singleton_large	1	1	1	0	0	-2
trans_equal_cycle_dominant_singleton_large	1	1	1	1	1	2
trans_equal_cycle_dominant_singleton_large	2	0	1	0	0	2
trans_equal_cycle_dominant_singleton_large	2	0	1	1	1	-2
trans_equal_cycle_dominant_singleton_large	2	1	1	0	0	-2
trans_equal_cycle_dominant_singleton_large	2	1	1	1	1	2
trans_equal_cycle_dominant_singleton_large	3	0	1	0	0	2
trans_equal_cycle_dominant_singleton_large	3	0	1	1	1	4
trans_equal_cycle_dominant_singleton_large	3	1	1	0	0	-2
trans_equal_cycle_dominant_singleton_large	3	1	1	1	1	-4
trans_equal_cycle_dominant_singleton_large	4	0	0	0	0	3
trans_equal_cycle_dominant_singleton_large	4	0	0	1	0	3
trans_equal_cycle_dominant_singleton_large	4	0	1	0	0	-3
trans_equal_cycle_dominant_singleton_large	4	0	1	1	0	-3
trans_equal_cycle_dominant_singleton_large	4	1	0	0	0	-3
trans_equal_cycle_dominant_singleton_large	4	1	0	1	0	-3
trans_equal_cycle_dominant_singleton_large	4	1	1	0	0	3
trans_equal_cycle_dominant_singleton_large	4	1	1	1	0	3
trans_equal_cycle_dominant_singleton_large	5	0	0	0	0	3
trans_equal_cycle_dominant_singleton_large	5	0	0	1	0	-3
trans_equal_cycle_dominant_singleton_large	5	0	1	0	0	-3
trans_equal_cycle_dominant_singleton_large	5	0	1	1	0	3
trans_equal_cycle_dominant_singleton_large	5	1	0	0	0	-3
trans_equal_cycle_dominant_singleton_large	5	1	0	1	0	3
trans_equal_cycle_dominant_singleton_large	5	1	1	0	0	3
trans_equal_cycle_dominant_singleton_large	5	1	1	1	0	-3
trans_zero_trans_mass_dominant	0	1	0	0	0	6
trans_zero_trans_mass_dominant	0	1	0	1	0	-6
trans_zero_trans_mass_dominant	1	0	1	1	0	6
trans_zero_trans_mass_dominant	2	0	0	1	0	6
trans_zero_trans_mass_dominant	2	0	1	1	0	-6
trans_zero_trans_mass_dominant	4	0	0	0	0	3
trans_zero_trans_mass_dominant	4	0	0	1	0	-3
trans_zero_trans_mass_dominant	4	0	0	1	1	3
trans_zero_trans_mass_dominant	4	0	0	2	1	-3
trans_zero_trans_mass_dominant	4	1	0	0	0	-3
trans_zero_trans_mass_dominant	4	1	0	1	0	3
trans_zero_trans_mass_dominant	4	1	0	1	1	-3
trans_zero_trans_mass_dominant	4	1	0	2	1	3
trans_zero_trans_mass_dominant	5	0	0	0	0	3
trans_zero_trans_mass_dominant	5	0	0	1	0	-3
trans_zero_trans_mass_dominant	5	0	0	1	1	-3
trans_zero_trans_mass_dominant	5	0	0	2	1	3
trans_zero_trans_mass_dominant	5	1	0	0	0	-3
trans_zero_trans_mass_dominant	5	1	0	1	0	3
trans_zero_trans_mass_dominant	5	1	0	1	1	3
trans_zero_trans_mass_dominant	5	1	0	2	1	-3
trans_zero_cycle_deviation_dominant	0	1	0	0	0	6
trans_zero_cycle_deviation_dominant	0	1	0	1	1	-6
trans_zero_cycle_deviation_dominant	1	0	1	1	1	6
trans_zero_cycle_deviation_dominant	2	0	0	1	1	6
trans_zero_cycle_deviation_dominant	2	0	1	1	1	-6
trans_zero_cycle_deviation_dominant	4	0	0	0	0	3
trans_zero_cycle_deviation_dominant	4	0	0	1	0	3
trans_zero_cycle_deviation_dominant	4	0	0	1	1	-3
trans_zero_cycle_deviation_dominant	4	0	0	2	1	-3
trans_zero_cycle_deviation_dominant	4	1	0	0	0	-3
trans_zero_cycle_deviation_dominant	4	1	0	1	0	-3
trans_zero_cycle_deviation_dominant	4	1	0	1	1	3
trans_zero_cycle_deviation_dominant	4	1	0	2	1	3
trans_zero_cycle_deviation_dominant	5	0	0	0	0	3
trans_zero_cycle_deviation_dominant	5	0	0	1	0	-3
trans_zero_cycle_deviation_dominant	5	0	0	1	1	-3
trans_zero_cycle_deviation_dominant	5	0	0	2	1	3
trans_zero_cycle_deviation_dominant	5	1	0	0	0	-3
trans_zero_cycle_deviation_dominant	5	1	0	1	0	3
trans_zero_cycle_deviation_dominant	5	1	0	1	1	3
trans_zero_cycle_deviation_dominant	5	1	0	2	1	-3
