z0	z1	z2	z3	z4	numerator	denominator
0	2	1	0	12	-25	384
0	2	1	1	11	-265	576
0	2	1	2	10	-1775	864
0	2	1	3	9	-19525	2592
0	2	1	4	8	-31325	1944
0	2	1	5	7	-6055	243
0	2	1	6	6	-2275	81
0	2	1	7	5	-1600	81
0	2	1	8	4	-1100	81
0	2	1	9	3	-2200	243
0	2	1	12	0	-455	243
0	2	2	0	11	-265	1152
0	2	2	1	10	-1775	864
0	2	2	2	9	-19525	1728
0	2	2	3	8	-31325	972
0	2	2	4	7	-1115	486
0	2	2	5	6	965	27
0	2	2	6	5	2500	81
0	2	2	7	4	6940	81
0	2	2	8	3	2680	27
0	2	2	11	0	2330	81
0	2	3	0	10	-1775	2592
0	2	3	1	9	-19525	2592
0	2	3	2	8	-31325	972
0	2	3	3	7	-60550	729
0	2	3	4	6	-8945	81
0	2	3	5	5	-6340	81
0	2	3	6	4	-23510	243
0	2	3	7	3	-8800	81
0	2	3	10	0	-10010	243
0	2	4	0	9	-19525	10368
0	2	4	1	8	-31325	1944
0	2	4	2	7	-1115	486
0	2	4	3	6	-8945	81
0	2	4	4	5	-7520	81
0	2	4	5	4	-5680	81
0	2	4	6	3	-15400	81
0	2	4	9	0	-25025	243
0	2	5	0	8	-6265	1944
0	2	5	1	7	-6055	243
0	2	5	2	6	965	27
0	2	5	3	5	-6340	81
0	2	5	4	4	-5680	81
0	2	5	5	3	9500	27
0	2	5	8	0	8765	27
0	2	6	0	7	-6055	1458
0	2	6	1	6	-2275	81
0	2	6	2	5	2500	81
0	2	6	3	4	-23510	243
0	2	6	4	3	-15400	81
0	2	6	7	0	-20020	81
0	2	7	0	6	-325	81
0	2	7	1	5	-1600	81
0	2	7	2	4	6940	81
0	2	7	3	3	-8800	81
0	2	7	6	0	-20020	81
0	2	8	0	5	-200	81
0	2	8	1	4	-1100	81
0	2	8	2	3	2680	27
0	2	8	5	0	8765	27
0	2	9	0	4	-1100	729
0	2	9	1	3	-2200	243
0	2	9	4	0	-25025	243
0	2	10	0	3	-220	243
0	2	10	3	0	-10010	243
0	2	11	2	0	2330	81
0	2	12	1	0	-455	243
0	2	13	0	0	-35	243
0	3	0	0	12	11495	1152
0	3	0	1	11	-265	1728
0	3	0	2	10	-1775	2592
0	3	0	3	9	447035	7776
0	3	0	4	8	376915	5832
0	3	0	5	7	66845	729
0	3	0	6	6	36605	243
0	3	0	7	5	22700	243
0	3	0	8	4	15910	243
0	3	0	9	3	41540	729
0	3	0	12	0	6835	729
0	3	1	0	11	-265	1728
0	3	1	1	10	-1775	1296
0	3	1	2	9	-19525	2592
0	3	1	3	8	-31325	1458
0	3	1	4	7	-15695	729
0	3	1	5	6	-2930	81
0	3	1	6	5	-6340	243
0	3	1	7	4	-3940	243
0	3	1	8	3	-2200	81
0	3	1	11	0	-1820	243
0	3	2	0	10	-1775	2592
0	3	2	1	9	-19525	2592
0	3	2	2	8	-31325	972
0	3	2	3	7	-60550	729
0	3	2	4	6	-8945	81
0	3	2	5	5	-6340	81
0	3	2	6	4	-23510	243
0	3	2	7	3	-8800	81
0	3	2	10	0	-10010	243
0	3	3	0	9	447035	7776
0	3	3	1	8	-31325	1458
0	3	3	2	7	-60550	729
0	3	3	3	6	27400	243
0	3	3	4	5	-2540	243
0	3	3	5	4	33170	243
0	3	3	6	3	118220	243
0	3	3	9	0	169630	729
0	3	4	0	8	376915	5832
0	3	4	1	7	-15695	729
0	3	4	2	6	-8945	81
0	3	4	3	5	-2540	243
0	3	4	4	4	-23540	243
0	3	4	5	3	-30800	81
0	3	4	8	0	-25025	81
0	3	5	0	7	66845	729
0	3	5	1	6	-2930	81
0	3	5	2	5	-6340	81
0	3	5	3	4	33170	243
0	3	5	4	3	-30800	81
0	3	5	7	0	-40040	81
0	3	6	0	6	36605	243
0	3	6	1	5	-6340	243
0	3	6	2	4	-23510	243
0	3	6	3	3	118220	243
0	3	6	6	0	289970	243
0	3	7	0	5	22700	243
0	3	7	1	4	-3940	243
0	3	7	2	3	-8800	81
0	3	7	5	0	-40040	81
0	3	8	0	4	15910	243
0	3	8	1	3	-2200	81
0	3	8	4	0	-25025	81
0	3	9	0	3	41540	729
0	3	9	3	0	169630	729
0	3	10	2	0	-10010	243
0	3	11	1	0	-1820	243
0	3	12	0	0	6835	729
0	4	0	0	11	137975	6912
0	4	0	1	10	-1775	5184
0	4	0	2	9	-19525	10368
0	4	0	3	8	376915	5832
0	4	0	4	7	144685	2916
0	4	0	5	6	4205	162
0	4	0	6	5	9350	243
0	4	0	7	4	2660	243
0	4	0	8	3	-550	81
0	4	0	11	0	-455	243
0	4	1	0	10	-1775	5184
0	4	1	1	9	-19525	5184
0	4	1	2	8	-31325	1944
0	4	1	3	7	-15695	729
0	4	1	4	6	4825	162
0	4	1	5	5	880	81
0	4	1	6	4	10115	243
0	4	1	7	3	8560	81
0	4	1	10	0	8360	243
0	4	2	0	9	-19525	10368
0	4	2	1	8	-31325	1944
