u_exponent	numerator	denominator
0	119142583800921966417829931640625	46414911593207409957773770752
1	813288003042329280234628466796875	429767699937105647757164544
2	90907419821382798524822412109375	147382613147155571933184
3	-1041012069065483827650725927734375	8187922952619753996288
4	-106334300701493079608972287451171875	5458615301746502664192
5	-117189247060367672879190835498046875	16847578091810193408
6	-844343759340436147595308835498046875	935976560656121856
7	-48162789420456510952054376904296875	481469424205824
8	-3003658987385150414308630918603515625	213986410758144
9	-1051941123583705660774690692236328125	660451885056
10	-244704349442834571172583955126953125	1358954496
11	-308509482773962559763433783935546875	12582912
12	-5502842205207007454361609532470703125	2097152
13	-26088090099239466248438498298486328125	131072
14	-644323659363544349733244650810791015625	65536
15	-12026383917000335248828833738473291015625	65536
16	-421374130939717625384207509792276318359375	131072
17	-59144995579042486119702577595691962548828125	32768
18	-2333225017996218892425631666449994538818359375	16384
19	-13919127700891059773068767237680778914501953125	4096
20	13121041292231421209014146692220396407666015625	1024
21	7274755650767992465979185914526466107763671875	8
22	-63277014229161349982339754805232856433447265625	16
23	7533897958211026330108585145732054941406250000	1
24	-6952680167368755477297857478503847050390625000	1
25	3488772985084330481833578455607152043750000000	1
26	-563209988623479360296003696869316025000000000	1
