u_exponent	numerator	denominator
0	-82254831091561948349787973854192097412646484375	25430625191085533150827396605208077665304576
1	-45089132971533322214705323584335595526513671875	22075195478372858637871003997576456306688
2	7305541764105590853881897861639070947265625	5677776614807834011798097736002174976
3	34725709080650695960497462767023906950634765625	946296102467972335299682956000362496
4	21549736848927980198340320383879933260595703125	1095250118597190202893151569444864
5	3455743014144792689543813924986929262158203125	2535301200456458802993406410752
6	249090897930330438958915842053528182822998046875	1267650600228229401496703205376
7	1509672906442562799455138557250496642365771484375	19807040628566084398385987584
8	227176839871934886020933889699718623540385986328125	19807040628566084398385987584
9	941145362659259127281231105239258085615703662109375	618970019642690137449562112
10	23344690249549647906538259855483346386289262939453125	77371252455336267181195264
11	227748566998417580733186396033043016840465739990234375	4835703278458516698824704
12	3138406382211875078242982549263485607389854455224609375	604462909807314587353088
13	10138543467659437329423958355276459622856325724462890625	37778931862957161709568
14	-102140670259567314785561659249490807254784262935595703125	4722366482869645213696
15	-69920886347603488056640503304526057976458138952392578125	18446744073709551616
16	-2620506129880518957486302871943221347996072733628271484375	18446744073709551616
17	160455386701139280777876088947060993875315231243408203125	144115188075855872
18	310293418807062930026463955018382131069154568319775390625	4503599627370496
19	-10610457175222283944904374991342893049283958145947265625	4398046511104
20	-3373890472654574941768172978802011941412509429248046875	137438953472
21	114009536145342272992189507548738497341104183544921875	134217728
22	-15098220621215041871359726150490192948087684619140625	4194304
23	1785307176897110118499660073740044489910693359375	256
24	-106699263811567552727747719858153587006298828125	16
25	3336888809911563478420420051243088810156250000	1
26	-563209988623479360296003696869316025000000000	1
