family	index	status	seconds	variables	clauses	cnf_sha256	proof_sha256	digits	detail
p199	26	UNSAT	0.128483	208	4151	25758f46d14d3097f91ec890853b8c5b276d18d73b149464cf8d36545015e486	fd72d48487f21947d998f4c3e89cec039ac65c9ebf8c416ef45dad018c1024af	-	drat-trim VERIFIED
p199	27	UNSAT	0.122783	208	4151	6c7a28ca4eda12b023de9f0381e6c7d02d14d0c7066d20e1a68c91906afc2c50	119269a842bbec61130f423b345052ea8d69a3e6500fe24094c309499b25d321	-	drat-trim VERIFIED
p199	28	UNSAT	0.124565	208	4151	3ae0893dd4571ff863789c6af2ce5a7d2c65d4409ab4493cd17c62d18def3642	6f538d1cdafaaccbb30f86fc492ca45162e3219f68b15d777907f6dc2ae3c5a2	-	drat-trim VERIFIED
p199	29	UNSAT	0.119234	208	4151	aa5924cb5dc5ff73f615fa82135498c3d5fc6957a6d5f00cc56289d366cf28f9	9921b94a34d69c4b8b344ee6598931f11d9a029f7c2df1a0e075bf5175215406	-	drat-trim VERIFIED
p199	30	UNSAT	0.118300	208	4151	c694aacef9d18d1f2e041659dfff8bf29c620756104f1c178c5040a25b50e996	4b88344362da8bba130b8437d67d5a45b363cf20115cebeca4c73d17bea29adf	-	drat-trim VERIFIED
p199	31	UNSAT	0.119543	208	4151	b584ba0b0517eb02e1c91e0e5a490d50ab72bb6e331a701a1f31bf2a138e247d	ce14e577ef7d0ba867d1190d24059f3c3077f39cd52e45ed10a2d9bdfb8bc474	-	drat-trim VERIFIED
p199	32	UNSAT	0.122577	208	4151	585ced7f97711580b7859ba0d4462bd4441c336984c897804e20a967000a6725	ca0d7e0e152a574f6caf9c92f7a05cfa72ddab5a1853c1247387c5b6c6c364f7	-	drat-trim VERIFIED
p199	33	UNSAT	0.119220	208	4151	4d0ef31479881d3bc5763ce93eb264582d837ea656daa85c8ca0b92079cbef60	6d965209cafd71eb0db67c75693c04773ab42a3bca8829a59105335575ba9177	-	drat-trim VERIFIED
p199	34	UNSAT	0.129599	208	4151	12c0936aaaf81281ec39cd105ea4a175a5b579525f801dc511a5072bc852f1b3	57b2492e39852218ca41618c8c1c35967bbfc66fb5aa64e9f1a5a69ef6853217	-	drat-trim VERIFIED
p199	35	UNSAT	0.120569	208	4151	af6a1e34f55a24cd43d72822898dbfe497565ae0b6f118145124b9383ed373f8	e5e1bcfe5f85469b85736d2c0b6df3087e9a10ca6e89d44d8a1e6e0e0dc5e099	-	drat-trim VERIFIED
p199	36	UNSAT	0.123753	208	4151	89a33d9b55cfcbd9b3f301e862f8b918f42cda242dbc550d1bc0b99ca94673f6	d97472fc02e7cc2a12f1ca0d6616d7e066097a2bc3129f48b9b46e47c8ddeaa3	-	drat-trim VERIFIED
p199	37	UNSAT	0.128397	208	4151	91852d1bf5d5546f81afa0985ab53ccd34058dc108958341e483530668a9a2be	750cc47ac37e62770cab16bba51aa01feb09721115e638849f35cee1d28c7ec8	-	drat-trim VERIFIED
p199	38	UNSAT	0.119943	208	4151	a4398faa78c6bf73bbacb5e399d4cde9a1a950655b2a0bc7c41beb72a7cc57c7	f0a0b3a402e627f986b83562c069ed7c1595ffb3c8daca0953ab9c52e4c8cb19	-	drat-trim VERIFIED
p199	39	UNSAT	0.123387	208	4151	c153d68fd815fada81dcfdbe54d5b3c22761d65620e35ae23a09f6eff3a989bc	0f45220504cc1e39533ebc9752ed3faeb4396827df497e04d212e6f846ba6d2c	-	drat-trim VERIFIED
p199	40	UNSAT	0.121529	208	4151	58ebabc4b71c3c1ec7357fe4974487d4570bc1c61ea276b0386091be894e32f3	cf4ebb8299492ede2794619e4b4cf12f81be39656f80606da8b674fb38711d78	-	drat-trim VERIFIED
p199	41	UNSAT	0.123565	208	4151	18e8c9206dcd0751ad4fe595d6eeda33020fb6a7ec74c57ec257355bbd9f992b	469cef460d69bddcc4ff0ef458a28cd6d3e12cd632ba4c90eea06454b0dee4a0	-	drat-trim VERIFIED
p199	42	UNSAT	0.119925	208	4151	f0135af83d8d74265b44c07bad96136eff057206884beea9fddddf544e934370	bd3776b3e4b4a7fe1bd70740dbf593a1fe3257c1d747915b4daf242604304b99	-	drat-trim VERIFIED
p199	43	UNSAT	0.123822	208	4151	28a6d9dfe25ff930d295f7bf123fa66df76214e15c37f750fe20013adaeb5afe	7916504207a653ad6e90417bca150890c4efba7d32ca793d28bb2277dd3630b2	-	drat-trim VERIFIED
