x	y	r	h	numerator	denominator
0	9	0	2	-231042445	3981312
0	9	1	0	342275	186624
0	9	2	0	-123565	31104
0	9	2	2	8199655	62208
0	9	2	4	-400922195	1327104
0	9	3	0	-2665	1944
0	9	3	2	202685	10368
0	9	4	0	-2645	1458
0	9	4	2	-814255	15552
0	9	4	4	5801435	10368
0	9	4	6	-438880505	442368
0	9	5	0	-4235	7776
0	9	5	2	-93995	5184
0	9	5	4	313205	2304
0	9	6	0	745	15552
0	9	6	2	1975	1944
0	9	6	4	-930275	5184
0	9	6	6	4622855	3456
0	9	6	8	-72439535	49152
0	9	7	0	125	1458
0	9	7	2	2075	486
0	9	7	4	-940	27
0	9	7	6	238505	1728
0	9	8	2	-103255	15552
0	9	8	4	-545	24
0	9	8	6	-487975	864
0	9	8	8	3347995	2304
0	9	8	10	-27102845	16384
0	9	9	2	1525	1944
0	9	9	4	64925	1296
0	9	9	6	-21365	864
0	9	9	8	426335	768
0	9	10	4	-40495	5184
0	9	10	6	-12395	216
0	9	10	8	-25865	384
0	9	10	10	-21175	256
0	9	10	12	3978975	16384
0	9	11	4	155	324
0	9	11	6	230	27
0	9	11	8	595	18
0	9	11	10	-15715	128
0	9	12	6	-245	192
0	9	12	8	35	8
0	9	12	10	1155	64
0	9	12	14	-225225	16384
0	9	13	6	5	216
0	9	13	8	-35	96
0	9	13	10	-175	64
0	9	13	12	1155	256
0	10	0	0	-542485	62208
0	10	0	2	110971835	3981312
0	10	1	0	-14255	10368
0	10	2	0	510535	93312
0	10	2	2	-5837935	62208
0	10	2	4	203727205	1327104
0	10	3	0	55	27
0	10	3	2	-213805	15552
0	10	4	0	935	324
0	10	4	2	985055	15552
0	10	4	4	-1441385	3456
0	10	4	6	238289455	442368
0	10	5	0	11375	11664
0	10	5	2	173965	7776
0	10	5	4	-1082305	10368
0	10	6	0	-9995	15552
0	10	6	2	-16825	3888
0	10	6	4	389945	1728
0	10	6	6	-3589295	3456
0	10	6	8	40833065	49152
0	10	7	0	-185	486
0	10	7	2	-905	1944
0	10	7	4	103705	1296
0	10	7	6	-87815	864
0	10	8	0	25	1458
0	10	8	2	168005	15552
0	10	8	4	-11245	432
0	10	8	6	489575	864
0	10	8	8	-2689115	2304
0	10	8	10	16098379	16384
0	10	9	2	-685	324
0	10	9	4	-3785	54
0	10	9	6	11395	108
0	10	9	8	-180355	384
0	10	10	2	80	243
0	10	10	4	77885	5184
0	10	10	6	1095	16
0	10	10	8	26425	384
0	10	10	10	17215	256
0	10	10	12	-2387385	16384
0	10	11	4	-200	81
0	10	11	6	-3095	216
0	10	11	8	-6265	144
0	10	11	10	6745	64
0	10	12	4	5	54
0	10	12	6	245	64
0	10	12	8	-105	16
0	10	12	10	-1155	64
0	10	12	14	135135	16384
0	10	13	6	-5	36
0	10	13	8	35	48
0	10	13	10	105	32
0	10	13	12	-495	128
0	11	0	0	725855	186624
0	11	0	2	-12539335	1327104
0	11	1	0	19765	27648
0	11	2	0	-441775	93312
0	11	2	2	2885455	62208
0	11	2	4	-921115	16384
0	11	3	0	-90685	46656
0	11	3	2	851935	124416
0	11	4	0	-4565	1944
0	11	4	2	-816685	15552
0	11	4	4	254755	1152
0	11	4	6	-95522465	442368
0	11	5	0	-24965	46656
0	11	5	2	-291445	15552
0	11	5	4	4915645	82944
0	11	6	0	86135	46656
0	11	6	2	26335	3888
0	11	6	4	-1018195	5184
0	11	6	6	2015455	3456
0	11	6	8	-17180935	49152
0	11	7	0	2975	2916
0	11	7	2	-1445	3888
0	11	7	4	-226255	2592
0	11	7	6	398165	6912
0	11	8	0	125	1458
0	11	8	2	-129395	15552
0	11	8	4	83945	1296
0	11	8	6	-122155	288
0	11	8	8	1574395	2304
0	11	8	10	-7227845	16384
0	11	9	0	25	486
0	11	9	2	1085	648
0	11	9	4	177485	2592
0	11	9	6	-118735	864
0	11	9	8	301145	1024
0	11	10	2	-25	27
0	11	10	4	-73595	5184
0	11	10	6	-8065	144
0	11	10	8	-19345	384
0	11	10	10	-10175	256
0	11	10	12	1085175	16384
0	11	11	2	20	243
0	11	11	4	295	54
0	11	11	6	2125	144
0	11	11	8	22715	576
0	11	11	10	-33875	512
0	11	12	4	-25	54
0	11	12	6	-1225	192
0	11	12	8	105	16
0	11	12	10	825	64
0	11	12	14	-61425	16384
0	11	13	4	5	162
0	11	13	6	25	72
0	11	13	8	-175	192
0	11	13	10	-175	64
0	11	13	12	2475	1024
0	12	0	0	-399665	373248
0	12	0	2	8565575	3981312
0	12	1	0	-46435	186624
0	12	2	0	453005	186624
0	12	2	2	-630175	41472
0	12	2	4	18815065	1327104
0	12	3	0	2275	1944
0	12	3	2	-24115	10368
0	12	4	0	2825	5832
0	12	4	2	297515	10368
0	12	4	4	-1668005	20736
0	12	4	6	27257995	442368
0	12	5	0	-6085	11664
0	12	5	2	1765	162
0	12	5	4	-167375	6912
0	12	6	0	-13055	5184
0	12	6	2	-16835	1944
0	12	6	4	1187545	10368
0	12	6	6	-1590125	6912
0	12	6	8	15645895	147456
0	12	7	0	-325	243
0	12	7	2	-7715	1944
0	12	7	4	2825	48
0	12	7	6	-42355	1728
0	12	8	0	-185	1458
0	12	8	2	31955	15552
0	12	8	4	-10045	162
0	12	8	6	394015	1728
0	12	8	8	-1309525	4608
0	12	8	10	7122245	49152
0	12	9	0	-80	729
0	12	9	2	385	486
0	12	9	4	-16745	324
0	12	9	6	43985	432
0	12	9	8	-305725	2304
0	12	10	0	-5	1458
0	12	10	2	665	486
0	12	10	4	3395	576
0	12	10	6	6925	216
0	12	10	8	6625	256
0	12	10	10	8525	512
0	12	10	12	-361725	16384
0	12	11	2	-50	243
0	12	11	4	-545	81
0	12	11	6	-2045	216
0	12	11	8	-3505	144
0	12	11	10	11375	384
0	12	12	2	5	162
0	12	12	4	25	27
0	12	12	6	1225	192
0	12	12	8	-35	8
0	12	12	10	-825	128
0	12	12	14	20475	16384
0	12	13	4	-10	81
0	12	13	6	-25	54
0	12	13	8	35	48
0	12	13	10	25	16
