x	y	r	h	coefficient_scaled_lcm_times_6_pow_15
0	1	16	10	-3550824515404761661440
0	1	16	12	27146976417467596800
0	1	17	4	-176030318294882058240
0	1	17	6	4172627381306271989760
0	1	17	8	-19185906213538820259840
0	1	17	10	4003274122362554941440
0	1	17	12	-61080696939302092800
0	1	18	6	-1103318932457804267520
0	1	18	8	8472489076326735544320
0	1	18	10	-3326409510353696194560
0	1	18	12	97729115102883348480
0	1	19	6	128824742635618959360
0	1	19	8	-2561824516971626496000
0	1	19	10	2022449743101335961600
0	1	19	12	-114017300953363906560
0	1	20	8	476141513649401364480
0	1	20	10	-877752237498118963200
0	1	20	12	97729115102883348480
0	1	21	8	-41118071856558243840
0	1	21	10	258197909037247365120
0	1	21	12	-61080696939302092800
0	1	22	10	-46232123474596331520
0	1	22	12	27146976417467596800
0	1	23	10	3811545173765652480
0	1	23	12	-8144092925240279040
0	1	24	12	1480744168225505280
0	1	25	12	-123395347352125440
0	2	1	0	726661489962516480
0	2	2	0	-6142346179305799680
0	2	3	0	32439265759458754560
0	2	3	2	7869881042235555840
0	2	4	0	-87089694042300088320
0	2	4	2	-53910056198728581120
0	2	5	0	110219466373748490240
0	2	5	2	263133722931332382720
0	2	5	4	35085410430454333440
0	2	6	0	119775750496463093760
0	2	6	2	-566247538404753408000
0	2	6	4	-253097568013359513600
0	2	7	0	-677577562904671027200
0	2	7	2	597206059995986657280
0	2	7	4	1307963260744229191680
0	2	7	6	66523802816945848320
0	2	8	0	956451047920474521600
0	2	8	2	694194803014757253120
0	2	8	4	-3517535192807988264960
0	2	8	6	-407478858145018675200
0	2	9	0	56857833941029355520
0	2	9	2	-4237341385695386664960
0	2	9	4	4764390335424614891520
0	2	9	6	1230224191912390164480
0	2	9	8	63658288639546490880
0	2	10	0	-1380711673305382256640
0	2	10	2	7799792484939548590080
0	2	10	4	-2849500203431881605120
0	2	10	6	-2045072223449225625600
0	2	10	8	-686955609303432560640
0	2	11	0	764036569616060252160
0	2	11	2	-6817867153087935283200
0	2	11	4	-153284442599640268800
0	2	11	6	-316056616351243960320
0	2	11	8	3423178883866063011840
0	2	11	10	-5511658848394936320
0	2	12	0	467915157159259668480
0	2	12	2	2191336841843944980480
0	2	12	4	-396071643812022190080
0	2	12	6	11547391447588499619840
0	2	12	8	-10447363057726752030720
0	2	12	10	61258934663255162880
0	2	13	0	232764756888559288320
0	2	13	2	-414937421362747146240
0	2	13	4	5881310177279453429760
0	2	13	6	-31552354845068277841920
0	2	13	8	21823440631408050831360
0	2	13	10	-312272492365778780160
0	2	13	12	123395347352125440
0	2	14	2	1278869379957428060160
0	2	14	4	-11012513748599486545920
0	2	14	6	47749063611378460262400
0	2	14	8	-32985934569416970731520
0	2	14	10	966048463825639833600
0	2	14	12	-1480744168225505280
0	2	15	2	-742099618975682396160
0	2	15	4	9823887499338912890880
0	2	15	6	-46623972255410080972800
0	2	15	8	37109368338912195379200
0	2	15	10	-2021627107452321792000
0	2	15	12	8144092925240279040
0	2	16	4	-4462798395901870080000
0	2	16	6	30350758373741580779520
0	2	16	8	-31381465999579734343680
0	2	16	10	3017756614843579760640
0	2	16	12	-27146976417467596800
0	2	17	4	832164511948583731200
0	2	17	6	-12876112547876186357760
0	2	17	8	19818348500500913848320
0	2	17	10	-3298439898287214428160
0	2	17	12	61080696939302092800
0	2	18	6	3248752705086758584320
0	2	18	8	-9111183394221336821760
0	2	18	10	2663036122988669829120
0	2	18	12	-97729115102883348480
0	2	19	6	-371666786224601825280
0	2	19	8	2889014135772862218240
0	2	19	10	-1578226492633684377600
0	2	19	12	114017300953363906560
0	2	20	8	-565644272262143016960
0	2	20	10	670448053946548224000
0	2	20	12	-97729115102883348480
0	2	21	8	51538123410737725440
0	2	21	10	-194032328414142136320
0	2	21	12	61080696939302092800
0	2	22	10	34386170128792289280
0	2	22	12	-27146976417467596800
0	2	23	10	-2824382394948648960
0	2	23	12	8144092925240279040
0	2	24	12	-1480744168225505280
0	2	25	12	123395347352125440
0	3	2	0	-1096847532018892800
0	3	3	0	1096847532018892800
0	3	4	0	-21498211627570298880
0	3	4	2	-25885601755645870080
0	3	5	0	136996256749159710720
0	3	5	2	98935647388104130560
0	3	6	0	-660302214275373465600
0	3	6	2	-618622008058655539200
0	3	6	4	-105736102086621265920
0	3	7	0	1547871237185061519360
0	3	7	2	1494564447128943329280
0	3	7	4	292638921542640599040
0	3	8	0	-1462755868700395438080
0	3	8	2	-3654695976686950809600
0	3	8	4	-1743548836897231994880
0	3	8	6	-306239830939674869760
0	3	9	0	-1850820525528679710720
0	3	9	2	9054257007309556285440
0	3	9	4	6887105653546627891200
0	3	9	6	2202908583306744299520
0	3	10	0	5152331596905547038720
0	3	10	2	-14529281148135061585920
0	3	10	4	-12011796692645298831360
0	3	10	6	-8090347396171353292800
0	3	10	8	-14259017916245606400
0	3	11	0	-2127226103597440696320
0	3	11	2	11726177595307579146240
0	3	11	4	7727948971592311111680
0	3	11	6	21121773554581414871040
0	3	11	8	141493331630437171200
0	3	12	0	-2051982362900944650240
0	3	12	2	-2918053174183062405120
0	3	12	4	8139486165605799690240
0	3	12	6	-42805133045556502855680
0	3	12	8	-618183269045847982080
0	3	12	10	3948651115268014080
0	3	13	0	-1161671221161209364480
0	3	13	2	2018857567433974087680
0	3	13	4	-26893385268064828784640
0	3	13	6	66365418033322320199680
0	3	13	8	1556755702194414551040
0	3	13	10	-41460836710314147840
0	3	14	2	-5378062818995035176960
0	3	14	4	35142556186872517754880
0	3	14	6	-76370422481385852764160
0	3	14	8	-2473171815196199485440
0	3	14	10	197432555763400704000
0	3	15	2	2731808463246254407680
0	3	15	4	-26558188662279855144960
0	3	15	6	63858463314139938816000
0	3	15	8	2524504279694683668480
0	3	15	10	-562682783925692006400
0	3	16	4	11111504238364191621120
0	3	16	6	-37907928184598550282240
0	3	16	8	-1566298275722978918400
0	3	16	10	1066135801122363801600
0	3	17	4	-1988584575550252646400
0	3	17	6	15258904126434029076480
0	3	17	8	435009731198692884480
0	3	17	10	-1409668448150681026560
0	3	18	6	-3753850993581458718720
0	3	18	8	116485207900406415360
0	3	18	10	1326746774730052730880
0	3	19	6	426454320448945520640
0	3	19	8	-145003243732897628160
0	3	19	10	-888446500935303168000
0	3	20	8	48700030421638840320
0	3	20	10	414608367103141478400
0	3	21	8	-6032661426103910400
0	3	21	10	-128331161246210457600
0	3	22	10	23691906691608084480
0	3	23	10	-1974325557634007040
0	4	2	0	548423766009446400
0	4	3	0	-548423766009446400
0	4	4	0	25008123730030755840
0	4	4	2	12942800877822935040
0	4	5	0	-127453683220595343360
0	4	5	2	-49467823694052065280
0	4	6	0	662276539833007472640
0	4	6	2	482612914088312832000
0	4	6	4	52868051043310632960
0	4	7	0	-1353729224017717493760
0	4	7	2	-379838300338142576640
0	4	7	4	-146319460771320299520
0	4	8	0	251397454338730229760
0	4	8	2	1170994425183369953280
0	4	8	4	2056369753029020221440
0	4	8	6	153119915469837434880
0	4	9	0	6212544421355008819200
0	4	9	2	-6549276613684808908800
0	4	9	4	-7188738724851823411200
0	4	9	6	-1101454291653372149760
0	4	10	0	-11261882035003981824000
0	4	10	2	13501754380139762810880
0	4	10	4	6612235662022693355520
0	4	10	6	4047367393149714432000
0	4	10	8	7129508958122803200
0	4	11	0	3057462495502663680000
0	4	11	2	-11398220183233930199040
0	4	11	4	10582823727931085291520
0	4	11	6	-10149568952783622635520
0	4	11	8	-70746665815218585600
0	4	12	0	5844003650596660838400
0	4	12	2	2678721042696539996160
0	4	12	4	-36931295142088928133120
0	4	12	6	18422651147789323468800
0	4	12	8	338706517887434096640
0	4	12	10	-1974325557634007040
0	4	13	0	3682117164987423129600
0	4	13	2	-6240514033421490585600
0	4	13	4	54309747439396265656320
0	4	13	6	-23856433821410918400000
0	4	13	8	-1052315522218925752320
0	4	13	10	20730418355157073920
0	4	14	2	12675170080010325196800
0	4	14	4	-52341344858435160637440
0	4	14	6	21495579193493453537280
0	4	14	8	2361951475449483755520
0	4	14	10	-98716277881700352000
0	4	15	2	-5904878688623709388800
0	4	15	4	33811202652507985674240
0	4	15	6	-13146814518778449100800
0	4	15	8	-3957206526017761443840
0	4	15	10	281341391962846003200
0	4	16	4	-13079248710806085304320
0	4	16	6	5274081672959644139520
0	4	16	8	4929232808892904243200
0	4	16	10	-533067900561181900800
0	4	17	4	2261699611022956953600
0	4	17	6	-1299764325442387968000
0	4	17	8	-4467240628406546595840
0	4	17	10	704834224075340513280
0	4	18	6	167159563879679262720
0	4	18	8	2844015965771787141120
0	4	18	10	-663373387365026365440
0	4	19	6	-5922976672902021120
0	4	19	8	-1200938362807485726720
0	4	19	10	444223250467651584000
0	4	20	8	301413701798791741440
0	4	20	10	-207304183551570739200
0	4	21	8	-34002273492585676800
0	4	21	10	64165580623105228800
0	4	22	10	-11845953345804042240
0	4	23	10	987162778817003520
0	5	4	0	-17110821499494727680
0	5	5	0	70746665815218585600
0	5	6	0	-407149803885413007360
0	5	6	2	-207962292070782074880
0	5	7	0	411975933026296135680
0	5	7	2	-440932707871594905600
0	5	8	0	1843581331817355018240
0	5	8	2	-341338951964279439360
0	5	8	4	-1421514401496485068800
0	5	9	0	-10203533851358952161280
0	5	9	2	5459668275377240801280
0	5	9	4	4494223077694211358720
0	5	10	0	14899576874944639795200
0	5	10	2	-11295774623743365611520
0	5	10	4	-723919371132469248000
0	5	10	6	-2632434076845342720
0	5	11	0	-907751017498835681280
0	5	11	2	10055020695523594076160
0	5	11	4	-16418491337284402544640
0	5	11	6	-493581389408501760000
0	5	12	0	-11320782747473396367360
0	5	12	2	-3730159086889850634240
0	5	12	4	33790801288412434268160
0	5	12	6	3609067119354964869120
0	5	12	8	-35537860037412126720
0	5	13	0	-7527511053591178641408
0	5	13	2	8923951520505711820800
0	5	13	4	-34465143151097649561600
