x	y	r	h	coefficient_scaled_lcm_times_6_pow_15
0	10	4	4	355705397745800970240
0	10	4	6	16206260818768035840
0	10	5	3	-586233860810719887360
0	10	5	5	125638242572949258240
0	10	5	7	5476714700341248000
0	10	6	0	4665379851043440721920
0	10	6	2	-5832458314722595307520
0	10	6	4	1267289513698095267840
0	10	6	6	-24302169186788966400
0	10	6	8	-3609215171202908160
0	10	7	3	-570783206069564866560
0	10	7	5	449377079735384801280
0	10	7	7	-2614378973437624320
0	10	7	9	-2137724243473858560
0	10	8	0	5517958523642116079616
0	10	8	2	-6554553669033299804160
0	10	8	4	3182157810300144844800
0	10	8	6	-146181339230251253760
0	10	8	8	60666952960274595840
0	10	8	10	96293884841164800
0	10	9	3	-2637625821830232145920
0	10	9	5	592525161593139363840
0	10	9	7	-393630142453713469440
0	10	9	9	-11873036000915619840
0	10	10	0	-818311670384038871040
0	10	10	2	377644605274104791040
0	10	10	4	386455947114656563200
0	10	10	6	384335375219420037120
0	10	10	8	84373303734608855040
0	10	10	10	1848842588950364160
0	10	11	3	591858928277394554880
0	10	11	5	-244328881354608476160
0	10	11	7	-80467984867519365120
0	10	11	9	-13866319417127731200
0	10	12	0	46319528512304087040
0	10	12	4	-101348711958545694720
0	10	12	6	-36854077075834798080
0	10	12	8	21498211627570298880
0	10	12	10	519986978142289920
0	10	13	3	-21717581133974077440
0	10	13	5	18427038537917399040
0	10	13	7	4094897452870533120
0	10	13	9	-779980467213434880
0	11	0	0	-53062263302114672640
0	11	0	2	21842311806682398720
0	11	1	3	4014665087102484480
0	11	2	0	-315725848267369512960
0	11	2	2	260485942016590479360
0	11	2	4	-26587644359815987200
0	11	3	3	38454436304136437760
0	11	3	5	-10915513683526287360
0	11	4	0	-1212657175782535495680
0	11	4	2	1241899524530991267840
0	11	4	4	-294906642530650030080
0	11	4	6	-13187447528997519360
0	11	5	3	332821795464877178880
0	11	5	5	-105241392253249781760
0	11	5	7	-3004971043824599040
0	11	6	0	-1963006890888230830080
0	11	6	2	3275032359474277908480
0	11	6	4	-1103016960853310177280
0	11	6	6	38038491859381125120
0	11	6	8	10367842213492162560
0	11	7	3	323500961175038853120
0	11	7	5	-490206890581599191040
0	11	7	7	-2087169953932247040
0	11	7	9	5729486148049305600
0	11	8	0	-2477451234395341946880
0	11	8	2	3837491711495299399680
0	11	8	4	-2381962849311428444160
0	11	8	6	363752557334621061120
0	11	8	8	-46724802108834447360
0	11	8	10	481469424205824000
0	11	9	3	1651550750149147361280
0	11	9	5	-771758173121559920640
0	11	9	7	384541203398268026880
0	11	9	9	9403097854739742720
0	11	9	11	288881654523494400
0	11	10	0	371959850174563123200
0	11	10	2	-223208472765844684800
0	11	10	4	-282913540092073082880
0	11	10	6	-314527123403817615360
0	11	10	8	-79725920117462138880
0	11	10	10	-5199869781422899200
0	11	11	3	-371557101471399936000
0	11	11	5	221465703909414666240
0	11	11	7	82872924641427456000
0	11	11	9	30679231710395105280
0	11	11	11	462210647237591040
0	11	12	0	-21054331141956403200
0	11	12	4	72391937113246924800
0	11	12	6	36854077075834798080
0	11	12	8	-35830352712617164800
0	11	12	10	-2599934890711449600
0	11	13	3	13573488208733798400
0	11	13	5	-15355865448264499200
0	11	13	7	-5118621816088166400
0	11	13	9	1949951168033587200
0	11	13	11	173328992714096640
0	12	0	0	12082214247778713600
0	12	0	2	-6013327419538145280
0	12	1	3	-1397314544562339840
0	12	2	0	79619049421392936960
0	12	2	2	-85334060924692070400
0	12	2	4	13631753532022456320
0	12	3	3	-13061964560313876480
0	12	3	5	6572057640409497600
0	12	4	0	346040098883487498240
0	12	4	2	-451740041393869946880
0	12	4	4	161149922710420193280
0	12	4	6	2720302246762905600
0	12	5	3	-135988781979009024000
0	12	5	5	61185134428076113920
0	12	5	7	-2929741446292439040
0	12	6	0	595873656839469957120
0	12	6	2	-1291944208778919936000
0	12	6	4	643237433289568419840
0	12	6	6	-48633226539030282240
0	12	6	8	-14142562499265822720
0	12	7	3	-137650302870104309760
0	12	7	5	330516722981693030400
0	12	7	7	-22287219646487592960
0	12	7	9	-7510923017610854400
0	12	8	0	813751755279572828160
0	12	8	2	-1595943627074489548800
0	12	8	4	1280516682454589767680
0	12	8	6	-348217946362620149760
0	12	8	8	11539016587872829440
0	12	8	10	-712574747824619520
0	12	9	3	-745186026058835558400
0	12	9	5	571790680839715553280
0	12	9	7	-290239398299754823680
0	12	9	9	4448777479661813760
0	12	9	11	-616280862983454720
0	12	10	0	-123986616724854374400
0	12	10	2	93506252104610611200
0	12	10	4	145332297992503296000
0	12	10	6	180045491181767884800
0	12	10	8	33100421077370142720
0	12	10	10	7684252010324951040
0	12	10	12	-19258776968232960
0	12	11	3	166355209022865408000
0	12	11	5	-136691576879154462720
0	12	11	7	-53168668515049144320
0	12	11	9	-37785720411673067520
0	12	11	11	-1155526618093977600
0	12	12	0	7018110380652134400
0	12	12	4	-36195968556623462400
0	12	12	6	-24569384717223198720
0	12	12	8	35830352712617164800
0	12	12	10	5199869781422899200
0	12	12	12	173328992714096640
0	12	13	3	-6032661426103910400
0	12	13	5	8774780256151142400
0	12	13	7	4094897452870533120
0	12	13	9	-2599934890711449600
0	12	13	11	-693315970856386560
0	13	0	0	-1723507728536862720
0	13	0	2	915619431563919360
0	13	1	3	305206477187973120
0	13	2	0	-12827932335166095360
0	13	2	2	17198163062229565440
0	13	2	4	-3597629813182955520
0	13	3	3	2808019957485404160
0	13	3	5	-2359802015388794880
0	13	4	0	-66125751261778575360
0	13	4	2	105491004057861488640
0	13	4	4	-53658864572568698880
0	13	4	6	2676969998584381440
0	13	5	3	37925873151875481600
0	13	5	5	-23367817585439539200
0	13	5	7	4760528931835084800
0	13	6	0	-123045917626213171200
0	13	6	2	338393713220895375360
0	13	6	4	-237923833420720373760
0	13	6	6	39562342586992558080
0	13	6	8	8144657147221770240
0	13	7	3	41688331013251399680
0	13	7	5	-141198130689720975360
0	13	7	7	32614738795702517760
0	13	7	9	2311053236187955200
0	13	8	0	-184571447175722926080
0	13	8	2	447166458011902279680
0	13	8	4	-464494617818667417600
0	13	8	6	191918527182683504640
0	13	8	8	3118116358512967680
0	13	8	10	-1714031150172733440
0	13	9	3	229649405217755627520
0	13	9	5	-258287281799115571200
0	13	9	7	165377525173337456640
0	13	9	9	-17116238030517043200
0	13	9	11	115552661809397760
0	13	10	0	28612296167274086400
0	13	10	2	-26342621560653742080
0	13	10	4	-49857813927658782720
0	13	10	6	-70588232282815856640
0	13	10	8	1684541147940126720
0	13	10	10	-10341963231941099520
0	13	10	12	57776330904698880
0	13	11	3	-50418424888468439040
0	13	11	5	55037371717747998720
0	13	11	7	20539485636620451840
0	13	11	9	27645974337898414080
0	13	11	11	693315970856386560
0	13	12	0	-1619563933996646400
0	13	12	4	12065322852207820800
0	13	12	6	10529736307381370880
0	13	12	8	-21498211627570298880
0	13	12	10	-5199869781422899200
0	13	12	12	-519986978142289920
0	13	13	3	1809798427831173120
0	13	13	5	-3290542596056678400
0	13	13	7	-2047448726435266560
0	13	13	9	1949951168033587200
0	13	13	11	1039973956284579840
0	14	0	0	138142699393351680
0	14	0	2	-72145184033341440
0	14	1	3	-37765257961144320
0	14	2	0	1151626433646919680
0	14	2	2	-1886532617313976320
0	14	2	4	459652840921497600
0	14	3	3	-333116657872404480
0	14	3	5	452581258753474560
0	14	4	0	7561583098773995520
0	14	4	2	-13957046311751516160
0	14	4	4	9394973058206269440
0	14	4	6	-1117009064157511680
0	14	5	3	-6495774828511887360
0	14	5	5	5151121002222059520
0	14	5	7	-2048652399995781120
0	14	6	0	15453934281422438400
0	14	6	2	-52579620766372331520
0	14	6	4	49699380395256053760
0	14	6	6	-15740439150848901120
0	14	6	8	-278650429259120640
0	14	7	3	-8043548568138547200
0	14	7	5	35207451645050880000
0	14	7	7	-16509586556017704960
0	14	7	9	2792522660393779200
0	14	8	0	25845041247951421440
0	14	8	2	-75725134891104337920
0	14	8	4	101446209516947374080
0	14	8	6	-60935974001049600000
0	14	8	8	1348716224556564480
0	14	8	10	3158439422790205440
0	14	9	3	-43349851904346685440
0	14	9	5	67045820994221506560
0	14	9	7	-60318489464505630720
0	14	9	9	16206260818768035840
0	14	9	11	462210647237591040
0	14	10	0	-4087470881039155200
0	14	10	2	4478794089077145600
0	14	10	4	10273805216576962560
0	14	10	6	17257067837097246720
0	14	10	8	-6310258640997580800
0	14	10	10	9186436613847121920
0	14	10	12	-57776330904698880
