x	y	r	h	coefficient_scaled_lcm_times_6_pow_15
0	10	5	7	-42786833596416000
0	10	6	0	4665379851043440721920
0	10	6	2	-1458114578680648826880
0	10	6	4	79205594606130954240
0	10	6	6	-379721393543577600
0	10	6	8	-14098496762511360
0	10	7	3	71347900758695608320
0	10	7	5	-14043033741730775040
0	10	7	7	20424835729981440
0	10	7	9	4175242663034880
0	10	8	0	5517958523642116079616
0	10	8	2	-1638638417258324951040
0	10	8	4	198884863143759052800
0	10	8	6	-2284083425472675840
0	10	8	8	236980285001072640
0	10	8	10	94036996915200
0	10	9	3	329703227728779018240
0	10	9	5	-18516411299785605120
0	10	9	7	3075235487919636480
0	10	9	9	23189523439288320
0	10	10	0	-818311670384038871040
0	10	10	2	94411151318526197760
0	10	10	4	24153496694666035200
0	10	10	6	6005240237803438080
0	10	10	8	329583217713315840
0	10	10	10	1805510340771840
0	10	11	3	-73982366034674319360
0	10	11	5	7635277542331514880
0	10	11	7	628656131777495040
0	10	11	9	27082655111577600
0	10	12	0	46319528512304087040
0	10	12	4	-6334294497409105920
0	10	12	6	-575844954309918720
0	10	12	8	83977389170196480
0	10	12	10	507799783342080
0	10	13	3	2714697641746759680
0	10	13	5	-575844954309918720
0	10	13	7	-31991386350551040
0	10	13	9	1523399350026240
0	11	0	0	-53062263302114672640
0	11	0	2	5460577951670599680
0	11	1	3	-501833135887810560
0	11	2	0	-315725848267369512960
0	11	2	2	65121485504147619840
0	11	2	4	-1661727772488499200
0	11	3	3	-4806804538017054720
0	11	3	5	341109802610196480
0	11	4	0	-1212657175782535495680
0	11	4	2	310474881132747816960
0	11	4	4	-18431665158165626880
0	11	4	6	-206053867640586240
0	11	5	3	-41602724433109647360
0	11	5	5	3288793507914055680
0	11	5	7	23476336279879680
0	11	6	0	-1963006890888230830080
0	11	6	2	818758089868569477120
0	11	6	4	-68938560053331886080
0	11	6	6	594351435302830080
0	11	6	8	40499383646453760
0	11	7	3	-40437620146879856640
0	11	7	5	15318965330674974720
0	11	7	7	16306015265095680
