equation	e	T1	T2	T3	C1	C2	numerator	denominator
dT2	0	2	2	0	3	2	-49560	1
dT2	0	2	2	0	5	1	30690	1
dT2	0	2	2	0	7	0	-4740	1
dT2	0	2	2	1	0	2	-6345	1
dT2	0	2	2	1	2	1	30330	1
dT2	0	2	2	1	4	0	-8505	1
dT2	0	2	3	0	1	2	500	1
dT2	0	2	3	0	3	1	-9920	1
dT2	0	2	3	0	5	0	2600	1
dT2	0	2	4	0	1	1	-4350	1
dT2	0	2	4	0	3	0	900	1
dT2	0	2	4	1	0	0	5850	1
dT2	0	3	0	0	0	5	-220	1
dT2	0	3	0	0	2	4	-2480	1
dT2	0	3	0	0	4	3	8950	1
dT2	0	3	0	0	6	2	-6900	1
dT2	0	3	0	0	8	1	2000	1
dT2	0	3	0	0	10	0	-200	1
dT2	0	3	0	1	1	3	31260	1
dT2	0	3	0	1	3	2	-58700	1
dT2	0	3	0	1	5	1	27250	1
dT2	0	3	0	1	7	0	-3660	1
dT2	0	3	0	2	0	2	-23355	1
dT2	0	3	0	2	2	1	23490	1
dT2	0	3	0	2	4	0	-4965	1
dT2	0	3	1	0	0	4	-210	1
dT2	0	3	1	0	2	3	-33040	1
dT2	0	3	1	0	4	2	54250	1
dT2	0	3	1	0	6	1	-23140	1
dT2	0	3	1	0	8	0	2940	1
dT2	0	3	1	1	1	2	56220	1
dT2	0	3	1	1	3	1	-52920	1
dT2	0	3	1	1	5	0	10040	1
dT2	0	3	2	0	0	3	1650	1
dT2	0	3	2	0	2	2	-47970	1
dT2	0	3	2	0	4	1	37770	1
dT2	0	3	2	0	6	0	-6720	1
dT2	0	3	2	1	1	1	33120	1
dT2	0	3	2	1	3	0	-10500	1
dT2	0	3	2	2	0	0	-18225	1
dT2	0	3	3	0	0	2	-500	1
dT2	0	3	3	0	2	1	-10080	1
dT2	0	3	3	0	4	0	3080	1
dT2	0	3	5	0	0	0	-720	1
dT2	0	4	0	0	1	4	-860	1
dT2	0	4	0	0	3	3	12590	1
dT2	0	4	0	0	5	2	-12770	1
dT2	0	4	0	0	7	1	4320	1
dT2	0	4	0	0	9	0	-480	1
dT2	0	4	0	1	0	3	5220	1
dT2	0	4	0	1	2	2	-42495	1
dT2	0	4	0	1	4	1	26290	1
dT2	0	4	0	1	6	0	-4080	1
dT2	0	4	0	2	1	1	19080	1
dT2	0	4	0	2	3	0	-5280	1
dT2	0	4	0	3	0	0	-10125	1
dT2	0	4	1	0	1	3	-18610	1
dT2	0	4	1	0	3	2	54250	1
dT2	0	4	1	0	5	1	-28900	1
dT2	0	4	1	0	7	0	4200	1
dT2	0	4	1	1	0	2	22230	1
dT2	0	4	1	1	2	1	-35960	1
dT2	0	4	1	1	4	0	8580	1
dT2	0	4	2	0	1	2	-20640	1
dT2	0	4	2	0	3	1	26850	1
dT2	0	4	2	0	5	0	-5700	1
dT2	0	4	3	0	1	1	-6920	1
dT2	0	4	3	0	3	0	2760	1
dT2	0	4	3	1	0	0	3720	1
dT2	0	5	0	0	0	4	-260	1
dT2	0	5	0	0	2	3	10230	1
dT2	0	5	0	0	4	2	-14450	1
dT2	0	5	0	0	6	1	5880	1
dT2	0	5	0	0	8	0	-735	1
dT2	0	5	0	1	1	2	-16940	1
dT2	0	5	0	1	3	1	14690	1
dT2	0	5	0	1	5	0	-2700	1
dT2	0	5	1	0	0	3	-3120	1
dT2	0	5	1	0	2	2	36250	1
dT2	0	5	1	0	4	1	-25540	1
dT2	0	5	1	0	6	0	4320	1
dT2	0	5	1	1	1	1	-23400	1
dT2	0	5	1	1	3	0	7200	1
dT2	0	5	1	2	0	0	11700	1
dT2	0	5	2	0	0	2	-5535	1
dT2	0	5	2	0	2	1	16680	1
dT2	0	5	2	0	4	0	-4410	1
dT2	0	5	4	0	0	0	-540	1
dT2	0	6	0	0	1	3	4850	1
dT2	0	6	0	0	3	2	-11570	1
dT2	0	6	0	0	5	1	5880	1
dT2	0	6	0	0	7	0	-840	1
dT2	0	6	0	1	0	2	-5430	1
dT2	0	6	0	1	2	1	7670	1
dT2	0	6	0	1	4	0	-1750	1
dT2	0	6	1	0	1	2	12650	1
dT2	0	6	1	0	3	1	-13800	1
dT2	0	6	1	0	5	0	2800	1
dT2	0	6	2	0	1	1	9180	1
dT2	0	6	2	0	3	0	-3180	1
dT2	0	6	2	1	0	0	-5775	1
dT2	0	7	0	0	0	3	760	1
dT2	0	7	0	0	2	2	-6380	1
dT2	0	7	0	0	4	1	4320	1
dT2	0	7	0	0	6	0	-720	1
dT2	0	7	0	1	1	1	3710	1
dT2	0	7	0	1	3	0	-1140	1
dT2	0	7	0	2	0	0	-1605	1
dT2	0	7	1	0	0	2	3050	1
dT2	0	7	1	0	2	1	-6940	1
dT2	0	7	1	0	4	0	1760	1
dT2	0	7	3	0	0	0	1440	1
dT2	0	8	0	0	1	2	-1950	1
dT2	0	8	0	0	3	1	2000	1
dT2	0	8	0	0	5	0	-400	1
dT2	0	8	1	0	1	1	-3210	1
dT2	0	8	1	0	3	0	1080	1
dT2	0	8	1	1	0	0	1890	1
dT2	0	9	0	0	0	2	-425	1
dT2	0	9	0	0	2	1	880	1
dT2	0	9	0	0	4	0	-220	1
dT2	0	9	2	0	0	0	-795	1
dT2	0	10	0	0	1	1	360	1
dT2	0	10	0	0	3	0	-120	1
dT2	0	10	0	1	0	0	-195	1
dT2	0	11	1	0	0	0	180	1
dT2	0	13	0	0	0	0	-15	1
dT2	1	0	0	1	1	4	3960	1
dT2	1	0	0	1	3	3	-510	1
dT2	1	0	0	1	5	2	-1350	1
dT2	1	0	0	1	7	1	510	1
dT2	1	0	0	1	9	0	-50	1
dT2	1	0	0	2	0	3	-14580	1
dT2	1	0	0	2	2	2	-810	1
dT2	1	0	0	2	4	1	900	1
dT2	1	0	0	2	6	0	90	1
dT2	1	0	0	3	1	1	2430	1
dT2	1	0	0	3	3	0	810	1
dT2	1	0	1	0	0	5	-1440	1
dT2	1	0	1	0	2	4	-1380	1
dT2	1	0	1	0	4	3	2780	1
dT2	1	0	1	0	6	2	-580	1
dT2	1	0	1	0	8	1	-120	1
dT2	1	0	1	0	10	0	30	1
dT2	1	0	1	1	1	3	14760	1
dT2	1	0	1	1	3	2	-780	1
dT2	1	0	1	1	5	1	-3840	1
dT2	1	0	1	1	7	0	780	1
dT2	1	0	1	2	0	2	-14580	1
dT2	1	0	1	2	2	1	4860	1
dT2	1	0	1	2	4	0	180	1
dT2	1	0	2	0	0	4	3240	1
dT2	1	0	2	0	2	3	-1260	1
dT2	1	0	2	0	4	2	-2790	1
dT2	1	0	2	0	6	1	2400	1
dT2	1	0	2	0	8	0	-420	1
dT2	1	0	2	1	1	2	-19440	1
dT2	1	0	2	1	3	1	12060	1
dT2	1	0	2	1	5	0	-2160	1
dT2	1	0	2	2	0	1	29160	1
dT2	1	0	2	2	2	0	-4860	1
dT2	1	0	3	0	0	3	-1080	1
dT2	1	0	3	0	2	2	1620	1
dT2	1	0	3	0	4	1	-3760	1
dT2	1	0	3	0	6	0	920	1
dT2	1	0	3	1	1	1	720	1
dT2	1	0	3	1	3	0	840	1
dT2	1	0	4	0	0	2	-1800	1
dT2	1	0	4	0	2	1	1200	1
dT2	1	0	4	0	4	0	-100	1
dT2	1	0	5	0	0	1	1080	1
dT2	1	0	5	0	2	0	-180	1
dT2	1	1	0	0	1	5	1860	1
dT2	1	1	0	0	3	4	-230	1
dT2	1	1	0	0	5	3	-260	1
dT2	1	1	0	0	7	2	50	1
dT2	1	1	0	1	0	4	-6480	1
dT2	1	1	0	1	2	3	-3600	1
dT2	1	1	0	1	4	2	3410	1
dT2	1	1	0	1	6	1	-1500	1
dT2	1	1	0	1	8	0	250	1
dT2	1	1	0	2	1	2	46170	1
dT2	1	1	0	2	3	1	-23940	1
dT2	1	1	0	2	5	0	3870	1
dT2	1	1	0	3	0	1	-77760	1
dT2	1	1	0	3	2	0	14580	1
dT2	1	1	1	0	1	4	-1480	1
dT2	1	1	1	0	3	3	2180	1
dT2	1	1	1	0	5	2	740	1
dT2	1	1	1	0	7	1	-700	1
dT2	1	1	1	0	9	0	100	1
dT2	1	1	1	1	0	3	12600	1
dT2	1	1	1	1	2	2	20340	1
dT2	1	1	1	1	4	1	-10680	1
dT2	1	1	1	1	6	0	1120	1
dT2	1	1	1	2	1	1	-12960	1
dT2	1	1	1	2	3	0	360	1
dT2	1	1	2	0	1	3	-12240	1
dT2	1	1	2	0	3	2	-1410	1
dT2	1	1	2	0	5	1	6660	1
dT2	1	1	2	0	7	0	-1410	1
dT2	1	1	2	1	0	2	16200	1
dT2	1	1	2	1	2	1	5400	1
dT2	1	1	2	1	4	0	-3390	1
dT2	1	1	3	0	1	2	11760	1
dT2	1	1	3	0	3	1	-14480	1
dT2	1	1	3	0	5	0	3280	1
dT2	1	1	3	1	0	1	-22320	1
dT2	1	1	3	1	2	0	5040	1
dT2	1	1	4	0	1	1	100	1
dT2	1	1	4	0	3	0	-450	1
dT2	1	2	0	0	0	5	640	1
dT2	1	2	0	0	2	4	-100	1
dT2	1	2	0	0	4	3	-260	1
dT2	1	2	0	0	6	2	60	1
dT2	1	2	0	1	1	3	10770	1
dT2	1	2	0	1	3	2	-450	1
dT2	1	2	0	1	5	1	-4170	1
dT2	1	2	0	1	7	0	930	1
dT2	1	2	0	2	0	2	-16200	1
dT2	1	2	0	2	2	1	-8100	1
dT2	1	2	0	2	4	0	4170	1
dT2	1	2	1	0	0	4	-300	1
dT2	1	2	1	0	2	3	4080	1
dT2	1	2	1	0	4	2	320	1
dT2	1	2	1	0	6	1	-1140	1
dT2	1	2	1	0	8	0	200	1
dT2	1	2	1	1	1	2	-6000	1
dT2	1	2	1	1	3	1	9640	1
dT2	1	2	1	1	5	0	-2540	1
dT2	1	2	1	2	0	1	50220	1
dT2	1	2	1	2	2	0	-12690	1
dT2	1	2	2	0	0	3	-2880	1
dT2	1	2	2	0	2	2	-12240	1
dT2	1	2	2	0	4	1	12900	1
dT2	1	2	2	0	6	0	-2490	1
dT2	1	2	2	1	1	1	14760	1
