x_lower	x_splits	y_lower	y_splits	z_lower	z_splits	v_lower	v_splits	lambda_lower	lambda_splits
10	4	7	4	0	4	10	4	0	4
11	4	6	4	0	4	10	4	0	4
11	4	7	4	0	4	10	4	0	4
12	4	0	4	0	4	10	4	0	4
12	4	1	4	0	4	10	4	0	4
13	4	0	4	0	4	10	4	0	4
13	4	1	4	0	4	10	4	0	4
12	4	2	4	0	4	10	4	0	4
12	4	3	4	0	4	10	4	0	4
13	4	2	4	0	4	10	4	0	4
13	4	3	4	0	4	10	4	0	4
14	4	0	4	0	4	10	4	0	4
14	4	1	4	0	4	10	4	0	4
15	4	0	4	0	4	10	4	0	4
15	4	1	4	0	4	10	4	0	4
14	4	2	4	0	4	10	4	0	4
14	4	3	4	0	4	10	4	0	4
15	4	2	4	0	4	10	4	0	4
15	4	3	4	0	4	10	4	0	4
12	4	4	4	0	4	10	4	0	4
12	4	5	4	0	4	10	4	0	4
13	4	4	4	0	4	10	4	0	4
13	4	5	4	0	4	10	4	0	4
12	4	6	4	0	4	10	4	0	4
12	4	7	4	0	4	10	4	0	4
13	4	6	4	0	4	10	4	0	4
13	4	7	4	0	4	10	4	0	4
14	4	4	4	0	4	10	4	0	4
14	4	5	4	0	4	10	4	0	4
15	4	4	4	0	4	10	4	0	4
15	4	5	4	0	4	10	4	0	4
14	4	6	4	0	4	10	4	0	4
14	4	7	4	0	4	10	4	0	4
15	4	6	4	0	4	10	4	0	4
15	4	7	4	0	4	10	4	0	4
8	4	8	4	0	4	10	4	0	4
8	4	9	4	0	4	10	4	0	4
9	4	8	4	0	4	10	4	0	4
9	4	9	4	0	4	10	4	0	4
8	4	10	4	0	4	10	4	0	4
8	4	11	4	0	4	10	4	0	4
9	4	10	4	0	4	10	4	0	4
9	4	11	4	0	4	10	4	0	4
10	4	8	4	0	4	10	4	0	4
10	4	9	4	0	4	10	4	0	4
11	4	8	4	0	4	10	4	0	4
11	4	9	4	0	4	10	4	0	4
10	4	10	4	0	4	10	4	0	4
10	4	11	4	0	4	10	4	0	4
11	4	10	4	0	4	10	4	0	4
11	4	11	4	0	4	10	4	0	4
8	4	12	4	0	4	10	4	0	4
8	4	13	4	0	4	10	4	0	4
9	4	12	4	0	4	10	4	0	4
9	4	13	4	0	4	10	4	0	4
8	4	14	4	0	4	10	4	0	4
8	4	15	4	0	4	10	4	0	4
9	4	14	4	0	4	10	4	0	4
9	4	15	4	0	4	10	4	0	4
10	4	12	4	0	4	10	4	0	4
10	4	13	4	0	4	10	4	0	4
11	4	12	4	0	4	10	4	0	4
11	4	13	4	0	4	10	4	0	4
10	4	14	4	0	4	10	4	0	4
10	4	15	4	0	4	10	4	0	4
11	4	14	4	0	4	10	4	0	4
11	4	15	4	0	4	10	4	0	4
12	4	8	4	0	4	10	4	0	4
12	4	9	4	0	4	10	4	0	4
13	4	8	4	0	4	10	4	0	4
13	4	9	4	0	4	10	4	0	4
12	4	10	4	0	4	10	4	0	4
12	4	11	4	0	4	10	4	0	4
13	4	10	4	0	4	10	4	0	4
13	4	11	4	0	4	10	4	0	4
14	4	8	4	0	4	10	4	0	4
14	4	9	4	0	4	10	4	0	4
15	4	8	4	0	4	10	4	0	4
15	4	9	4	0	4	10	4	0	4
14	4	10	4	0	4	10	4	0	4
14	4	11	4	0	4	10	4	0	4
15	4	10	4	0	4	10	4	0	4
15	4	11	4	0	4	10	4	0	4
12	4	12	4	0	4	10	4	0	4
12	4	13	4	0	4	10	4	0	4
13	4	12	4	0	4	10	4	0	4
13	4	13	4	0	4	10	4	0	4
12	4	14	4	0	4	10	4	0	4
12	4	15	4	0	4	10	4	0	4
13	4	14	4	0	4	10	4	0	4
13	4	15	4	0	4	10	4	0	4
14	4	12	4	0	4	10	4	0	4
14	4	13	4	0	4	10	4	0	4
15	4	12	4	0	4	10	4	0	4
15	4	13	4	0	4	10	4	0	4
14	4	14	4	0	4	10	4	0	4
14	4	15	4	0	4	10	4	0	4
15	4	14	4	0	4	10	4	0	4
15	4	15	4	0	4	10	4	0	4
