x_lower	x_splits	y_lower	y_splits	r_lower	r_splits	h_lower	h_splits
7	5	13	5	0	4	12	4
7	5	12	5	0	4	13	4
7	5	13	5	0	4	13	4
6	5	14	5	0	4	12	4
6	5	15	5	0	4	12	4
7	5	14	5	0	4	12	4
6	5	14	5	0	4	13	4
6	5	15	5	0	4	13	4
7	5	14	5	0	4	13	4
7	5	12	5	0	4	14	4
7	5	13	5	0	4	14	4
7	5	12	5	0	4	15	4
7	5	13	5	0	4	15	4
6	5	14	5	0	4	14	4
6	5	15	5	0	4	14	4
7	5	14	5	0	4	14	4
6	5	14	5	0	4	15	4
6	5	15	5	0	4	15	4
7	5	14	5	0	4	15	4
9	5	2	5	0	4	8	4
9	5	3	5	0	4	8	4
9	5	2	5	0	4	9	4
9	5	3	5	0	4	9	4
10	5	0	5	0	4	8	4
10	5	1	5	0	4	8	4
10	5	0	5	0	4	9	4
10	5	1	5	0	4	9	4
10	5	2	5	0	4	8	4
10	5	2	5	0	4	9	4
9	5	2	5	0	4	10	4
9	5	3	5	0	4	10	4
9	5	2	5	0	4	11	4
9	5	3	5	0	4	11	4
10	5	0	5	0	4	10	4
10	5	1	5	0	4	10	4
10	5	0	5	0	4	11	4
10	5	1	5	0	4	11	4
10	5	2	5	0	4	10	4
10	5	2	5	0	4	11	4
9	5	4	5	0	4	8	4
9	5	5	5	0	4	8	4
9	5	4	5	0	4	9	4
9	5	5	5	0	4	9	4
8	5	6	5	0	4	8	4
8	5	7	5	0	4	8	4
9	5	6	5	0	4	8	4
8	5	6	5	0	4	9	4
8	5	7	5	0	4	9	4
9	5	6	5	0	4	9	4
9	5	4	5	0	4	10	4
9	5	5	5	0	4	10	4
9	5	4	5	0	4	11	4
9	5	5	5	0	4	11	4
8	5	6	5	0	4	10	4
8	5	7	5	0	4	10	4
9	5	6	5	0	4	10	4
8	5	6	5	0	4	11	4
8	5	7	5	0	4	11	4
9	5	6	5	0	4	11	4
9	5	2	5	0	4	12	4
9	5	3	5	0	4	12	4
9	5	2	5	0	4	13	4
9	5	3	5	0	4	13	4
10	5	0	5	0	4	12	4
10	5	1	5	0	4	12	4
10	5	0	5	0	4	13	4
10	5	1	5	0	4	13	4
10	5	2	5	0	4	12	4
10	5	2	5	0	4	13	4
9	5	2	5	0	4	14	4
9	5	3	5	0	4	14	4
9	5	2	5	0	4	15	4
9	5	3	5	0	4	15	4
10	5	0	5	0	4	14	4
10	5	1	5	0	4	14	4
10	5	0	5	0	4	15	4
10	5	1	5	0	4	15	4
10	5	2	5	0	4	14	4
10	5	2	5	0	4	15	4
9	5	4	5	0	4	12	4
9	5	5	5	0	4	12	4
9	5	4	5	0	4	13	4
9	5	5	5	0	4	13	4
8	5	6	5	0	4	12	4
8	5	7	5	0	4	12	4
9	5	6	5	0	4	12	4
8	5	6	5	0	4	13	4
8	5	7	5	0	4	13	4
9	5	6	5	0	4	13	4
9	5	4	5	0	4	14	4
9	5	5	5	0	4	14	4
9	5	4	5	0	4	15	4
9	5	5	5	0	4	15	4
8	5	6	5	0	4	14	4
8	5	7	5	0	4	14	4
9	5	6	5	0	4	14	4
8	5	6	5	0	4	15	4
8	5	7	5	0	4	15	4
9	5	6	5	0	4	15	4
8	5	8	5	0	4	8	4
8	5	9	5	0	4	8	4
8	5	8	5	0	4	9	4
8	5	9	5	0	4	9	4
8	5	10	5	0	4	8	4
8	5	10	5	0	4	9	4
8	5	8	5	0	4	10	4
8	5	9	5	0	4	10	4
8	5	8	5	0	4	11	4
8	5	9	5	0	4	11	4
8	5	10	5	0	4	10	4
8	5	10	5	0	4	11	4
8	5	8	5	0	4	12	4
8	5	9	5	0	4	12	4
8	5	8	5	0	4	13	4
8	5	9	5	0	4	13	4
8	5	10	5	0	4	12	4
8	5	10	5	0	4	13	4
8	5	8	5	0	4	14	4
8	5	9	5	0	4	14	4
8	5	8	5	0	4	15	4
8	5	9	5	0	4	15	4
8	5	10	5	0	4	14	4
8	5	10	5	0	4	15	4
3	5	22	5	0	4	0	4
3	5	23	5	0	4	0	4
3	5	22	5	0	4	1	4
3	5	23	5	0	4	1	4
3	5	22	5	0	4	2	4
3	5	23	5	0	4	2	4
3	5	22	5	0	4	3	4
3	5	23	5	0	4	3	4
5	5	17	5	0	4	0	4
5	5	17	5	0	4	1	4
5	5	18	5	0	4	0	4
5	5	19	5	0	4	0	4
5	5	18	5	0	4	1	4
5	5	19	5	0	4	1	4
6	5	16	5	0	4	0	4
6	5	17	5	0	4	0	4
6	5	16	5	0	4	1	4
6	5	17	5	0	4	1	4
5	5	17	5	0	4	2	4
5	5	17	5	0	4	3	4
5	5	18	5	0	4	2	4
5	5	19	5	0	4	2	4
5	5	18	5	0	4	3	4
5	5	19	5	0	4	3	4
6	5	16	5	0	4	2	4
6	5	17	5	0	4	2	4
6	5	16	5	0	4	3	4
6	5	17	5	0	4	3	4
4	5	20	5	0	4	0	4
4	5	21	5	0	4	0	4
5	5	20	5	0	4	0	4
4	5	20	5	0	4	1	4
4	5	21	5	0	4	1	4
5	5	20	5	0	4	1	4
4	5	22	5	0	4	0	4
4	5	22	5	0	4	1	4
4	5	20	5	0	4	2	4
4	5	21	5	0	4	2	4
5	5	20	5	0	4	2	4
4	5	20	5	0	4	3	4
4	5	21	5	0	4	3	4
5	5	20	5	0	4	3	4
4	5	22	5	0	4	2	4
4	5	22	5	0	4	3	4
3	5	22	5	0	4	4	4
3	5	23	5	0	4	4	4
3	5	22	5	0	4	5	4
3	5	23	5	0	4	5	4
3	5	22	5	0	4	6	4
3	5	23	5	0	4	6	4
3	5	22	5	0	4	7	4
3	5	23	5	0	4	7	4
5	5	17	5	0	4	4	4
5	5	17	5	0	4	5	4
5	5	18	5	0	4	4	4
5	5	19	5	0	4	4	4
5	5	18	5	0	4	5	4
5	5	19	5	0	4	5	4
6	5	16	5	0	4	4	4
6	5	17	5	0	4	4	4
6	5	16	5	0	4	5	4
6	5	17	5	0	4	5	4
5	5	17	5	0	4	6	4
5	5	17	5	0	4	7	4
5	5	18	5	0	4	6	4
5	5	19	5	0	4	6	4
5	5	18	5	0	4	7	4
5	5	19	5	0	4	7	4
6	5	16	5	0	4	6	4
6	5	17	5	0	4	6	4
6	5	16	5	0	4	7	4
6	5	17	5	0	4	7	4
4	5	20	5	0	4	4	4
4	5	21	5	0	4	4	4
5	5	20	5	0	4	4	4
4	5	20	5	0	4	5	4
4	5	21	5	0	4	5	4
5	5	20	5	0	4	5	4
4	5	22	5	0	4	4	4
4	5	22	5	0	4	5	4
4	5	20	5	0	4	6	4
4	5	21	5	0	4	6	4
5	5	20	5	0	4	6	4
4	5	20	5	0	4	7	4
4	5	21	5	0	4	7	4
5	5	20	5	0	4	7	4
4	5	22	5	0	4	6	4
4	5	22	5	0	4	7	4
1	5	27	5	0	4	0	4
1	5	27	5	0	4	1	4
2	5	25	5	0	4	0	4
3	5	24	5	0	4	0	4
3	5	25	5	0	4	0	4
2	5	25	5	0	4	1	4
3	5	24	5	0	4	1	4
3	5	25	5	0	4	1	4
2	5	26	5	0	4	0	4
2	5	27	5	0	4	0	4
2	5	26	5	0	4	1	4
2	5	27	5	0	4	1	4
1	5	27	5	0	4	2	4
1	5	27	5	0	4	3	4
2	5	25	5	0	4	2	4
3	5	24	5	0	4	2	4
3	5	25	5	0	4	2	4
2	5	25	5	0	4	3	4
3	5	24	5	0	4	3	4
3	5	25	5	0	4	3	4
2	5	26	5	0	4	2	4
2	5	27	5	0	4	2	4
2	5	26	5	0	4	3	4
2	5	27	5	0	4	3	4
0	5	29	5	0	4	0	4
1	5	28	5	0	4	0	4
1	5	29	5	0	4	0	4
0	5	29	5	0	4	1	4
1	5	28	5	0	4	1	4
1	5	29	5	0	4	1	4
1	5	28	5	1	4	0	4
1	5	29	5	1	4	0	4
0	5	30	5	0	4	0	4
0	5	31	5	0	4	0	4
0	5	30	5	0	4	1	4
0	5	31	5	0	4	1	4
0	5	30	5	1	4	0	4
0	5	31	5	1	4	0	4
0	5	29	5	0	4	2	4
1	5	28	5	0	4	2	4
1	5	29	5	0	4	2	4
0	5	29	5	0	4	3	4
1	5	28	5	0	4	3	4
1	5	29	5	0	4	3	4
0	5	30	5	0	4	2	4
0	5	31	5	0	4	2	4
0	5	30	5	0	4	3	4
0	5	31	5	0	4	3	4
0	5	30	5	2	4	0	4
0	5	31	5	2	4	0	4
0	5	30	5	3	4	0	4
0	5	31	5	3	4	0	4
1	5	27	5	0	4	4	4
1	5	27	5	0	4	5	4
2	5	25	5	0	4	4	4
3	5	24	5	0	4	4	4
3	5	25	5	0	4	4	4
2	5	25	5	0	4	5	4
3	5	24	5	0	4	5	4
3	5	25	5	0	4	5	4
2	5	26	5	0	4	4	4
2	5	27	5	0	4	4	4
2	5	26	5	0	4	5	4
2	5	27	5	0	4	5	4
1	5	27	5	0	4	6	4
1	5	27	5	0	4	7	4
2	5	25	5	0	4	6	4
3	5	24	5	0	4	6	4
3	5	25	5	0	4	6	4
2	5	25	5	0	4	7	4
3	5	24	5	0	4	7	4
3	5	25	5	0	4	7	4
2	5	26	5	0	4	6	4
2	5	27	5	0	4	6	4
2	5	26	5	0	4	7	4
2	5	27	5	0	4	7	4
0	5	29	5	0	4	4	4
1	5	28	5	0	4	4	4
1	5	29	5	0	4	4	4
0	5	29	5	0	4	5	4
1	5	28	5	0	4	5	4
1	5	29	5	0	4	5	4
0	5	30	5	0	4	4	4
0	5	31	5	0	4	4	4
0	5	30	5	0	4	5	4
0	5	31	5	0	4	5	4
0	5	29	5	0	4	6	4
1	5	28	5	0	4	6	4
1	5	29	5	0	4	6	4
0	5	29	5	0	4	7	4
1	5	28	5	0	4	7	4
1	5	29	5	0	4	7	4
0	5	30	5	0	4	6	4
0	5	31	5	0	4	6	4
0	5	30	5	0	4	7	4
0	5	31	5	0	4	7	4
0	5	30	5	4	4	0	4
0	5	31	5	4	4	0	4
0	5	31	5	5	4	0	4
0	5	31	5	6	4	0	4
0	5	31	5	7	4	0	4
3	5	22	5	0	4	8	4
3	5	23	5	0	4	8	4
3	5	22	5	0	4	9	4
3	5	23	5	0	4	9	4
3	5	22	5	0	4	10	4
3	5	23	5	0	4	10	4
3	5	22	5	0	4	11	4
3	5	23	5	0	4	11	4
5	5	17	5	0	4	8	4
5	5	17	5	0	4	9	4
5	5	18	5	0	4	8	4
5	5	19	5	0	4	8	4
5	5	18	5	0	4	9	4
5	5	19	5	0	4	9	4
6	5	16	5	0	4	8	4
6	5	17	5	0	4	8	4
6	5	16	5	0	4	9	4
6	5	17	5	0	4	9	4
5	5	17	5	0	4	10	4
5	5	17	5	0	4	11	4
5	5	18	5	0	4	10	4
5	5	19	5	0	4	10	4
5	5	18	5	0	4	11	4
5	5	19	5	0	4	11	4
6	5	16	5	0	4	10	4
6	5	17	5	0	4	10	4
6	5	16	5	0	4	11	4
6	5	17	5	0	4	11	4
4	5	20	5	0	4	8	4
4	5	21	5	0	4	8	4
5	5	20	5	0	4	8	4
4	5	20	5	0	4	9	4
4	5	21	5	0	4	9	4
5	5	20	5	0	4	9	4
4	5	22	5	0	4	8	4
4	5	22	5	0	4	9	4
4	5	20	5	0	4	10	4
4	5	21	5	0	4	10	4
5	5	20	5	0	4	10	4
4	5	20	5	0	4	11	4
4	5	21	5	0	4	11	4
5	5	20	5	0	4	11	4
4	5	22	5	0	4	10	4
4	5	22	5	0	4	11	4
3	5	22	5	0	4	12	4
3	5	23	5	0	4	12	4
3	5	22	5	0	4	13	4
3	5	23	5	0	4	13	4
3	5	22	5	0	4	14	4
3	5	23	5	0	4	14	4
3	5	22	5	0	4	15	4
3	5	23	5	0	4	15	4
5	5	17	5	0	4	12	4
5	5	17	5	0	4	13	4
5	5	18	5	0	4	12	4
5	5	19	5	0	4	12	4
5	5	18	5	0	4	13	4
5	5	19	5	0	4	13	4
6	5	16	5	0	4	12	4
6	5	17	5	0	4	12	4
6	5	16	5	0	4	13	4
6	5	17	5	0	4	13	4
5	5	17	5	0	4	14	4
5	5	17	5	0	4	15	4
5	5	18	5	0	4	14	4
5	5	19	5	0	4	14	4
5	5	18	5	0	4	15	4
5	5	19	5	0	4	15	4
6	5	16	5	0	4	14	4
6	5	17	5	0	4	14	4
6	5	16	5	0	4	15	4
6	5	17	5	0	4	15	4
4	5	20	5	0	4	12	4
4	5	21	5	0	4	12	4
5	5	20	5	0	4	12	4
4	5	20	5	0	4	13	4
4	5	21	5	0	4	13	4
5	5	20	5	0	4	13	4
4	5	22	5	0	4	12	4
4	5	22	5	0	4	13	4
4	5	20	5	0	4	14	4
4	5	21	5	0	4	14	4
5	5	20	5	0	4	14	4
4	5	20	5	0	4	15	4
4	5	21	5	0	4	15	4
5	5	20	5	0	4	15	4
4	5	22	5	0	4	14	4
4	5	22	5	0	4	15	4
1	5	27	5	0	4	8	4
1	5	27	5	0	4	9	4
2	5	25	5	0	4	8	4
3	5	24	5	0	4	8	4
3	5	25	5	0	4	8	4
2	5	25	5	0	4	9	4
3	5	24	5	0	4	9	4
3	5	25	5	0	4	9	4
2	5	26	5	0	4	8	4
2	5	27	5	0	4	8	4
2	5	26	5	0	4	9	4
2	5	27	5	0	4	9	4
1	5	27	5	0	4	10	4
1	5	27	5	0	4	11	4
2	5	25	5	0	4	10	4
3	5	24	5	0	4	10	4
3	5	25	5	0	4	10	4
2	5	25	5	0	4	11	4
3	5	24	5	0	4	11	4
3	5	25	5	0	4	11	4
2	5	26	5	0	4	10	4
2	5	27	5	0	4	10	4
2	5	26	5	0	4	11	4
2	5	27	5	0	4	11	4
0	5	29	5	0	4	8	4
1	5	28	5	0	4	8	4
1	5	29	5	0	4	8	4
0	5	29	5	0	4	9	4
1	5	28	5	0	4	9	4
1	5	29	5	0	4	9	4
0	5	30	5	0	4	8	4
0	5	31	5	0	4	8	4
0	5	30	5	0	4	9	4
0	5	31	5	0	4	9	4
0	5	29	5	0	4	10	4
1	5	28	5	0	4	10	4
1	5	29	5	0	4	10	4
0	5	29	5	0	4	11	4
1	5	28	5	0	4	11	4
1	5	29	5	0	4	11	4
0	5	30	5	0	4	10	4
0	5	31	5	0	4	10	4
0	5	30	5	0	4	11	4
0	5	31	5	0	4	11	4
1	5	27	5	0	4	12	4
1	5	27	5	0	4	13	4
2	5	25	5	0	4	12	4
3	5	24	5	0	4	12	4
3	5	25	5	0	4	12	4
2	5	25	5	0	4	13	4
3	5	24	5	0	4	13	4
3	5	25	5	0	4	13	4
2	5	26	5	0	4	12	4
2	5	27	5	0	4	12	4
2	5	26	5	0	4	13	4
2	5	27	5	0	4	13	4
1	5	27	5	0	4	14	4
1	5	27	5	0	4	15	4
2	5	25	5	0	4	14	4
3	5	24	5	0	4	14	4
3	5	25	5	0	4	14	4
2	5	25	5	0	4	15	4
3	5	24	5	0	4	15	4
3	5	25	5	0	4	15	4
2	5	26	5	0	4	14	4
2	5	27	5	0	4	14	4
2	5	26	5	0	4	15	4
2	5	27	5	0	4	15	4
0	5	29	5	0	4	12	4
1	5	28	5	0	4	12	4
1	5	29	5	0	4	12	4
0	5	29	5	0	4	13	4
1	5	28	5	0	4	13	4
1	5	29	5	0	4	13	4
0	5	30	5	0	4	12	4
0	5	31	5	0	4	12	4
0	5	30	5	0	4	13	4
0	5	31	5	0	4	13	4
0	5	29	5	0	4	14	4
1	5	28	5	0	4	14	4
1	5	29	5	0	4	14	4
0	5	29	5	0	4	15	4
1	5	28	5	0	4	15	4
1	5	29	5	0	4	15	4
0	5	30	5	0	4	14	4
0	5	31	5	0	4	14	4
0	5	30	5	0	4	15	4
0	5	31	5	0	4	15	4
0	5	31	5	8	4	0	4
0	5	31	5	9	4	0	4
0	5	31	5	10	4	0	4
0	5	31	5	11	4	0	4
0	5	31	5	12	4	0	4
0	5	31	5	13	4	0	4
0	5	31	5	14	4	0	4
0	5	31	5	15	4	0	4
