base_index	leaf_ordinal	status	left_counts	left_hashes	right_counts	right_hashes	left_path	left_sha256	right_path	right_sha256	generated_children	query_checks	seconds	detail
4	128	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.53e-06	left: aggregate wall cap
4	936	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	2.13e-06	left: aggregate wall cap
4	937	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.85e-06	left: aggregate wall cap
4	938	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.63e-06	left: aggregate wall cap
4	939	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.63e-06	left: aggregate wall cap
4	940	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.5e-06	left: aggregate wall cap
4	941	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.4e-06	left: aggregate wall cap
4	948	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.82e-06	left: aggregate wall cap
4	949	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.62e-06	left: aggregate wall cap
4	950	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.5e-06	left: aggregate wall cap
4	951	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.51e-06	left: aggregate wall cap
4	952	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.481e-06	left: aggregate wall cap
4	959	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.6e-06	left: aggregate wall cap
4	960	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.65e-06	left: aggregate wall cap
